"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.1,0.12,0.15,0.2
"Probability recommended as MTD",0,0.0072,0.08,0.3312,0.5816
"Probability of clinician DLT1",0.1,0.12,0.15,0.2,0.25
"Probability recommended as MTD1",0.0032,0.0352,0.216,0.4264,0.3192
"Probability of clinician DLT2",0.12,0.15,0.2,0.25,0.4
"Probability recommended as MTD2",0.0136,0.1032,0.3784,0.4224,0.0824
"Probability of clinician DLT3",0.15,0.2,0.25,0.4,0.55
"Probability recommended as MTD3",0.0448,0.284,0.5416,0.1288,8e-04
"Probability of clinician DLT4",0.2,0.25,0.4,0.55,0.6
"Probability recommended as MTD4",0.2312,0.5896,0.1784,8e-04,0
"Probability of clinician DLT5",0.25,0.4,0.55,0.6,0.7
"Probability recommended as MTD5",0.7472,0.248,0.0048,0,0
