"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT",0.05,0.1,0.12,0.15,0.2
"Probability recommended as MTD",0,0.0104,0.1336,0.4336,0.4224
"Probability of clinician DLT1",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT1",0.1,0.12,0.15,0.2,0.25
"Probability recommended as MTD1",0.0056,0.0544,0.3328,0.4544,0.1528
"Probability of clinician DLT2",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT2",0.12,0.15,0.2,0.25,0.4
"Probability recommended as MTD2",0.0248,0.1848,0.4712,0.3016,0.0176
"Probability of clinician DLT3",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT3",0.15,0.2,0.25,0.4,0.55
"Probability recommended as MTD3",0.0944,0.432,0.4424,0.0312,0
"Probability of clinician DLT4",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT4",0.2,0.25,0.4,0.55,0.6
"Probability recommended as MTD4",0.3888,0.5424,0.0688,0,0
"Probability of clinician DLT5",0.25,0.4,0.55,0.6,0.7
"Probability of patient DLT5",0.25,0.4,0.55,0.6,0.7
"Probability recommended as MTD5",0.904,0.0952,0,0,0
