"","x"
"1",5
"2",5
"3",7
"4",5
"5",10
"6",9
"7",6
"8",3
"9",12
"10",9
"11",7
"12",8
"13",6
"14",8
"15",9
"16",7
"17",8
"18",2
"19",4
"20",7
"21",9
"22",9
"23",8
"24",7
"25",9
"26",9
"27",9
"28",13
"29",10
"30",13
"31",10
"32",7
"33",5
"34",7
"35",10
"36",6
"37",8
"38",7
"39",9
"40",8
"41",5
"42",6
"43",6
"44",5
"45",8
"46",10
"47",9
"48",6
"49",6
"50",6
"51",4
"52",8
"53",3
"54",10
"55",11
"56",7
"57",9
"58",5
"59",11
"60",8
"61",10
"62",7
"63",9
"64",9
"65",6
"66",7
"67",10
"68",6
"69",8
"70",8
"71",6
"72",6
"73",7
"74",6
"75",4
"76",8
"77",8
"78",9
"79",7
"80",5
"81",9
"82",5
"83",10
"84",11
"85",6
"86",7
"87",3
"88",7
"89",6
"90",10
"91",6
"92",7
"93",8
"94",10
"95",8
"96",9
"97",11
"98",2
"99",7
"100",6
"101",11
"102",9
"103",9
"104",7
"105",9
"106",7
"107",9
"108",7
"109",8
"110",6
"111",7
"112",8
"113",6
"114",7
"115",4
"116",5
"117",9
"118",7
"119",10
"120",10
"121",6
"122",4
"123",10
"124",7
"125",5
"126",8
"127",9
"128",8
"129",8
"130",4
"131",6
"132",9
"133",10
"134",5
"135",6
"136",5
"137",4
"138",11
"139",8
"140",7
"141",8
"142",7
"143",8
"144",5
"145",5
"146",7
"147",3
"148",8
"149",12
"150",3
"151",6
"152",8
"153",8
"154",8
"155",10
"156",6
"157",6
"158",9
"159",3
"160",7
"161",10
"162",10
"163",11
"164",5
"165",5
"166",10
"167",7
"168",7
"169",8
"170",8
"171",9
"172",3
"173",6
"174",1
"175",6
"176",11
"177",9
"178",8
"179",4
"180",6
"181",10
"182",9
"183",10
"184",8
"185",8
"186",6
"187",9
"188",8
"189",6
"190",4
"191",9
"192",8
"193",9
"194",8
"195",8
"196",9
"197",10
"198",8
"199",6
"200",7
"201",6
"202",10
"203",4
"204",8
"205",7
"206",5
"207",4
"208",6
"209",11
"210",7
"211",10
"212",11
"213",8
"214",10
"215",5
"216",7
"217",3
"218",8
"219",10
"220",8
"221",10
"222",7
"223",6
"224",9
"225",7
"226",8
"227",5
"228",5
"229",7
"230",10
"231",6
"232",10
"233",10
"234",11
"235",6
"236",7
"237",9
"238",7
"239",7
"240",9
"241",8
"242",9
"243",4
"244",5
"245",9
"246",9
"247",7
"248",12
"249",5
"250",9
"251",11
"252",6
"253",3
"254",8
"255",5
"256",10
"257",10
"258",12
"259",8
"260",7
"261",11
"262",11
"263",7
"264",7
"265",9
"266",8
"267",7
"268",6
"269",5
"270",6
"271",5
"272",11
"273",10
"274",10
"275",6
"276",6
"277",10
"278",15
"279",5
"280",9
"281",8
"282",6
"283",7
"284",8
"285",8
"286",7
"287",4
"288",5
"289",4
"290",10
"291",9
"292",8
"293",11
"294",6
"295",10
"296",8
"297",10
"298",7
"299",3
"300",10
"301",5
"302",8
"303",9
"304",4
"305",3
"306",7
"307",9
"308",8
"309",7
"310",10
"311",9
"312",7
"313",9
"314",10
"315",11
"316",5
"317",12
"318",10
"319",4
"320",5
"321",10
"322",8
"323",2
"324",12
"325",10
"326",9
"327",5
"328",5
"329",11
"330",11
"331",6
"332",9
"333",3
"334",11
"335",8
"336",6
"337",7
"338",10
"339",1
"340",4
"341",7
"342",8
"343",8
"344",7
"345",5
"346",4
"347",9
"348",7
"349",11
"350",9
"351",5
"352",6
"353",6
"354",4
"355",11
"356",7
"357",8
"358",8
"359",11
"360",9
"361",8
"362",6
"363",5
"364",6
"365",6
"366",8
"367",8
"368",6
"369",9
"370",9
"371",10
"372",9
"373",9
"374",6
"375",6
"376",7
"377",5
"378",8
"379",4
"380",13
"381",6
"382",8
"383",12
"384",8
"385",11
"386",5
"387",8
"388",10
"389",7
"390",11
"391",3
"392",5
"393",7
"394",6
"395",10
"396",10
"397",9
"398",5
"399",6
"400",9
"401",4
"402",10
"403",9
"404",9
"405",9
"406",8
"407",8
"408",7
"409",8
"410",4
"411",10
"412",5
"413",8
"414",8
"415",7
"416",3
"417",6
"418",6
"419",8
"420",6
"421",5
"422",10
"423",9
"424",9
"425",9
"426",7
"427",5
"428",11
"429",7
"430",8
"431",6
"432",8
"433",7
"434",6
"435",10
"436",4
"437",9
"438",2
"439",9
"440",9
"441",12
"442",7
"443",11
"444",5
"445",10
"446",5
"447",8
"448",11
"449",9
"450",9
"451",8
"452",9
"453",8
"454",3
"455",8
"456",4
"457",11
"458",6
"459",4
"460",5
"461",10
"462",5
"463",9
"464",8
"465",4
"466",10
"467",11
"468",8
"469",8
"470",9
"471",9
"472",8
"473",5
"474",8
"475",8
"476",7
"477",2
"478",7
"479",4
"480",9
"481",11
"482",7
"483",6
"484",6
"485",6
"486",5
"487",7
"488",7
"489",6
"490",9
"491",11
"492",12
"493",7
"494",7
"495",8
"496",4
"497",4
"498",8
"499",8
"500",7
"501",6
"502",9
"503",7
"504",6
"505",9
"506",10
"507",11
"508",6
"509",8
"510",7
"511",5
"512",8
"513",6
"514",3
