"","V1","V2","V3","V4","V5"
"1",3,3,30,3,0
"2",27,12,0,0,0
"3",12,27,0,0,0
"4",3,3,30,3,0
"5",3,3,27,6,0
"6",3,36,0,0,0
"7",3,3,18,15,0
"8",3,3,30,3,0
"9",3,36,0,0,0
"10",12,27,0,0,0
"11",15,24,0,0,0
"12",24,15,0,0,0
"13",33,6,0,0,0
"14",3,21,15,0,0
"15",3,18,18,0,0
"16",3,12,24,0,0
"17",9,30,0,0,0
"18",3,3,24,9,0
"19",3,6,30,0,0
"20",33,6,0,0,0
"21",3,36,0,0,0
"22",3,36,0,0,0
"23",12,27,0,0,0
"24",3,3,33,0,0
"25",9,12,18,0,0
"26",3,33,3,0,0
"27",3,3,33,0,0
"28",3,9,27,0,0
"29",3,3,21,12,0
"30",39,0,0,0,0
"31",3,3,27,6,0
"32",3,27,9,0,0
"33",3,3,33,0,0
"34",3,36,0,0,0
"35",3,3,30,3,0
"36",3,3,30,3,0
"37",9,30,0,0,0
"38",3,3,27,6,0
"39",3,3,24,9,0
"40",3,9,21,6,0
"41",3,3,33,0,0
"42",3,12,24,0,0
"43",6,27,6,0,0
"44",3,3,33,0,0
"45",3,3,12,21,0
"46",9,15,15,0,0
"47",3,9,27,0,0
"48",24,15,0,0,0
"49",3,30,6,0,0
"50",3,30,6,0,0
"51",3,36,0,0,0
"52",21,18,0,0,0
"53",3,3,30,3,0
"54",3,12,24,0,0
"55",3,9,21,6,0
"56",3,3,30,3,0
"57",3,3,18,15,0
"58",3,3,21,12,0
"59",3,3,27,6,0
"60",3,3,27,6,0
"61",30,9,0,0,0
"62",3,18,15,3,0
"63",3,24,12,0,0
"64",33,6,0,0,0
"65",3,33,3,0,0
"66",3,9,27,0,0
"67",3,6,30,0,0
"68",3,3,21,12,0
"69",3,36,0,0,0
"70",9,30,0,0,0
"71",3,3,24,9,0
"72",6,24,6,3,0
"73",3,15,12,6,3
"74",3,15,21,0,0
"75",24,15,0,0,0
"76",24,15,0,0,0
"77",3,3,27,6,0
"78",3,3,18,15,0
"79",3,15,21,0,0
"80",3,3,18,15,0
"81",12,24,3,0,0
"82",3,3,30,3,0
"83",3,3,21,12,0
"84",3,3,24,9,0
"85",3,33,3,0,0
"86",12,18,9,0,0
"87",3,6,30,0,0
"88",12,18,9,0,0
"89",3,36,0,0,0
"90",21,18,0,0,0
"91",3,9,27,0,0
"92",12,27,0,0,0
"93",3,36,0,0,0
"94",3,21,15,0,0
"95",3,27,9,0,0
"96",3,6,30,0,0
"97",36,3,0,0,0
"98",3,15,21,0,0
"99",3,3,6,27,0
"100",3,3,33,0,0
"101",3,24,12,0,0
"102",3,3,6,24,3
"103",6,27,6,0,0
"104",3,3,18,15,0
"105",3,3,33,0,0
"106",3,3,18,15,0
"107",3,3,33,0,0
"108",3,18,18,0,0
"109",15,24,0,0,0
"110",3,30,6,0,0
"111",3,15,21,0,0
"112",9,27,3,0,0
"113",12,27,0,0,0
"114",3,6,30,0,0
"115",3,3,21,12,0
"116",3,3,3,27,3
"117",3,3,21,12,0
"118",12,21,6,0,0
"119",12,27,0,0,0
"120",3,30,6,0,0
"121",9,24,6,0,0
"122",3,3,3,30,0
"123",33,6,0,0,0
"124",3,6,30,0,0
"125",3,3,30,3,0
"126",3,3,15,18,0
"127",21,18,0,0,0
"128",3,3,9,12,12
"129",3,3,33,0,0
"130",3,9,27,0,0
"131",3,9,18,9,0
"132",3,3,9,24,0
"133",3,15,21,0,0
"134",27,12,0,0,0
"135",3,12,18,6,0
"136",18,21,0,0,0
"137",3,9,27,0,0
"138",3,3,27,6,0
"139",12,24,3,0,0
"140",3,30,6,0,0
"141",3,3,33,0,0
"142",3,6,30,0,0
"143",3,21,15,0,0
"144",30,9,0,0,0
"145",3,33,3,0,0
"146",3,6,30,0,0
"147",3,18,18,0,0
"148",9,30,0,0,0
"149",3,9,27,0,0
"150",21,15,3,0,0
"151",24,15,0,0,0
"152",3,3,21,12,0
"153",3,3,30,3,0
"154",30,9,0,0,0
"155",3,3,33,0,0
"156",3,3,24,9,0
"157",3,24,12,0,0
"158",3,3,24,9,0
"159",3,30,6,0,0
"160",3,3,18,15,0
"161",3,3,12,18,3
"162",6,30,3,0,0
"163",3,3,18,15,0
"164",6,33,0,0,0
"165",3,36,0,0,0
"166",6,30,3,0,0
"167",3,3,33,0,0
"168",3,3,24,9,0
"169",3,12,24,0,0
"170",3,3,24,9,0
"171",3,3,33,0,0
"172",3,18,18,0,0
"173",3,3,3,21,9
"174",3,3,6,27,0
"175",3,9,24,3,0
"176",3,3,18,15,0
"177",3,12,24,0,0
"178",3,21,15,0,0
"179",3,15,21,0,0
"180",39,0,0,0,0
"181",3,36,0,0,0
"182",3,12,24,0,0
"183",3,27,9,0,0
"184",3,3,24,9,0
"185",9,12,18,0,0
"186",12,27,0,0,0
"187",15,24,0,0,0
"188",3,36,0,0,0
"189",3,36,0,0,0
"190",3,3,21,9,3
"191",9,27,3,0,0
"192",3,6,30,0,0
"193",9,12,18,0,0
"194",3,3,33,0,0
"195",9,30,0,0,0
"196",9,18,12,0,0
"197",3,36,0,0,0
"198",3,3,30,3,0
"199",3,3,33,0,0
"200",3,3,27,6,0
"201",3,3,18,15,0
"202",12,27,0,0,0
"203",3,9,27,0,0
"204",18,21,0,0,0
"205",3,18,18,0,0
"206",6,30,3,0,0
"207",30,9,0,0,0
"208",3,6,30,0,0
