"","x"
"1",9
"2",14
"3",13
"4",13
"5",12
"6",10
"7",12
"8",10
"9",13
"10",9
"11",9
"12",12
"13",6
"14",17
"15",14
"16",13
"17",13
"18",14
"19",12
"20",12
"21",13
"22",10
"23",12
"24",13
"25",10
"26",13
"27",10
"28",10
"29",6
"30",12
"31",10
"32",13
"33",11
"34",13
"35",8
"36",7
"37",9
"38",13
"39",9
"40",15
"41",11
"42",10
"43",9
"44",7
"45",11
"46",13
"47",7
"48",15
"49",13
"50",11
"51",9
"52",16
"53",4
"54",12
"55",13
"56",7
"57",8
"58",12
"59",11
"60",9
"61",12
"62",14
"63",10
"64",12
"65",13
"66",7
"67",11
"68",11
"69",11
"70",13
"71",11
"72",10
"73",8
"74",13
"75",10
"76",9
"77",13
"78",14
"79",14
"80",12
"81",12
"82",8
"83",14
"84",16
"85",13
"86",12
"87",14
"88",13
"89",8
"90",11
"91",11
"92",9
"93",12
"94",10
"95",9
"96",12
"97",11
"98",13
"99",12
"100",14
"101",13
"102",10
"103",9
"104",8
"105",14
"106",12
"107",10
"108",9
"109",10
"110",13
"111",14
"112",8
"113",12
"114",11
"115",14
"116",9
"117",12
"118",9
"119",14
"120",6
"121",9
"122",12
"123",13
"124",11
"125",16
"126",9
"127",11
"128",8
"129",14
"130",10
"131",16
"132",10
"133",13
"134",9
"135",14
"136",14
"137",12
"138",9
"139",7
"140",9
"141",11
"142",16
"143",9
"144",12
"145",12
"146",11
"147",17
"148",14
"149",11
"150",7
"151",13
"152",13
"153",14
"154",12
"155",14
"156",10
"157",13
"158",8
"159",12
"160",7
"161",14
"162",12
"163",10
"164",7
"165",10
"166",13
"167",9
"168",11
"169",12
"170",10
"171",9
"172",7
"173",6
"174",12
"175",10
"176",9
"177",6
"178",11
"179",9
"180",12
"181",10
"182",12
"183",11
"184",9
"185",11
"186",12
"187",14
"188",10
"189",12
"190",8
"191",12
"192",11
"193",12
"194",11
"195",14
"196",10
"197",8
"198",15
"199",12
"200",15
"201",10
"202",12
"203",12
"204",10
"205",10
"206",11
"207",14
"208",7
"209",10
"210",11
"211",9
"212",10
"213",8
"214",7
"215",8
"216",12
"217",10
"218",13
"219",16
"220",11
"221",10
"222",11
"223",14
"224",15
"225",11
"226",10
"227",11
"228",10
"229",7
"230",9
"231",12
"232",13
"233",10
"234",9
"235",12
"236",12
"237",9
"238",13
"239",14
"240",10
"241",13
"242",9
"243",13
"244",14
"245",7
"246",13
"247",9
"248",10
"249",9
"250",12
"251",13
"252",15
"253",9
"254",15
"255",14
"256",13
"257",11
"258",12
"259",13
"260",14
"261",8
"262",13
"263",10
"264",10
"265",12
"266",13
"267",11
"268",10
"269",6
"270",13
"271",10
"272",11
"273",8
"274",11
"275",12
"276",12
"277",15
"278",9
"279",13
"280",10
"281",15
"282",7
"283",16
"284",7
"285",14
"286",12
"287",10
"288",15
"289",9
"290",12
"291",10
"292",12
"293",11
"294",12
"295",10
"296",12
"297",10
"298",11
"299",10
"300",12
"301",12
"302",7
"303",10
"304",12
"305",6
"306",15
"307",9
"308",10
"309",11
"310",14
"311",11
"312",13
"313",11
"314",10
"315",18
"316",9
"317",12
"318",14
"319",11
"320",9
"321",14
"322",14
"323",10
"324",10
"325",16
"326",10
"327",11
"328",18
"329",16
"330",14
"331",11
"332",11
"333",10
"334",11
"335",11
"336",15
"337",5
"338",10
"339",11
"340",9
"341",11
"342",11
"343",11
"344",8
"345",12
"346",11
"347",11
"348",14
"349",11
"350",7
"351",16
"352",11
"353",13
"354",14
"355",8
"356",7
"357",11
"358",11
"359",11
"360",14
"361",8
"362",16
"363",14
"364",13
"365",12
"366",12
"367",12
"368",11
"369",12
"370",14
"371",14
"372",10
"373",14
"374",12
"375",16
"376",12
"377",13
"378",7
"379",14
"380",14
"381",10
"382",15
"383",12
"384",13
"385",10
"386",9
"387",7
"388",7
"389",12
"390",14
"391",9
"392",9
"393",8
"394",13
"395",10
"396",12
"397",15
"398",10
"399",12
"400",14
"401",11
"402",9
"403",10
"404",9
"405",10
"406",11
"407",10
"408",7
"409",13
"410",9
"411",8
"412",6
"413",10
"414",9
"415",10
"416",14
"417",8
"418",10
"419",9
"420",11
"421",13
"422",10
"423",13
"424",11
"425",9
"426",8
"427",10
"428",12
"429",8
"430",11
"431",14
"432",12
"433",12
"434",11
"435",10
"436",10
"437",7
"438",14
"439",14
"440",10
"441",11
"442",9
"443",10
"444",10
"445",9
"446",13
"447",15
"448",8
"449",12
"450",12
"451",10
"452",11
"453",13
"454",10
"455",12
"456",14
"457",11
"458",9
"459",15
"460",11
"461",11
"462",7
"463",16
"464",10
"465",10
"466",18
"467",10
"468",13
"469",7
"470",10
"471",14
"472",9
"473",11
"474",14
"475",9
"476",7
"477",8
"478",7
"479",12
"480",12
"481",13
"482",11
"483",13
"484",11
"485",13
"486",7
"487",12
"488",11
"489",11
"490",14
"491",14
"492",12
"493",11
"494",7
"495",9
"496",13
"497",9
"498",13
"499",14
"500",12
"501",12
"502",17
"503",18
"504",9
"505",11
"506",7
"507",14
"508",9
"509",9
"510",14
"511",7
"512",9
"513",14
"514",12
"515",12
"516",12
"517",7
"518",10
"519",12
"520",8
"521",13
"522",11
"523",10
"524",16
"525",11
"526",11
"527",12
"528",10
"529",15
"530",5
"531",13
"532",11
"533",11
"534",9
"535",13
"536",6
"537",15
"538",17
"539",15
"540",15
"541",16
"542",9
"543",7
"544",12
"545",14
"546",11
"547",13
"548",9
"549",11
"550",9
"551",12
"552",11
"553",11
"554",9
"555",14
"556",13
"557",10
"558",6
"559",14
"560",6
"561",12
"562",14
"563",11
"564",14
"565",13
"566",9
"567",15
"568",13
"569",12
"570",9
"571",12
"572",11
"573",11
"574",12
"575",10
"576",8
"577",14
"578",12
"579",8
"580",13
"581",6
"582",12
"583",9
"584",11
"585",13
"586",11
"587",12
"588",11
"589",9
"590",12
"591",10
"592",8
"593",12
"594",11
"595",11
"596",12
"597",12
"598",10
"599",11
"600",15
"601",9
"602",14
"603",10
"604",11
"605",15
"606",12
"607",8
"608",10
"609",9
"610",13
"611",10
"612",12
"613",12
"614",10
"615",10
"616",10
"617",10
"618",7
"619",12
"620",14
"621",10
"622",9
"623",13
"624",9
"625",11
"626",10
"627",5
"628",10
"629",12
"630",11
"631",13
"632",15
"633",14
"634",12
"635",11
"636",11
"637",11
"638",11
"639",11
"640",5
"641",13
"642",14
"643",9
"644",9
"645",9
"646",10
"647",10
"648",9
"649",10
"650",11
"651",11
"652",10
"653",11
"654",13
"655",12
"656",8
"657",15
"658",15
"659",14
"660",9
"661",11
"662",9
"663",11
"664",14
"665",13
"666",12
"667",13
"668",14
"669",10
"670",12
"671",9
"672",10
"673",12
"674",9
"675",11
"676",9
"677",14
"678",13
"679",8
"680",7
"681",14
"682",6
"683",13
"684",14
"685",14
"686",15
"687",15
"688",10
"689",11
"690",12
"691",12
"692",10
"693",9
"694",13
"695",9
"696",9
"697",10
"698",13
"699",10
"700",13
"701",10
"702",11
"703",12
"704",8
"705",13
"706",9
"707",13
"708",13
"709",14
"710",11
"711",9
"712",9
"713",11
"714",11
"715",12
"716",11
"717",7
"718",9
"719",11
"720",14
"721",10
"722",9
"723",13
"724",14
"725",11
"726",7
"727",11
"728",8
"729",11
"730",13
"731",10
"732",12
"733",12
"734",10
"735",13
"736",15
"737",11
"738",10
"739",12
"740",11
"741",6
"742",9
"743",8
"744",10
"745",10
"746",10
"747",10
"748",15
"749",13
"750",12
"751",12
"752",12
"753",9
"754",10
"755",11
"756",10
"757",10
"758",14
"759",9
"760",13
"761",12
"762",11
"763",15
"764",9
"765",12
"766",8
"767",15
"768",9
"769",7
"770",14
"771",8
"772",8
"773",12
"774",12
"775",14
"776",10
"777",11
"778",13
"779",11
"780",12
"781",11
"782",12
"783",14
"784",7
"785",9
"786",10
"787",7
"788",15
"789",3
"790",10
"791",11
"792",13
"793",13
"794",12
"795",10
"796",11
"797",10
"798",14
"799",10
"800",12
"801",11
"802",12
"803",15
"804",9
"805",12
"806",10
"807",13
"808",8
"809",7
"810",10
"811",10
"812",12
"813",9
"814",7
"815",13
"816",10
"817",6
"818",12
"819",10
"820",13
"821",17
"822",13
"823",11
"824",14
"825",13
"826",14
"827",13
"828",11
"829",11
"830",13
"831",10
"832",12
"833",9
"834",11
"835",11
"836",11
"837",7
"838",13
"839",8
"840",13
"841",13
"842",15
"843",8
"844",13
"845",10
"846",13
"847",10
"848",14
"849",10
"850",11
"851",14
"852",12
"853",11
"854",12
"855",15
"856",12
"857",14
"858",13
"859",10
"860",10
"861",6
"862",16
"863",9
"864",11
"865",16
"866",11
"867",11
"868",9
"869",8
"870",16
"871",12
"872",11
"873",9
"874",9
"875",10
"876",13
"877",14
"878",12
"879",7
"880",9
"881",10
"882",9
"883",12
"884",9
"885",14
"886",14
"887",9
"888",10
"889",13
"890",13
"891",3
"892",8
"893",11
"894",11
"895",12
"896",14
"897",11
"898",11
"899",17
"900",15
"901",10
"902",11
"903",9
"904",10
"905",8
"906",14
"907",3
"908",10
"909",12
"910",11
"911",11
"912",13
"913",13
"914",11
"915",11
"916",12
"917",11
"918",10
"919",10
"920",11
"921",10
"922",14
"923",8
"924",9
"925",10
"926",11
"927",9
"928",14
"929",10
"930",14
"931",15
"932",9
"933",10
"934",9
"935",5
"936",10
"937",14
"938",13
"939",13
"940",12
"941",11
"942",13
"943",9
"944",12
"945",14
"946",13
"947",13
"948",10
"949",10
"950",12
"951",10
"952",10
"953",8
"954",12
"955",6
"956",13
"957",14
"958",11
"959",10
"960",15
"961",4
"962",12
"963",12
"964",11
"965",12
"966",13
"967",11
"968",11
"969",9
"970",10
"971",9
"972",12
"973",5
"974",10
"975",12
"976",9
"977",6
"978",11
"979",7
"980",9
"981",10
"982",9
"983",11
"984",9
"985",11
"986",12
"987",14
"988",7
"989",12
"990",13
"991",10
"992",6
"993",15
"994",14
"995",12
"996",12
"997",12
"998",15
"999",8
"1000",9
"1001",10
"1002",14
"1003",11
"1004",12
"1005",11
"1006",11
"1007",7
"1008",14
"1009",11
"1010",12
"1011",9
"1012",13
"1013",9
"1014",9
"1015",10
"1016",13
"1017",14
"1018",11
"1019",12
"1020",13
"1021",13
"1022",14
"1023",11
"1024",7
"1025",14
"1026",9
"1027",12
"1028",12
"1029",13
"1030",7
"1031",8
"1032",14
"1033",15
"1034",11
"1035",9
"1036",13
"1037",12
"1038",14
"1039",14
"1040",6
"1041",11
"1042",7
"1043",10
"1044",12
"1045",12
"1046",9
"1047",8
"1048",11
"1049",12
"1050",13
"1051",8
"1052",13
"1053",11
"1054",13
"1055",12
"1056",12
"1057",14
"1058",6
"1059",15
"1060",10
"1061",14
"1062",13
"1063",9
"1064",13
"1065",8
"1066",9
"1067",11
"1068",10
"1069",14
"1070",13
"1071",13
"1072",11
"1073",13
"1074",7
"1075",13
"1076",12
"1077",11
"1078",12
"1079",15
"1080",7
"1081",10
"1082",9
"1083",15
"1084",15
"1085",8
"1086",11
"1087",12
"1088",15
"1089",13
"1090",13
"1091",11
"1092",15
"1093",7
"1094",12
"1095",12
"1096",10
"1097",12
"1098",12
"1099",10
"1100",11
"1101",14
"1102",10
"1103",15
"1104",9
"1105",10
"1106",12
"1107",14
"1108",13
"1109",13
"1110",11
"1111",12
"1112",11
"1113",9
"1114",14
"1115",10
"1116",9
"1117",9
"1118",12
"1119",15
"1120",12
"1121",8
"1122",7
"1123",9
"1124",11
"1125",14
"1126",11
"1127",10
"1128",9
"1129",8
"1130",12
"1131",7
"1132",11
"1133",10
"1134",12
"1135",2
"1136",10
"1137",14
"1138",14
"1139",10
"1140",11
"1141",14
"1142",11
"1143",12
"1144",9
"1145",10
"1146",12
"1147",10
"1148",9
"1149",10
"1150",10
"1151",13
"1152",12
"1153",14
"1154",9
"1155",9
"1156",11
"1157",13
"1158",13
"1159",12
"1160",12
"1161",11
"1162",11
"1163",10
"1164",9
"1165",9
"1166",13
"1167",12
"1168",14
"1169",6
"1170",14
"1171",14
"1172",9
"1173",15
"1174",10
"1175",12
"1176",13
"1177",12
"1178",13
"1179",13
"1180",11
"1181",12
"1182",12
"1183",19
"1184",9
"1185",11
"1186",12
"1187",14
"1188",9
"1189",13
"1190",10
"1191",14
"1192",10
"1193",5
"1194",12
"1195",13
"1196",15
"1197",16
"1198",11
"1199",12
"1200",10
"1201",15
"1202",8
"1203",14
"1204",11
"1205",12
"1206",11
"1207",3
"1208",13
"1209",9
"1210",10
"1211",11
"1212",11
"1213",8
"1214",14
"1215",12
"1216",11
"1217",8
"1218",9
"1219",11
"1220",12
"1221",10
"1222",7
"1223",7
"1224",10
"1225",8
"1226",13
"1227",8
"1228",11
"1229",15
"1230",9
"1231",11
"1232",12
"1233",12
"1234",12
"1235",9
"1236",10
"1237",9
"1238",9
"1239",10
"1240",12
"1241",11
"1242",16
"1243",14
"1244",11
"1245",10
"1246",11
"1247",7
"1248",13
"1249",7
"1250",13
