"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT",0.05,0.1,0.12,0.15,0.2
"Probability recommended as MTD",0,0.0128,0.164,0.4984,0.3248
"Probability of clinician DLT1",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT1",0.1,0.12,0.15,0.2,0.25
"Probability recommended as MTD1",0.0056,0.0872,0.3792,0.4344,0.0936
"Probability of clinician DLT2",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT2",0.12,0.15,0.2,0.25,0.4
"Probability recommended as MTD2",0.028,0.18,0.5296,0.252,0.0104
"Probability of clinician DLT3",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT3",0.15,0.2,0.25,0.4,0.55
"Probability recommended as MTD3",0.0968,0.4728,0.4008,0.0296,0
"Probability of clinician DLT4",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT4",0.2,0.25,0.4,0.55,0.6
"Probability recommended as MTD4",0.3712,0.5712,0.0576,0,0
"Probability of clinician DLT5",0.25,0.4,0.55,0.6,0.7
"Probability of patient DLT5",0.25,0.4,0.55,0.6,0.7
"Probability recommended as MTD5",0.8952,0.1032,0,0,0
