"","x"
"1",4
"2",5
"3",11
"4",4
"5",6
"6",7
"7",5
"8",7
"9",5
"10",4
"11",7
"12",5
"13",6
"14",6
"15",6
"16",7
"17",6
"18",7
"19",1
"20",10
"21",8
"22",8
"23",9
"24",4
"25",5
"26",6
"27",5
"28",4
"29",9
"30",4
"31",4
"32",9
"33",8
"34",4
"35",6
"36",5
"37",7
"38",8
"39",8
"40",4
"41",9
"42",6
"43",4
"44",8
"45",6
"46",8
"47",4
"48",6
"49",5
"50",6
"51",8
"52",5
"53",6
"54",5
"55",10
"56",7
"57",6
"58",9
"59",2
"60",9
"61",6
"62",6
"63",5
"64",12
"65",2
"66",8
"67",10
"68",5
"69",6
"70",5
"71",6
"72",6
"73",7
"74",5
"75",10
"76",7
"77",10
"78",6
"79",4
"80",4
"81",7
"82",4
"83",6
"84",6
"85",6
"86",7
"87",6
"88",9
"89",7
"90",7
"91",3
"92",4
"93",7
"94",8
"95",6
"96",6
"97",6
"98",7
"99",8
"100",7
"101",4
"102",6
"103",7
"104",8
"105",4
"106",3
"107",5
"108",3
"109",3
"110",6
"111",2
"112",6
"113",8
"114",4
"115",2
"116",9
"117",6
"118",9
"119",6
"120",8
"121",6
"122",8
"123",3
"124",9
"125",9
"126",7
"127",6
"128",7
"129",4
"130",5
"131",5
"132",7
"133",4
"134",5
"135",4
"136",8
"137",10
"138",3
"139",9
"140",10
"141",6
"142",11
"143",6
"144",4
"145",6
"146",5
"147",7
"148",1
"149",5
"150",8
"151",8
"152",7
"153",6
"154",6
"155",7
"156",4
"157",11
"158",9
"159",11
"160",8
"161",6
"162",5
"163",6
"164",4
"165",10
"166",7
"167",4
"168",5
"169",5
"170",5
"171",6
"172",4
"173",4
"174",8
"175",3
"176",7
"177",9
"178",5
"179",4
"180",7
"181",8
"182",1
"183",9
"184",10
"185",7
"186",7
"187",8
"188",6
"189",6
"190",10
"191",6
"192",4
"193",3
"194",9
"195",5
"196",8
"197",7
"198",9
"199",7
"200",5
"201",7
"202",5
"203",10
"204",7
"205",10
"206",6
"207",4
"208",5
"209",6
"210",4
"211",6
"212",6
"213",5
"214",5
"215",5
"216",6
"217",7
"218",6
"219",4
"220",7
"221",1
"222",3
"223",5
"224",7
"225",3
"226",7
"227",6
"228",9
"229",8
"230",6
"231",6
"232",6
"233",5
"234",8
"235",11
"236",6
"237",7
"238",6
"239",5
"240",4
"241",2
"242",2
"243",7
"244",4
"245",8
"246",4
"247",4
"248",11
"249",6
"250",7
"251",5
"252",7
"253",3
"254",6
"255",7
"256",6
"257",3
"258",8
"259",3
"260",7
"261",4
"262",10
"263",2
"264",4
"265",1
"266",7
"267",6
"268",3
"269",7
"270",7
"271",3
"272",4
"273",9
"274",7
"275",5
"276",4
"277",5
"278",4
"279",3
"280",5
"281",6
"282",5
"283",4
"284",5
"285",5
"286",9
"287",7
"288",3
"289",8
"290",5
"291",6
"292",7
"293",4
"294",2
"295",5
"296",5
"297",6
"298",7
"299",5
"300",7
"301",8
"302",10
"303",8
"304",7
"305",8
"306",7
"307",7
"308",8
"309",7
"310",7
"311",8
"312",7
"313",1
"314",6
"315",9
"316",6
"317",8
"318",7
"319",5
"320",4
"321",4
"322",10
"323",7
"324",7
"325",5
"326",3
"327",5
"328",9
"329",8
"330",5
"331",7
"332",6
"333",8
"334",5
"335",4
"336",4
"337",9
"338",6
"339",9
"340",6
"341",6
"342",8
"343",4
"344",8
"345",4
"346",7
"347",6
"348",8
"349",5
"350",4
"351",9
"352",8
"353",7
"354",6
"355",7
"356",6
"357",7
"358",6
"359",6
"360",7
"361",10
"362",5
"363",7
"364",10
"365",6
"366",6
"367",11
"368",5
"369",7
"370",6
"371",8
"372",8
"373",8
"374",4
"375",6
"376",7
"377",7
"378",6
"379",3
"380",4
"381",8
"382",3
"383",7
"384",4
"385",7
"386",5
"387",5
"388",6
"389",9
"390",4
"391",3
"392",8
"393",7
"394",2
"395",2
"396",9
"397",9
"398",7
"399",7
"400",9
"401",8
"402",8
"403",8
"404",5
"405",6
"406",6
"407",8
"408",5
"409",6
"410",7
"411",7
"412",6
"413",4
"414",7
"415",6
"416",8
"417",7
"418",8
"419",3
"420",7
"421",3
"422",8
"423",9
"424",9
"425",5
"426",7
"427",7
"428",7
"429",6
"430",9
"431",4
"432",5
"433",7
"434",7
"435",5
"436",5
"437",7
"438",6
"439",7
"440",9
"441",2
"442",10
"443",6
"444",6
"445",6
"446",5
"447",5
"448",5
"449",8
"450",7
"451",6
"452",6
"453",10
"454",2
"455",5
"456",6
"457",7
"458",5
"459",6
"460",4
"461",8
"462",6
"463",3
"464",6
"465",6
"466",5
"467",9
"468",9
"469",3
"470",9
"471",10
"472",6
"473",10
"474",5
"475",4
"476",3
"477",7
"478",7
"479",2
"480",6
"481",5
"482",9
"483",5
"484",6
"485",6
"486",7
"487",7
"488",7
"489",3
"490",5
"491",7
"492",6
"493",1
"494",5
"495",6
"496",2
"497",5
"498",11
"499",8
"500",4
"501",8
"502",9
"503",3
"504",4
"505",7
"506",7
"507",5
"508",6
"509",5
"510",9
"511",2
"512",8
"513",5
"514",7
"515",5
"516",6
"517",6
"518",6
"519",8
"520",8
"521",3
"522",5
"523",6
"524",8
"525",10
"526",6
"527",9
"528",3
"529",4
"530",6
"531",5
"532",6
"533",4
"534",3
"535",4
"536",7
"537",5
"538",7
"539",5
"540",7
"541",8
"542",4
"543",9
"544",4
"545",5
"546",7
"547",6
"548",7
"549",5
"550",6
"551",5
"552",9
"553",9
"554",7
"555",4
"556",6
"557",8
"558",2
"559",6
"560",8
"561",6
"562",7
"563",6
"564",4
"565",8
"566",6
"567",8
"568",7
"569",8
"570",1
"571",6
"572",4
"573",8
"574",6
"575",6
"576",7
"577",6
"578",8
"579",5
"580",5
"581",6
"582",5
"583",6
"584",8
"585",6
"586",8
"587",7
"588",6
"589",6
"590",6
"591",6
"592",7
"593",7
"594",8
"595",8
"596",5
"597",10
"598",9
"599",7
"600",6
"601",4
"602",6
"603",4
"604",6
"605",4
"606",4
"607",4
"608",8
"609",3
"610",5
"611",10
"612",4
"613",8
"614",8
"615",5
"616",8
"617",8
"618",0
"619",9
"620",6
"621",7
"622",7
"623",5
"624",1
"625",5
