"","V1","V2","V3","V4","V5"
"1",18,21,0,0,0
"2",3,3,33,0,0
"3",3,3,30,3,0
"4",3,33,3,0,0
"5",3,15,21,0,0
"6",3,24,12,0,0
"7",18,21,0,0,0
"8",3,9,27,0,0
"9",3,33,3,0,0
"10",9,30,0,0,0
"11",12,27,0,0,0
"12",3,30,6,0,0
"13",3,36,0,0,0
"14",3,6,30,0,0
"15",3,3,24,9,0
"16",6,27,6,0,0
"17",3,15,12,9,0
"18",15,24,0,0,0
"19",3,15,21,0,0
"20",3,36,0,0,0
"21",3,21,15,0,0
"22",3,3,21,12,0
"23",3,3,33,0,0
"24",3,30,6,0,0
"25",9,6,24,0,0
"26",6,33,0,0,0
"27",3,36,0,0,0
"28",3,3,24,9,0
"29",3,30,6,0,0
"30",3,3,33,0,0
"31",3,9,27,0,0
"32",3,6,30,0,0
"33",3,30,6,0,0
"34",9,30,0,0,0
"35",3,9,27,0,0
"36",3,36,0,0,0
"37",3,36,0,0,0
"38",21,12,6,0,0
"39",24,15,0,0,0
"40",3,24,12,0,0
"41",3,3,24,9,0
"42",3,24,12,0,0
"43",9,6,24,0,0
"44",3,3,33,0,0
"45",3,3,3,30,0
"46",3,18,18,0,0
"47",3,12,24,0,0
"48",21,12,6,0,0
"49",3,9,27,0,0
"50",3,18,18,0,0
"51",30,9,0,0,0
"52",3,3,21,12,0
"53",3,12,24,0,0
"54",3,21,15,0,0
"55",3,15,21,0,0
"56",3,3,24,9,0
"57",3,27,9,0,0
"58",3,3,33,0,0
"59",12,27,0,0,0
"60",3,3,33,0,0
"61",12,21,6,0,0
"62",3,9,21,6,0
"63",3,3,30,3,0
"64",12,27,0,0,0
"65",12,27,0,0,0
"66",3,3,21,12,0
"67",15,24,0,0,0
"68",12,27,0,0,0
"69",3,3,33,0,0
"70",39,0,0,0,0
"71",3,3,33,0,0
"72",3,36,0,0,0
"73",33,6,0,0,0
"74",3,3,6,27,0
"75",3,9,27,0,0
"76",3,6,30,0,0
"77",3,6,30,0,0
"78",3,9,27,0,0
"79",3,6,30,0,0
"80",12,27,0,0,0
"81",12,27,0,0,0
