"","x"
"1",13
"2",11
"3",9
"4",11
"5",12
"6",10
"7",13
"8",19
"9",13
"10",9
"11",11
"12",11
"13",12
"14",14
"15",6
"16",11
"17",6
"18",10
"19",6
"20",11
"21",13
"22",11
"23",15
"24",12
"25",15
"26",10
"27",10
"28",9
"29",7
"30",10
"31",5
"32",8
"33",13
"34",9
"35",10
"36",13
"37",11
"38",8
"39",6
"40",8
"41",10
"42",9
"43",8
"44",14
"45",9
"46",8
"47",9
"48",10
"49",12
"50",8
"51",14
"52",7
"53",10
"54",10
"55",9
"56",9
"57",12
"58",8
"59",13
"60",9
"61",12
"62",9
"63",14
"64",12
"65",10
"66",10
"67",12
"68",7
"69",9
"70",7
"71",10
"72",11
"73",10
"74",11
"75",15
"76",7
"77",9
"78",9
"79",10
"80",7
"81",11
"82",9
"83",13
"84",13
"85",9
"86",14
"87",12
"88",9
"89",8
"90",10
"91",8
"92",10
"93",11
"94",9
"95",12
"96",12
"97",8
"98",11
"99",9
"100",12
"101",11
"102",13
"103",8
"104",9
"105",13
"106",10
"107",12
"108",10
"109",11
"110",10
"111",11
"112",9
"113",14
"114",10
"115",9
"116",9
"117",8
"118",7
"119",8
"120",11
"121",14
"122",7
"123",9
"124",11
"125",9
"126",7
"127",11
"128",7
"129",13
"130",12
"131",11
"132",9
"133",5
"134",8
"135",10
"136",10
"137",11
"138",9
"139",9
"140",11
"141",9
"142",11
"143",10
"144",9
"145",9
"146",10
"147",5
"148",13
"149",13
"150",12
"151",9
"152",10
"153",8
"154",11
"155",9
"156",6
"157",6
"158",11
"159",11
"160",11
"161",6
"162",5
"163",7
"164",8
"165",7
"166",13
"167",7
"168",9
"169",11
"170",9
"171",9
"172",10
"173",11
"174",8
"175",10
"176",9
"177",11
"178",6
"179",11
"180",7
"181",10
"182",7
"183",10
"184",12
"185",9
"186",8
"187",14
"188",11
"189",7
"190",4
"191",11
"192",10
"193",12
"194",9
"195",10
"196",10
"197",10
"198",10
"199",9
"200",11
"201",9
"202",12
"203",9
"204",8
"205",9
"206",11
"207",16
"208",9
"209",7
"210",6
"211",12
"212",9
"213",8
"214",7
"215",11
"216",11
"217",7
"218",9
"219",12
"220",13
"221",10
"222",12
"223",6
"224",12
"225",11
"226",14
"227",11
"228",10
"229",9
"230",10
"231",10
"232",11
"233",10
"234",10
"235",9
"236",9
"237",12
"238",8
"239",8
"240",12
"241",7
"242",12
"243",7
"244",10
"245",8
"246",10
"247",8
"248",6
"249",8
"250",8
"251",10
"252",11
"253",11
"254",10
"255",16
"256",7
"257",10
"258",9
"259",13
"260",9
"261",8
"262",7
"263",11
"264",5
"265",10
"266",10
"267",8
"268",9
"269",9
"270",12
"271",9
"272",9
"273",12
"274",10
"275",9
"276",13
"277",12
"278",13
"279",8
"280",11
"281",11
"282",8
"283",11
"284",9
"285",6
"286",12
"287",11
"288",9
"289",13
"290",10
"291",10
"292",12
"293",12
"294",11
"295",10
"296",5
"297",10
"298",12
"299",10
"300",11
"301",9
"302",10
"303",13
"304",8
"305",8
"306",10
"307",5
"308",8
"309",10
"310",10
"311",12
"312",11
"313",16
"314",11
"315",9
"316",12
"317",10
"318",15
"319",5
"320",12
"321",6
"322",11
"323",9
"324",10
"325",10
"326",12
"327",12
"328",11
"329",8
"330",13
"331",9
"332",10
"333",9
"334",10
"335",9
"336",9
"337",8
"338",7
"339",12
"340",9
"341",10
"342",9
"343",9
"344",14
"345",6
"346",13
"347",10
"348",10
"349",13
"350",10
"351",11
"352",8
"353",13
"354",11
"355",12
"356",9
"357",10
"358",8
"359",10
"360",10
"361",10
"362",4
"363",11
"364",10
"365",6
"366",8
"367",10
"368",12
"369",13
"370",9
"371",11
"372",10
"373",7
"374",13
"375",13
"376",11
"377",13
"378",5
"379",6
"380",3
"381",11
"382",10
"383",9
"384",7
"385",6
"386",8
"387",13
"388",12
"389",8
"390",10
"391",14
"392",11
"393",12
"394",9
"395",11
"396",9
"397",11
"398",9
"399",12
"400",10
"401",7
"402",9
"403",13
"404",10
"405",10
"406",11
"407",11
"408",8
"409",10
"410",14
"411",7
"412",6
"413",6
"414",12
"415",12
"416",8
"417",11
"418",13
"419",8
"420",8
"421",11
"422",11
"423",7
"424",8
"425",12
"426",10
"427",7
"428",8
"429",16
"430",13
"431",11
"432",11
"433",12
"434",5
"435",13
"436",6
"437",6
"438",10
"439",9
"440",11
"441",8
"442",13
"443",10
"444",7
"445",7
"446",9
"447",6
"448",7
"449",10
"450",11
"451",10
"452",10
"453",10
"454",13
"455",10
"456",13
"457",9
"458",13
"459",10
"460",13
"461",9
"462",10
"463",10
"464",11
"465",11
"466",10
"467",8
"468",8
"469",9
"470",12
"471",9
"472",10
"473",13
"474",8
"475",12
"476",9
"477",11
"478",9
"479",11
"480",7
"481",7
"482",9
"483",13
"484",11
"485",9
"486",11
"487",3
"488",10
"489",11
"490",8
"491",6
"492",11
"493",10
"494",9
"495",11
"496",5
"497",12
"498",12
"499",12
"500",8
"501",12
"502",15
"503",8
"504",13
"505",10
"506",10
"507",9
"508",10
"509",10
"510",8
"511",9
"512",9
"513",10
"514",10
"515",8
"516",9
"517",7
"518",9
"519",6
"520",12
"521",7
"522",13
"523",8
"524",11
"525",5
"526",12
"527",6
"528",9
"529",11
"530",10
"531",8
"532",11
"533",8
"534",11
"535",5
"536",11
"537",10
"538",9
"539",11
"540",11
"541",12
"542",9
"543",12
"544",9
"545",9
"546",11
"547",13
"548",9
"549",12
"550",8
"551",7
"552",10
"553",8
"554",13
"555",11
"556",8
"557",9
"558",11
"559",12
"560",10
"561",12
"562",7
"563",9
"564",9
"565",12
"566",10
"567",16
"568",12
"569",6
"570",9
"571",6
"572",9
"573",11
"574",9
"575",12
"576",13
"577",10
"578",12
"579",14
"580",14
"581",9
"582",11
"583",12
"584",12
"585",7
"586",11
"587",11
"588",13
"589",12
"590",10
"591",7
"592",10
"593",10
"594",9
"595",11
"596",10
"597",7
"598",13
"599",10
"600",13
"601",11
"602",10
"603",6
"604",11
"605",12
"606",5
"607",9
"608",3
"609",10
"610",8
"611",10
"612",11
"613",11
"614",13
"615",10
"616",8
"617",14
"618",12
"619",10
"620",15
"621",11
"622",6
"623",11
"624",9
"625",6
"626",14
"627",11
"628",12
"629",5
"630",9
"631",11
"632",12
"633",10
"634",7
"635",7
"636",9
"637",9
"638",12
"639",8
"640",11
"641",13
"642",10
"643",7
"644",11
"645",10
"646",9
"647",10
"648",4
"649",9
"650",11
"651",9
"652",12
"653",9
"654",9
"655",11
"656",10
"657",14
"658",11
"659",10
"660",12
"661",9
"662",8
"663",10
"664",8
"665",13
"666",11
"667",12
"668",6
"669",13
"670",13
"671",14
"672",7
"673",6
"674",8
"675",11
"676",8
"677",11
"678",11
"679",12
"680",7
"681",11
"682",10
"683",8
"684",8
"685",11
"686",11
"687",10
"688",12
"689",12
"690",12
"691",5
"692",10
"693",8
"694",16
"695",12
"696",8
"697",8
"698",6
"699",11
"700",7
"701",6
"702",9
"703",9
"704",8
"705",9
"706",10
"707",12
"708",12
"709",11
"710",3
"711",6
"712",11
"713",11
"714",11
"715",10
"716",13
"717",7
"718",10
"719",11
"720",13
"721",8
"722",15
"723",10
"724",10
"725",13
"726",10
"727",11
"728",13
"729",8
"730",11
"731",9
"732",11
"733",7
"734",12
"735",11
"736",12
"737",13
"738",10
"739",8
"740",8
"741",10
"742",10
"743",10
"744",7
"745",12
"746",13
"747",12
"748",8
"749",13
"750",8
"751",14
"752",11
"753",8
"754",12
"755",4
"756",12
"757",10
"758",8
"759",11
"760",9
"761",9
"762",8
"763",10
"764",9
"765",12
"766",9
"767",8
"768",8
"769",14
"770",9
"771",11
"772",10
"773",11
"774",9
"775",10
"776",10
"777",13
"778",11
"779",10
"780",13
"781",9
"782",10
"783",11
"784",10
"785",10
"786",8
"787",13
"788",10
"789",11
"790",8
"791",7
"792",10
"793",6
"794",11
"795",8
"796",9
"797",11
"798",11
"799",10
"800",13
"801",8
"802",9
"803",9
"804",15
"805",13
"806",9
"807",7
"808",16
"809",14
"810",15
"811",11
"812",12
"813",4
"814",10
"815",6
"816",13
"817",11
"818",8
"819",7
"820",8
"821",7
"822",8
"823",11
"824",11
"825",12
"826",11
"827",11
"828",7
"829",8
"830",12
"831",12
"832",12
"833",10
"834",9
"835",10
"836",12
"837",5
"838",13
"839",4
"840",10
"841",14
"842",8
"843",10
"844",6
"845",6
"846",9
"847",7
"848",8
"849",7
"850",7
"851",15
"852",9
"853",12
"854",9
"855",6
"856",7
