"","1","2","3","4","5"
"Probability of clinician DLT",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.2556,0.3556,0.23,0.0832,0.075
"Probability of clinician DLT1",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD1",0.6084,0.2892,0.0672,0.0302,0.0044
"Probability of clinician DLT2",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.0762,0.4228,0.2954,0.106,0.0988
"Probability of clinician DLT3",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD3",0.1288,0.6032,0.1876,0.0666,0.0132
"Probability of clinician DLT4",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD4",0.0182,0.1724,0.4836,0.1726,0.1528
"Probability of clinician DLT5",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD5",0.0244,0.2152,0.5588,0.1452,0.0556
"Probability of clinician DLT6",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD6",0.0048,0.038,0.2402,0.3996,0.3172
"Probability of clinician DLT7",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD7",0.0056,0.0452,0.271,0.4686,0.2094
"Probability of clinician DLT8",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD8",6e-04,0.0048,0.066,0.3782,0.5498
"Probability of clinician DLT9",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy9",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD9",0.2794,0.381,0.238,0.0748,0.0236
"Probability of clinician DLT10",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy10",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD10",0.5886,0.2684,0.0988,0.0406,4e-04
"Probability of clinician DLT11",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy11",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.0834,0.4726,0.3068,0.0954,0.0378
"Probability of clinician DLT12",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy12",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD12",0.1316,0.5948,0.1886,0.0784,0.003
"Probability of clinician DLT13",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy13",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD13",0.0214,0.204,0.5584,0.1626,0.05
"Probability of clinician DLT14",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy14",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD14",0.0242,0.2318,0.611,0.1142,0.0154
"Probability of clinician DLT15",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy15",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD15",0.0064,0.0516,0.4358,0.3864,0.1158
"Probability of clinician DLT16",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy16",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD16",0.0078,0.0608,0.4466,0.4048,0.076
"Probability of clinician DLT17",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy17",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD17",6e-04,0.02,0.2928,0.4984,0.1836
"Probability of clinician DLT18",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy18",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD18",0.3294,0.4398,0.1776,0.0324,0.0022
"Probability of clinician DLT19",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy19",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD19",0.5806,0.2648,0.1234,0.0116,0
"Probability of clinician DLT20",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy20",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD20",0.1102,0.5882,0.2448,0.0392,6e-04
"Probability of clinician DLT21",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy21",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD21",0.1484,0.6408,0.158,0.031,6e-04
"Probability of clinician DLT22",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy22",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD22",0.033,0.405,0.4732,0.0654,0.0024
"Probability of clinician DLT23",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy23",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD23",0.039,0.4144,0.4718,0.0536,0.0016
"Probability of clinician DLT24",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy24",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD24",0.0102,0.268,0.5402,0.1592,0.0034
"Probability of clinician DLT25",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy25",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD25",0.0122,0.272,0.5366,0.1566,0.0034
"Probability of clinician DLT26",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy26",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD26",0.0076,0.22,0.5308,0.2164,0.0088
"Probability of clinician DLT27",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy27",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD27",0.469,0.3664,0.0844,0.0016,0
"Probability of clinician DLT28",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy28",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD28",0.617,0.2512,0.0564,8e-04,0
"Probability of clinician DLT29",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy29",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD29",0.2654,0.548,0.1064,0.0014,0
"Probability of clinician DLT30",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy30",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD30",0.301,0.5496,0.0718,0.0018,0
"Probability of clinician DLT31",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy31",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD31",0.1696,0.5622,0.1958,0.0038,0
