"","V1","V2","V3","V4","V5"
"1",1,0,20,2,2
"2",0,16,2,2,2
"3",5,14,0,0,0
"4",0,20,4,3,0
"5",0,3,19,0,0
"6",0,0,4,0,19
"7",0,0,0,0,20
"8",0,0,1,19,2
"9",0,1,15,3,0
"10",1,0,19,3,0
"11",0,4,1,15,1
"12",2,0,15,0,3
"13",0,0,26,0,3
"14",2,3,17,0,0
"15",1,3,21,3,0
"16",9,4,1,0,0
"17",2,4,8,3,0
"18",0,10,11,0,0
"19",20,3,2,0,0
"20",0,3,1,0,17
"21",3,2,15,0,0
"22",0,0,1,0,19
"23",0,19,4,0,0
"24",0,3,17,4,0
"25",0,17,5,0,0
"26",1,3,16,0,5
"27",0,5,16,0,0
"28",0,2,0,19,2
"29",0,1,20,3,1
"30",3,9,6,0,0
"31",1,1,0,6,11
"32",0,2,0,2,18
"33",0,1,20,5,0
"34",1,1,17,0,3
"35",0,7,12,3,2
"36",0,1,21,2,0
"37",3,1,21,0,3
"38",0,17,1,1,0
"39",0,0,1,2,18
"40",2,21,1,0,0
"41",3,17,0,0,0
"42",2,0,22,0,2
"43",0,0,3,20,2
"44",0,0,2,3,21
"45",6,1,10,0,0
"46",4,2,16,0,0
"47",0,0,3,19,0
"48",2,21,0,3,0
"49",0,19,0,2,2
"50",0,0,1,4,19
"51",0,1,3,16,0
"52",0,0,16,3,2
"53",3,0,19,0,1
"54",3,0,20,0,0
"55",0,21,3,2,0
"56",0,3,20,0,2
"57",0,18,0,0,4
"58",0,0,1,2,25
"59",0,0,1,9,17
"60",2,0,17,0,3
"61",1,2,14,1,1
"62",10,9,0,0,0
"63",1,18,0,2,1
"64",0,3,21,0,2
"65",0,0,22,0,0
"66",1,5,14,0,0
"67",1,3,17,0,0
"68",1,0,4,19,0
"69",0,0,4,1,18
"70",0,2,22,0,0
"71",1,2,20,0,0
"72",0,1,24,0,0
"73",0,0,18,4,0
"74",0,21,3,0,0
"75",1,0,19,0,0
"76",2,13,1,1,0
"77",3,15,0,4,0
"78",11,7,0,0,0
"79",1,3,16,0,0
"80",0,0,24,3,0
"81",0,1,1,23,0
"82",1,0,23,0,2
"83",0,17,2,0,3
"84",6,6,6,0,3
"85",0,0,22,0,3
"86",0,3,5,12,2
"87",0,1,24,0,0
"88",0,1,2,0,19
"89",1,1,18,0,1
"90",0,1,3,3,17
"91",0,0,19,3,0
"92",1,23,0,2,0
"93",0,4,22,0,0
"94",0,2,17,0,2
"95",1,16,2,2,0
"96",2,0,1,21,0
"97",1,18,1,1,0
"98",0,2,22,0,0
"99",1,0,3,4,11
"100",2,17,2,0,5
"101",0,20,2,0,1
"102",2,3,20,0,0
"103",3,14,0,0,0
"104",6,12,4,0,0
"105",0,1,1,3,16
"106",0,0,4,20,2
"107",0,7,13,0,0
"108",0,0,3,19,3
"109",1,0,19,2,0
"110",0,21,2,0,3
"111",0,17,1,2,0
"112",1,0,24,2,0
"113",1,2,16,3,0
"114",3,1,0,0,15
"115",2,4,17,2,0
"116",0,4,15,2,2
"117",0,1,4,13,2
"118",18,0,3,0,0
"119",3,17,0,0,0
"120",5,9,2,1,2
"121",1,18,1,0,0
"122",0,2,4,12,0
"123",0,1,22,1,0
"124",0,2,0,0,22
"125",5,7,0,0,0
"126",0,1,2,20,1
"127",1,0,2,15,4
"128",0,0,1,14,6
"129",0,0,25,2,0
"130",1,19,3,0,2
"131",3,15,2,4,0
"132",2,0,0,0,14
"133",0,0,18,0,3
"134",0,1,2,8,5
"135",0,18,1,0,1
"136",1,0,1,3,18
"137",0,0,2,1,20
"138",0,2,0,2,21
"139",0,0,1,5,18
"140",1,22,0,0,0
"141",0,17,2,0,1
"142",0,1,0,21,0
"143",0,0,23,2,2
"144",1,0,26,0,0
"145",0,0,3,15,8
"146",6,16,0,0,0
"147",0,1,21,5,0
"148",0,0,26,0,4
"149",3,5,10,0,0
"150",0,2,1,3,15
"151",2,1,15,2,0
"152",1,3,19,3,0
"153",0,0,4,1,15
"154",0,0,22,2,0
"155",0,19,5,0,0
"156",0,4,19,0,0
"157",2,0,8,8,4
"158",0,1,17,0,2
"159",0,1,0,2,19
"160",1,1,0,0,19
"161",0,3,13,3,1
"162",0,1,0,0,0
"163",0,11,2,1,5
