"","V1","V2","V3","V4","V5"
"1",1,2,3,0,0
"2",0,11,2,0,0
"3",0,2,0,0,0
"4",1,5,1,0,0
"5",0,10,0,0,0
"6",0,0,6,1,1
"7",1,6,0,0,4
"8",0,2,0,0,0
"9",8,1,0,0,0
"10",0,8,2,0,2
"11",0,0,8,3,0
"12",0,1,8,0,0
"13",0,9,3,0,0
"14",0,0,7,3,1
"15",5,0,2,0,0
"16",2,3,1,0,0
"17",1,11,1,0,0
"18",2,6,0,0,0
"19",1,4,2,0,0
"20",0,8,0,0,0
"21",0,1,8,1,0
"22",0,2,0,0,0
"23",0,8,2,0,0
"24",0,4,0,0,0
"25",1,4,1,0,0
"26",0,1,7,3,2
"27",1,4,4,0,0
"28",0,1,7,0,0
"29",0,3,5,0,0
"30",0,4,5,2,0
"31",0,0,6,2,5
"32",7,1,0,0,0
"33",2,4,1,0,0
"34",0,6,2,2,2
"35",1,9,0,1,0
"36",0,6,2,0,0
"37",6,1,1,0,0
"38",2,5,0,0,3
"39",1,10,1,0,2
"40",0,0,10,0,2
"41",6,4,0,1,0
"42",0,1,8,0,0
"43",0,7,0,1,0
"44",0,4,2,0,0
"45",0,3,0,0,3
"46",0,2,0,0,0
"47",0,6,0,0,0
"48",0,3,0,0,3
"49",1,6,0,0,0
"50",0,0,10,0,0
"51",2,10,2,0,0
"52",0,1,11,1,0
"53",0,6,0,0,0
"54",2,8,2,0,0
"55",0,4,1,0,0
"56",0,1,6,0,0
"57",0,0,11,0,0
"58",0,5,2,0,0
"59",0,11,0,0,0
"60",2,0,0,0,0
"61",3,0,2,0,0
"62",3,0,2,0,0
"63",1,7,1,0,0
"64",3,0,0,2,0
"65",1,8,0,0,0
"66",0,7,1,0,2
"67",0,1,8,0,3
"68",0,3,6,0,1
"69",0,9,0,0,0
"70",3,6,3,0,0
"71",1,8,3,0,0
"72",0,1,6,2,0
"73",1,8,3,0,0
"74",0,0,9,0,2
"75",0,6,4,3,1
"76",1,4,3,0,0
"77",0,0,3,0,0
"78",0,10,2,0,0
"79",0,6,2,0,0
"80",1,7,1,0,0
"81",3,0,0,0,0
"82",0,2,0,0,0
"83",0,8,1,0,0
"84",0,4,7,0,2
"85",0,3,9,0,0
"86",0,6,5,0,0
"87",0,5,8,0,0
"88",0,2,3,2,1
"89",4,1,0,0,0
"90",0,7,1,0,0
"91",1,8,1,0,0
"92",0,2,0,0,0
"93",5,6,0,1,0
"94",1,8,0,0,0
"95",0,10,0,0,1
"96",0,2,7,0,0
"97",0,9,0,1,2
"98",0,8,1,0,3
"99",0,1,6,7,3
"100",0,0,10,1,0
"101",0,7,3,0,0
"102",0,0,3,5,0
"103",1,7,2,0,2
"104",0,4,4,0,1
"105",0,7,0,2,1
"106",0,7,3,0,0
"107",0,1,10,0,0
"108",3,7,0,0,0
"109",0,2,0,0,0
"110",0,1,6,0,0
"111",3,8,0,0,0
"112",1,9,1,0,0
"113",0,10,1,0,0
"114",0,8,3,0,0
"115",4,5,2,0,3
"116",0,8,0,0,2
"117",6,1,0,0,0
