"","V1","V2","V3","V4","V5"
"1",3,0,0,0,0
"2",9,36,3,0,0
"3",15,6,0,0,0
"4",0,3,0,0,0
"5",9,0,0,0,0
"6",36,3,0,0,0
"7",9,0,3,0,0
"8",30,12,6,0,0
"9",39,6,3,0,0
"10",3,6,0,0,0
"11",12,3,0,0,0
"12",0,0,3,0,0
"13",3,0,3,0,0
"14",39,3,6,0,0
"15",42,3,0,0,3
"16",24,0,3,0,0
"17",0,3,0,0,0
"18",36,12,0,0,0
"19",9,0,0,0,0
"20",12,0,0,0,0
"21",15,12,0,0,0
"22",36,6,6,0,0
"23",12,30,6,0,0
"24",3,0,0,0,0
"25",3,0,3,0,0
"26",15,0,0,0,0
"27",9,0,0,0,0
"28",24,12,3,3,0
"29",18,24,6,0,0
"30",39,6,3,0,0
"31",21,0,0,0,0
"32",3,0,3,0,0
"33",12,3,0,0,0
"34",9,0,0,0,0
"35",3,0,0,0,0
"36",42,6,0,0,0
"37",0,3,0,0,0
"38",6,0,3,0,0
"39",42,6,0,0,0
"40",30,15,3,0,0
"41",9,0,3,0,0
"42",39,3,3,3,0
"43",9,6,0,0,0
"44",45,0,3,0,0
"45",18,9,3,0,3
"46",39,3,3,0,3
"47",3,3,0,0,0
"48",21,24,3,0,0
"49",3,9,0,0,0
"50",18,3,0,3,0
"51",15,6,3,0,0
"52",6,0,3,0,0
"53",30,9,9,0,0
"54",45,3,0,0,0
"55",3,6,0,0,0
"56",33,6,3,0,0
"57",3,3,0,0,0
"58",39,9,0,0,0
"59",3,0,0,0,0
"60",15,3,6,0,0
"61",42,6,0,0,0
"62",18,0,3,0,0
"63",3,0,3,0,0
"64",0,3,0,0,0
"65",30,18,0,0,0
"66",12,6,6,0,0
"67",3,3,3,0,0
"68",9,3,3,0,0
"69",3,0,3,0,0
"70",3,3,0,0,0
"71",21,6,3,0,0
"72",12,3,3,0,0
"73",27,12,6,3,0
"74",30,12,3,0,3
"75",0,0,3,0,0
"76",9,0,0,0,0
"77",0,0,3,0,0
"78",0,3,0,0,0
"79",0,0,3,0,0
"80",36,12,0,0,0
"81",0,3,0,0,0
"82",39,6,3,0,0
"83",42,3,0,0,3
"84",0,3,0,0,0
"85",39,6,3,0,0
"86",3,6,0,0,0
"87",6,0,3,0,0
"88",0,3,0,0,0
"89",12,30,6,0,0
"90",6,0,3,0,0
"91",24,3,6,0,0
"92",45,0,3,0,0
"93",3,0,3,0,0
"94",9,0,3,0,0
"95",42,6,0,0,0
"96",39,6,3,0,0
"97",0,0,3,0,0
"98",3,0,0,0,0
"99",45,0,3,0,0
"100",39,6,3,0,0
"101",3,42,3,0,0
"102",42,0,6,0,0
"103",45,0,3,0,0
"104",36,3,0,0,3
"105",36,0,3,0,0
"106",3,0,3,0,0
"107",15,9,0,0,0
"108",12,3,6,0,0
"109",6,0,3,0,0
"110",0,0,3,0,0
"111",3,0,3,0,0
"112",42,0,3,0,3
"113",21,3,0,0,0
"114",21,24,0,3,0
"115",27,3,0,0,0
"116",12,6,3,0,0
"117",18,6,6,0,3
"118",3,0,0,0,0
"119",42,3,0,0,3
"120",3,6,0,0,0
"121",18,6,3,0,0
"122",6,3,0,0,0
"123",15,0,3,0,0
"124",6,0,0,0,0
