"","V1","V2","V3","V4","V5"
"1",1,6,15,3,0
"2",3,12,0,0,0
"3",0,1,0,0,0
"4",9,10,4,0,0
"5",2,7,14,0,2
"6",0,5,19,0,0
"7",16,2,1,0,0
"8",1,16,1,0,0
"9",6,10,0,0,0
"10",12,8,1,0,0
"11",9,10,0,0,0
"12",19,1,2,0,0
"13",2,2,19,2,0
"14",0,3,0,0,0
"15",17,8,2,0,0
"16",4,18,1,2,0
"17",9,1,3,0,0
"18",13,0,1,0,0
"19",6,15,0,0,0
"20",6,20,3,0,0
"21",7,3,4,1,0
"22",1,21,4,0,0
"23",2,3,21,1,0
"24",5,19,0,0,0
"25",1,1,0,0,0
"26",2,16,5,0,0
"27",1,23,3,0,0
"28",2,2,0,0,0
"29",4,16,3,0,0
"30",0,2,0,0,0
"31",9,12,0,0,0
"32",0,1,0,0,0
"33",15,6,0,0,0
"34",0,20,1,0,0
"35",2,20,1,0,0
"36",12,8,1,0,0
"37",1,22,2,0,0
"38",12,8,5,0,0
"39",16,7,0,1,0
"40",19,0,0,0,0
"41",0,0,2,0,0
"42",4,20,0,0,0
"43",9,13,2,0,0
"44",0,3,23,1,0
"45",3,18,3,0,0
"46",2,8,10,0,0
"47",2,14,0,0,0
"48",0,1,29,0,0
"49",1,21,0,0,0
"50",0,23,4,0,0
"51",16,0,0,0,0
"52",1,10,15,0,0
"53",7,8,0,0,0
"54",16,3,0,0,0
"55",1,12,2,0,0
"56",3,14,3,0,0
"57",10,8,0,0,0
"58",14,1,0,3,0
"59",15,3,0,0,0
"60",2,22,0,0,0
"61",12,14,1,0,0
"62",1,19,5,1,0
"63",14,5,0,0,0
"64",14,2,0,0,0
"65",9,14,2,0,0
"66",8,11,2,0,0
"67",3,17,0,0,0
"68",2,19,0,0,0
"69",6,11,4,0,2
"70",0,26,2,0,1
"71",0,4,28,0,0
"72",20,6,0,0,0
"73",2,28,0,0,0
"74",11,13,2,0,0
"75",15,1,0,0,0
"76",1,0,0,0,0
"77",18,0,0,0,0
"78",19,1,0,0,0
"79",2,19,4,0,0
"80",1,0,1,0,0
"81",17,3,0,0,0
"82",0,17,2,2,0
"83",3,0,3,0,0
"84",8,15,0,0,0
"85",0,18,1,2,0
"86",6,20,3,0,0
"87",16,5,0,0,0
"88",13,10,2,0,0
"89",5,0,17,2,0
"90",10,10,6,0,0
"91",9,11,3,0,0
"92",3,0,0,0,0
"93",2,23,4,0,0
"94",14,7,1,0,0
"95",0,15,2,2,0
"96",4,11,15,0,0
"97",1,13,2,1,0
"98",11,6,4,0,0
"99",2,20,0,0,0
"100",4,0,2,0,0
"101",2,16,0,2,1
"102",2,20,3,0,0
"103",4,22,5,0,0
"104",4,17,4,1,0
"105",1,1,0,0,0
"106",1,16,4,0,1
"107",1,19,5,0,0
"108",0,3,0,0,0
"109",0,20,2,1,0
"110",9,6,2,0,0
"111",14,3,0,1,0
"112",3,0,0,0,0
"113",11,1,0,1,0
"114",2,22,0,0,0
"115",17,1,0,0,0
"116",12,4,5,2,1
"117",4,19,2,0,0
"118",19,4,3,0,0
"119",2,23,0,0,0
"120",7,10,5,1,0
"121",0,1,26,4,0
"122",0,23,0,0,0
"123",2,14,11,0,0
"124",4,22,0,0,0
"125",12,9,2,0,0
"126",22,0,1,0,0
"127",12,9,0,0,0
"128",0,9,14,0,0
"129",2,0,3,0,0
"130",1,25,4,0,0
"131",4,13,3,0,0
"132",2,16,0,0,0
"133",8,16,0,0,0
"134",8,13,2,2,0
"135",22,2,3,0,0
"136",0,1,32,0,0
"137",11,9,3,0,0
"138",2,25,0,0,0
"139",3,21,0,0,0
"140",16,5,0,0,0
"141",0,0,2,0,0
"142",22,1,0,0,0
"143",6,19,2,0,0
"144",9,16,1,0,0
"145",0,18,4,0,0
"146",16,6,3,0,0
"147",2,24,0,0,0
"148",20,2,0,0,0
"149",4,12,10,0,0
"150",1,0,1,0,0
"151",4,19,1,0,0
"152",20,0,1,0,0
"153",25,0,0,0,0
"154",0,2,24,0,3
"155",0,3,27,1,0
"156",10,9,2,2,0
"157",12,5,2,0,0
"158",2,17,2,0,0
"159",12,3,0,0,0
"160",0,2,0,0,0
"161",21,5,2,0,0
"162",23,2,0,0,0
"163",4,20,0,0,0
"164",1,12,13,0,0
"165",0,18,4,0,0
"166",0,7,16,0,0
"167",4,20,1,1,0
"168",17,2,6,0,0
"169",1,3,3,0,0
"170",6,11,0,0,0
"171",16,1,3,0,0
"172",0,9,19,2,0
"173",2,23,6,0,0
"174",0,14,6,0,0
"175",3,16,1,1,0
"176",1,24,1,0,0
"177",4,17,0,0,0
"178",1,23,2,1,0
"179",11,10,3,0,0
"180",1,21,0,0,0
"181",1,23,5,0,0
"182",5,15,3,0,0
"183",0,2,15,7,0
"184",2,3,0,0,0
"185",0,1,18,0,0
"186",12,6,3,0,0
"187",11,7,1,0,0
"188",11,11,0,0,0
"189",3,12,1,0,0
"190",10,11,2,0,0
"191",18,1,0,0,0
"192",1,19,1,0,0
"193",8,13,0,0,0
"194",3,2,0,2,0
"195",3,12,1,0,0
"196",1,3,0,1,0
"197",5,15,6,0,0
"198",4,19,0,2,0
"199",9,6,0,0,0
"200",8,9,1,0,0
"201",0,0,2,0,0
"202",0,26,0,0,0
"203",15,4,2,0,0
"204",0,19,3,0,0
"205",2,2,21,0,0
"206",3,14,0,0,0
"207",0,21,2,0,0
"208",8,12,2,0,0
"209",0,17,2,0,0
"210",2,22,1,0,0
"211",17,3,2,0,0
"212",0,11,8,0,0
"213",2,18,2,0,0
"214",7,9,6,0,0
"215",1,23,3,1,0
"216",0,19,0,0,0
"217",4,19,0,0,0
"218",2,0,0,0,0
"219",1,11,13,0,0
"220",0,0,0,0,0
"221",3,17,6,4,0
"222",17,3,1,0,0
"223",8,9,0,0,0
"224",3,17,1,0,0
"225",2,3,20,2,0
"226",17,4,2,0,0
"227",4,15,1,0,0
"228",3,2,0,0,0
"229",1,20,3,0,0
"230",2,1,22,0,0
"231",5,1,0,0,0
"232",3,19,2,0,0
"233",1,0,2,0,0
"234",6,18,0,0,0
"235",21,0,2,0,0
"236",12,9,2,0,0
"237",1,0,0,0,0
"238",1,0,2,0,0
"239",7,11,4,0,0
"240",15,6,2,0,0
"241",1,13,2,3,0
"242",0,17,6,0,2
"243",19,2,3,0,0
"244",0,0,3,0,0
"245",5,16,2,1,0
"246",3,15,8,0,0
"247",16,4,0,0,0
"248",5,15,2,0,0
"249",1,0,0,0,0
"250",0,19,6,0,0
"251",6,13,0,0,0
"252",9,17,0,0,0
"253",12,3,0,0,0
"254",14,5,1,0,0
"255",3,18,2,0,0
"256",17,1,0,0,0
"257",5,12,0,0,0
"258",3,2,1,0,0
"259",13,3,0,0,0
"260",4,21,3,0,0
"261",3,0,26,2,0
"262",8,11,0,0,0
"263",0,20,2,0,0
"264",9,10,0,1,0
"265",9,7,1,0,0
"266",9,11,0,0,0
"267",12,4,0,0,0
"268",1,5,14,2,0
"269",0,12,6,2,0
"270",0,2,29,1,0
"271",3,17,0,0,0
"272",2,18,2,0,0
"273",2,19,0,1,0
"274",2,0,2,0,0
"275",5,16,0,0,0
"276",2,16,3,0,0
"277",15,3,0,0,0
"278",5,16,0,1,0
"279",0,19,1,0,0
"280",2,19,2,0,0
"281",3,15,2,0,0
"282",19,4,2,0,0
"283",0,0,25,2,0
"284",11,3,0,0,0
"285",19,0,0,0,0
"286",14,4,2,0,0
"287",0,24,2,0,0
"288",2,16,5,0,0
"289",19,2,0,0,0
"290",17,2,0,0,0
"291",0,8,15,1,0
"292",1,19,4,0,0
"293",1,24,2,0,0
"294",10,16,1,0,0
"295",12,7,0,0,0
"296",1,0,24,2,0
"297",8,14,3,0,0
"298",2,17,2,0,0
"299",0,17,9,0,0
"300",1,0,1,0,0
"301",10,4,3,0,0
"302",3,18,6,0,0
"303",2,5,22,0,0
"304",15,8,0,0,0
"305",0,4,19,2,1
"306",3,17,2,0,0
"307",1,25,2,0,0
"308",17,2,2,0,0
"309",18,2,2,1,0
"310",7,10,1,0,0
"311",0,1,0,0,0
"312",5,14,3,0,0
"313",20,2,0,0,0
"314",1,14,9,0,0
"315",1,23,5,2,0
"316",0,2,25,0,0
"317",0,21,3,0,0
"318",5,14,0,0,0
"319",1,19,2,0,0
"320",20,5,1,0,0
"321",1,22,3,0,0
"322",11,2,2,0,0
"323",6,21,0,0,0
"324",9,5,0,4,0
"325",3,22,4,0,0
"326",5,2,0,0,0
"327",7,13,4,0,0
"328",0,7,19,0,0
"329",0,23,3,0,0
"330",18,2,0,0,0
"331",2,3,24,0,0
"332",0,26,6,0,0
"333",3,23,1,0,0
"334",5,14,0,0,0
"335",11,8,0,0,0
"336",6,9,0,0,0
"337",4,18,0,0,0
"338",5,15,0,0,0
"339",9,7,1,0,0
