"","V1","V2","V3","V4","V5"
"1",42,3,3,0,0
"2",6,0,0,0,0
"3",6,0,0,0,0
"4",9,0,3,0,0
"5",6,3,0,0,0
"6",3,12,0,0,0
"7",0,3,0,0,0
"8",3,0,3,0,0
"9",6,36,6,0,0
"10",36,9,0,3,0
"11",6,0,0,0,0
"12",3,0,3,0,0
"13",48,0,0,0,0
"14",3,0,3,0,0
"15",12,3,0,0,0
"16",45,0,3,0,0
"17",39,6,3,0,0
"18",42,6,0,0,0
"19",0,18,30,0,0
"20",3,0,3,0,0
"21",24,21,3,0,0
"22",42,6,0,0,0
"23",6,0,0,0,0
"24",9,0,3,0,0
"25",45,0,3,0,0
"26",3,3,3,0,0
"27",48,0,0,0,0
"28",3,0,3,0,0
"29",39,6,0,3,0
"30",0,6,0,0,0
"31",3,3,3,0,0
"32",21,3,0,0,0
"33",39,6,3,0,0
"34",3,0,3,0,0
"35",45,3,0,0,0
"36",6,42,0,0,0
"37",24,0,0,0,0
"38",48,0,0,0,0
"39",6,3,0,0,0
"40",3,0,3,0,0
"41",39,6,3,0,0
"42",33,9,6,0,0
"43",45,3,0,0,0
"44",6,0,0,0,0
"45",3,0,0,0,0
"46",6,0,3,0,0
"47",21,3,3,0,0
"48",3,39,6,0,0
"49",3,3,3,0,0
"50",36,3,3,6,0
"51",9,6,0,0,0
"52",42,3,3,0,0
"53",9,0,0,0,0
"54",3,0,3,0,0
"55",27,15,3,3,0
"56",42,3,3,0,0
"57",48,0,0,0,0
"58",27,6,0,3,0
"59",33,15,0,0,0
"60",6,0,0,0,0
"61",21,24,0,3,0
"62",0,0,3,0,0
"63",3,0,3,0,0
"64",3,0,0,0,0
"65",42,3,3,0,0
"66",45,0,3,0,0
"67",39,6,3,0,0
"68",27,12,9,0,0
"69",33,12,3,0,0
"70",36,3,9,0,0
"71",3,0,3,0,0
"72",42,3,3,0,0
"73",33,6,0,3,0
"74",45,0,3,0,0
"75",42,6,0,0,0
"76",3,0,3,0,0
"77",39,3,6,0,0
"78",6,39,3,0,0
"79",42,6,0,0,0
"80",45,0,3,0,0
"81",33,12,3,0,0
"82",0,0,3,0,0
"83",9,0,3,3,0
"84",42,3,3,0,0
"85",42,3,3,0,0
"86",6,3,0,0,0
"87",42,3,3,0,0
"88",3,0,3,0,0
"89",42,3,3,0,0
