"","V1","V2","V3","V4","V5"
"1",7,2,3,0,0
"2",4,0,0,0,0
"3",8,0,0,0,0
"4",0,3,0,0,0
"5",2,0,0,0,0
"6",2,1,0,0,0
"7",3,0,2,0,0
"8",2,2,1,0,0
"9",0,2,0,0,0
"10",6,1,1,0,0
"11",0,0,3,0,0
"12",0,3,0,0,0
"13",8,0,0,0,0
"14",8,2,0,0,0
"15",2,0,0,0,0
"16",2,0,2,0,0
"17",4,2,1,0,0
"18",2,0,2,0,0
"19",2,3,1,0,0
"20",10,0,1,0,0
"21",2,0,0,3,0
"22",7,1,0,0,0
"23",10,1,0,0,0
"24",1,0,2,0,0
"25",1,0,2,0,0
"26",0,0,3,0,0
"27",1,0,2,0,0
"28",2,0,2,0,0
"29",5,4,0,0,0
"30",4,7,0,1,0
"31",0,3,0,0,0
"32",0,0,3,0,0
"33",8,2,1,0,0
"34",0,2,0,0,0
"35",9,2,2,0,0
"36",0,0,3,0,0
"37",0,2,0,0,0
"38",4,0,0,0,0
"39",1,0,2,0,0
"40",9,0,2,0,0
"41",4,3,2,0,0
"42",2,1,0,0,0
"43",2,0,0,0,0
"44",7,1,0,0,0
"45",10,0,0,0,0
"46",3,2,1,0,0
"47",2,1,0,0,0
"48",3,1,0,0,0
"49",6,0,0,3,0
"50",0,2,0,0,0
"51",2,0,2,0,0
"52",8,4,0,0,0
"53",0,0,3,0,0
"54",6,1,1,0,0
"55",0,2,0,0,0
"56",2,0,0,0,0
"57",0,2,0,0,0
"58",7,2,1,0,0
"59",3,3,0,0,0
"60",0,2,0,0,0
"61",2,0,0,0,0
"62",7,1,0,0,0
"63",2,0,0,0,0
"64",8,0,0,0,0
"65",5,1,0,0,0
"66",1,0,2,0,0
"67",0,3,0,0,0
"68",7,4,0,0,0
"69",0,2,0,0,0
"70",9,0,2,0,0
"71",2,1,0,0,0
"72",4,0,1,0,0
"73",3,1,0,0,0
"74",2,1,0,0,0
"75",0,2,0,0,0
"76",4,2,0,0,0
"77",7,1,1,0,0
"78",0,0,3,0,0
"79",0,0,3,0,0
"80",8,1,2,0,0
"81",2,1,0,0,0
"82",10,2,1,0,0
"83",9,3,0,0,0
"84",0,0,3,0,0
"85",3,1,0,0,0
"86",11,0,1,0,0
"87",3,3,0,0,0
"88",2,0,0,0,0
"89",1,0,2,0,0
"90",2,0,0,0,0
"91",2,0,1,0,0
"92",10,0,1,0,0
"93",4,4,1,0,0
"94",10,2,0,0,0
"95",2,0,3,0,0
"96",0,3,1,0,0
