"","1","2","3","4","5"
"Probability of clinician DLT",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.3718,0.2876,0.2236,0.1032,0.0126
"Probability of clinician DLT1",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD1",0.711,0.1932,0.0724,0.0214,8e-04
"Probability of clinician DLT2",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.1602,0.3838,0.2996,0.1392,0.016
"Probability of clinician DLT3",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD3",0.25,0.5558,0.1612,0.03,0.0024
"Probability of clinician DLT4",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD4",0.087,0.1816,0.4768,0.2194,0.0344
"Probability of clinician DLT5",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD5",0.1106,0.2136,0.567,0.1024,0.0052
"Probability of clinician DLT6",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD6",0.052,0.1288,0.296,0.4384,0.0838
"Probability of clinician DLT7",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD7",0.0554,0.1238,0.3168,0.4666,0.0366
"Probability of clinician DLT8",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD8",0.0322,0.091,0.245,0.4314,0.199
"Probability of clinician DLT9",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy9",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD9",0.3926,0.3082,0.233,0.0582,0.0028
"Probability of clinician DLT10",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy10",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD10",0.7158,0.195,0.0686,0.014,0
"Probability of clinician DLT11",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy11",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.181,0.4098,0.324,0.078,0.0034
"Probability of clinician DLT12",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy12",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD12",0.252,0.5762,0.1516,0.0146,2e-04
"Probability of clinician DLT13",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy13",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD13",0.1052,0.2216,0.5296,0.1314,0.0072
"Probability of clinician DLT14",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy14",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD14",0.1142,0.257,0.5694,0.0522,0.0024
"Probability of clinician DLT15",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy15",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD15",0.0656,0.1846,0.4584,0.2722,0.0144
"Probability of clinician DLT16",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy16",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD16",0.0668,0.18,0.4804,0.2622,0.0062
"Probability of clinician DLT17",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy17",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD17",0.04,0.1528,0.4552,0.3016,0.0446
"Probability of clinician DLT18",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy18",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD18",0.4514,0.3552,0.1476,0.0146,0
"Probability of clinician DLT19",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy19",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD19",0.725,0.1928,0.0488,0.004,0
"Probability of clinician DLT20",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy20",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD20",0.184,0.5516,0.215,0.0166,0
"Probability of clinician DLT21",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy21",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD21",0.2636,0.6,0.0978,0.003,0
"Probability of clinician DLT22",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy22",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD22",0.1376,0.4252,0.3798,0.029,0
"Probability of clinician DLT23",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy23",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD23",0.1438,0.4416,0.3706,0.0124,0
"Probability of clinician DLT24",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy24",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD24",0.0968,0.4232,0.3904,0.0626,0
"Probability of clinician DLT25",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy25",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD25",0.099,0.418,0.3936,0.0612,2e-04
"Probability of clinician DLT26",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy26",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD26",0.0586,0.4034,0.427,0.0776,0.002
"Probability of clinician DLT27",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy27",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD27",0.5302,0.3042,0.0466,6e-04,0
"Probability of clinician DLT28",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy28",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD28",0.7238,0.147,0.014,0,0
"Probability of clinician DLT29",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy29",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD29",0.3664,0.4536,0.0636,8e-04,0
"Probability of clinician DLT30",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy30",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD30",0.4,0.4516,0.0254,0,0
"Probability of clinician DLT31",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy31",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD31",0.2978,0.475,0.1086,8e-04,0
"Probability of clinician DLT32",0.1,0.2,0.25,0.4,0.55
