"","V1","V2","V3","V4","V5"
"1",0,6,2,0,0
"2",5,4,2,0,0
"3",7,0,2,0,0
"4",4,2,1,0,0
"5",1,4,0,0,0
"6",3,4,1,0,0
"7",6,0,1,0,0
"8",0,7,1,0,0
"9",2,5,0,0,0
"10",1,6,1,0,0
"11",1,6,4,1,0
"12",5,5,0,0,0
"13",0,0,10,0,0
"14",3,7,0,0,0
"15",2,0,0,0,0
"16",1,6,0,0,0
"17",1,3,0,0,0
"18",0,7,0,0,0
"19",0,8,0,1,0
"20",1,6,2,0,0
"21",0,8,0,0,0
"22",0,6,3,0,0
"23",2,2,0,0,0
"24",1,8,0,0,0
"25",1,7,0,0,0
"26",0,4,1,0,0
"27",2,3,1,0,0
"28",2,0,0,0,0
"29",2,1,0,0,0
"30",4,4,0,0,0
"31",0,0,5,0,0
"32",1,3,1,0,0
"33",0,10,1,0,0
"34",0,6,0,0,0
"35",1,5,1,0,0
"36",4,2,0,0,0
"37",2,0,0,0,0
"38",3,1,0,0,0
"39",0,0,3,0,0
"40",3,0,0,0,0
"41",3,2,0,0,0
"42",0,0,5,4,0
"43",2,6,1,0,0
"44",0,5,0,0,0
"45",0,2,2,2,0
"46",0,0,5,5,0
"47",0,7,0,2,0
"48",2,0,0,0,0
"49",0,9,2,0,0
"50",0,2,4,0,0
"51",0,10,0,1,0
"52",0,6,0,0,0
"53",0,7,1,0,0
"54",0,0,5,3,0
"55",1,11,0,0,0
"56",0,0,10,3,0
"57",0,1,3,0,0
"58",5,0,0,0,0
"59",9,0,0,0,0
"60",2,0,0,0,0
"61",5,5,0,0,0
"62",0,0,7,3,0
"63",2,8,0,0,0
"64",5,2,0,0,0
"65",0,8,2,1,0
"66",5,1,0,0,0
"67",2,0,1,0,0
"68",3,3,0,0,0
"69",1,5,1,0,0
"70",4,3,0,0,0
"71",0,2,0,0,0
"72",2,3,1,0,0
"73",6,0,0,0,0
"74",2,4,1,0,0
"75",0,2,0,0,0
"76",0,2,0,0,0
"77",5,1,0,0,0
"78",0,5,4,1,0
"79",0,7,3,0,0
"80",2,0,0,0,0
"81",4,1,0,0,0
"82",0,0,7,0,0
"83",0,0,12,1,0
"84",0,2,0,0,0
"85",0,0,5,1,2
"86",0,9,2,0,0
"87",0,5,0,2,0
"88",1,4,0,0,1
"89",0,7,0,0,0
"90",7,0,1,0,0
"91",3,5,1,0,0
"92",0,2,3,0,0
"93",6,3,2,0,0
"94",5,0,0,0,0
"95",5,0,3,0,0
"96",2,2,0,0,0
"97",0,9,0,0,0
"98",0,0,6,5,0
"99",6,2,0,0,0
"100",0,0,10,1,0
"101",2,7,0,1,0
"102",0,4,1,0,0
"103",4,1,2,0,0
"104",0,2,8,1,0
"105",0,3,0,0,0
"106",7,0,2,0,0
"107",1,1,0,0,0
"108",2,1,0,0,0
"109",0,5,3,0,0
