"","V1","V2","V3","V4","V5"
"1",3,42,3,0,0
"2",45,0,3,0,0
"3",39,9,0,0,0
"4",39,9,0,0,0
"5",18,30,0,0,0
"6",18,30,0,0,0
"7",6,0,0,0,0
"8",6,36,6,0,0
"9",6,39,3,0,0
"10",6,0,0,0,0
"11",45,0,3,0,0
"12",24,12,12,0,0
"13",6,36,3,3,0
"14",21,24,3,0,0
"15",42,6,0,0,0
"16",6,39,3,0,0
"17",6,42,0,0,0
"18",6,3,39,0,0
"19",6,42,0,0,0
"20",18,30,0,0,0
"21",3,39,3,3,0
"22",9,36,0,3,0
"23",15,30,3,0,0
"24",6,39,3,0,0
"25",27,15,6,0,0
"26",3,45,0,0,0
"27",42,3,3,0,0
"28",42,0,6,0,0
"29",39,9,0,0,0
"30",24,21,0,3,0
"31",9,36,3,0,0
"32",24,21,3,0,0
"33",9,36,3,0,0
"34",39,6,3,0,0
"35",6,36,6,0,0
"36",30,18,0,0,0
"37",6,0,0,0,0
"38",45,3,0,0,0
"39",0,0,3,0,0
"40",45,3,0,0,0
"41",36,12,0,0,0
"42",12,30,3,3,0
"43",36,3,6,3,0
"44",3,42,0,3,0
"45",3,42,3,0,0
"46",3,45,0,0,0
"47",0,42,6,0,0
"48",42,6,0,0,0
"49",27,21,0,0,0
"50",3,30,15,0,0
"51",36,6,3,3,0
"52",9,30,9,0,0
"53",45,3,0,0,0
"54",0,42,0,3,3
"55",0,42,3,3,0
"56",3,39,6,0,0
"57",15,33,0,0,0
"58",9,36,3,0,0
"59",15,30,0,3,0
"60",45,3,0,0,0
"61",12,33,3,0,0
"62",42,3,3,0,0
"63",39,6,0,3,0
"64",6,24,15,3,0
"65",36,9,3,0,0
"66",6,0,0,0,0
"67",9,30,6,3,0
"68",12,27,3,3,3
"69",45,0,3,0,0
"70",21,24,3,0,0
"71",39,6,3,0,0
"72",3,42,0,3,0
"73",18,27,3,0,0
"74",9,30,6,3,0
"75",42,3,3,0,0
"76",6,12,30,0,0
"77",3,39,6,0,0
"78",12,36,0,0,0
"79",39,6,3,0,0
"80",45,0,3,0,0
"81",24,21,3,0,0
"82",15,30,3,0,0
"83",45,0,3,0,0
"84",12,33,3,0,0
"85",24,12,12,0,0
"86",15,33,0,0,0
"87",0,33,9,6,0
"88",9,36,0,3,0
"89",6,3,33,6,0
"90",6,36,6,0,0
"91",6,39,0,3,0
