"","V1","V2","V3","V4","V5"
"1",2,22,5,0,0
"2",26,7,0,2,0
"3",15,13,2,0,0
"4",3,0,2,0,0
"5",20,2,2,0,0
"6",1,0,2,0,0
"7",24,6,0,0,0
"8",20,4,0,0,0
"9",19,0,0,0,0
"10",9,0,0,0,0
"11",20,1,0,0,0
"12",17,5,6,0,0
"13",6,0,0,0,0
"14",2,3,3,0,0
"15",4,0,2,0,0
"16",15,6,0,0,0
"17",1,0,1,0,0
"18",0,2,0,0,0
"19",22,9,2,3,0
"20",4,0,0,0,0
"21",24,3,0,0,0
"22",0,3,0,0,0
"23",5,18,3,0,0
"24",0,2,0,0,0
"25",19,5,2,0,0
"26",2,0,0,0,0
"27",4,18,0,0,0
"28",15,11,0,0,0
"29",16,11,2,0,0
"30",5,0,2,0,0
"31",23,3,3,0,0
"32",16,8,0,0,0
"33",2,26,0,0,0
"34",0,3,0,0,0
"35",4,3,0,0,0
"36",16,3,4,2,0
"37",4,3,0,2,0
"38",2,2,2,0,0
"39",17,8,5,0,0
"40",16,6,1,0,0
"41",21,6,2,0,0
"42",8,1,0,0,0
"43",20,3,0,2,0
"44",18,6,0,0,0
"45",0,0,3,0,0
"46",28,0,0,0,0
"47",7,3,2,0,0
"48",0,16,15,0,0
"49",24,3,1,0,0
"50",2,0,0,0,0
"51",5,0,2,0,0
"52",5,24,0,0,0
"53",1,8,22,2,0
"54",5,22,5,0,0
"55",15,2,3,0,0
"56",4,0,0,0,0
"57",16,9,3,0,0
"58",2,2,0,0,0
"59",2,29,3,0,0
"60",15,1,0,0,0
"61",24,2,2,0,0
"62",18,1,2,0,0
"63",9,0,2,0,0
"64",23,0,1,0,0
"65",19,2,0,0,0
"66",21,0,4,2,0
"67",25,3,1,0,0
"68",19,7,0,0,0
"69",18,6,3,0,0
"70",9,0,0,0,0
"71",3,0,0,0,0
"72",21,2,3,0,0
"73",4,0,0,0,0
"74",20,4,1,0,0
"75",2,0,0,0,0
"76",3,0,5,0,0
"77",2,30,2,3,0
"78",25,0,2,0,0
"79",9,15,0,0,0
"80",10,13,3,0,0
"81",0,0,2,0,0
"82",0,3,0,0,0
"83",1,0,3,0,0
"84",21,1,3,0,0
"85",22,5,5,0,0
"86",30,0,2,0,0
"87",13,15,3,0,0
"88",16,4,3,0,0
"89",22,3,0,2,0
"90",1,21,3,0,0
"91",4,3,0,0,0
"92",3,1,2,0,0
"93",22,2,2,0,0
"94",0,0,1,0,0
"95",3,0,2,0,0
"96",10,0,0,0,0
"97",20,2,5,0,0
"98",12,2,2,0,0
"99",0,2,0,0,0
"100",5,22,2,0,0
"101",1,3,0,0,0
"102",0,2,0,0,0
"103",17,13,0,0,0
"104",3,0,2,0,0
"105",22,0,3,0,0
"106",1,0,2,0,0
