"","V1","V2","V3","V4","V5"
"1",1,1,1,16,1
"2",5,1,8,6,0
"3",2,1,3,15,0
"4",4,11,0,0,0
"5",0,1,2,19,0
"6",1,0,3,19,0
"7",3,13,2,1,0
"8",0,2,0,13,3
"9",0,1,24,0,0
"10",1,0,2,15,5
"11",0,0,12,5,0
"12",0,0,4,6,6
"13",0,2,12,2,0
"14",0,1,0,19,0
"15",1,3,8,0,0
"16",0,3,0,22,0
"17",0,0,24,0,0
"18",0,3,0,18,0
"19",0,10,3,0,0
"20",0,1,7,14,0
"21",0,0,4,15,2
"22",1,3,12,0,2
"23",7,3,2,1,0
"24",0,0,3,22,0
"25",0,3,3,20,0
"26",1,10,4,5,0
"27",0,3,6,13,0
"28",4,0,19,0,0
"29",1,0,3,6,12
"30",0,2,0,10,5
"31",1,0,3,22,0
"32",9,2,0,3,0
"33",2,4,11,3,0
"34",1,0,4,19,0
"35",0,1,11,8,0
"36",0,0,0,23,0
"37",0,3,1,20,0
"38",5,9,1,0,0
"39",0,1,13,6,0
"40",0,2,10,6,0
"41",1,4,6,1,0
"42",5,5,6,0,0
"43",1,1,20,1,0
"44",0,1,1,21,0
"45",0,0,9,13,0
"46",0,1,0,21,0
"47",0,1,17,8,0
"48",1,0,6,7,3
"49",1,2,0,24,0
"50",0,0,6,16,0
"51",4,4,0,5,1
"52",1,0,6,16,0
"53",1,0,0,7,11
"54",1,12,2,3,0
"55",3,1,5,15,0
"56",4,0,0,9,0
"57",0,1,1,14,2
"58",3,8,8,0,0
"59",0,1,2,14,1
"60",0,1,20,2,0
"61",0,0,6,18,0
"62",1,3,0,2,14
"63",0,4,13,2,0
"64",4,7,5,0,0
"65",0,4,5,14,0
"66",2,0,2,18,0
"67",2,2,17,0,0
"68",0,0,0,13,0
"69",1,0,21,1,0
"70",0,3,0,16,0
"71",2,1,13,1,0
"72",0,1,13,2,0
"73",0,5,1,19,0
"74",1,6,11,0,0
"75",1,3,15,1,0
"76",1,1,17,1,0
"77",0,2,3,9,2
"78",0,0,2,15,1
"79",0,0,2,14,3
"80",4,0,6,12,0
"81",1,1,1,18,1
"82",1,1,0,21,0
"83",1,3,2,13,0
"84",0,0,13,2,0
"85",1,0,20,2,0
"86",0,3,1,19,0
"87",2,12,3,1,0
"88",0,1,2,17,1
"89",0,4,15,3,0
"90",0,0,5,16,0
"91",1,0,6,1,12
"92",0,0,5,0,17
"93",1,2,3,14,0
"94",0,1,8,12,0
"95",1,1,1,16,3
"96",2,0,17,0,0
"97",2,0,1,22,0
"98",2,2,9,0,0
"99",1,0,2,17,0
"100",0,1,0,20,0
"101",0,1,1,18,0
"102",0,3,5,11,0
"103",1,0,3,20,0
"104",0,2,0,20,0
"105",0,10,3,0,0
"106",0,1,22,2,0
"107",0,2,11,8,0
"108",0,2,14,0,0
"109",0,2,6,15,0
"110",0,1,8,9,1
"111",5,9,2,1,0
"112",3,0,4,16,0
"113",4,1,6,0,0
"114",0,0,0,19,0
"115",1,4,18,0,0
"116",0,1,12,2,0
"117",1,4,13,1,0
"118",4,10,4,0,0
"119",1,1,16,1,0
"120",1,1,7,10,0
"121",0,15,2,4,0
"122",0,0,0,23,2
"123",0,1,2,19,0
"124",0,1,9,8,0
"125",0,4,0,16,0
"126",2,1,1,14,0
"127",0,0,15,0,2
"128",0,9,12,1,0
"129",0,2,23,0,0
"130",1,1,0,21,0
"131",0,1,0,6,13
"132",0,2,2,24,0
"133",0,0,15,2,0
"134",2,4,1,13,0
"135",0,0,2,18,1
"136",3,0,1,12,1
"137",1,2,1,17,0
"138",0,0,1,20,0
"139",1,3,20,0,0
"140",0,1,5,16,0
"141",10,0,2,0,0
"142",0,2,20,2,0
"143",0,0,0,20,0
"144",0,3,14,1,0
"145",0,4,18,1,0
"146",0,2,2,13,0
"147",0,2,0,4,11
"148",0,1,4,18,0
"149",2,11,3,1,0
"150",0,0,1,18,4
"151",0,3,1,18,0
"152",1,1,21,0,0
"153",2,1,15,1,0
"154",0,0,2,19,0
"155",1,2,17,5,0
"156",0,2,1,20,0
"157",0,2,12,6,0
"158",0,1,4,17,0
"159",0,1,0,14,0
"160",0,2,3,17,0
"161",1,0,0,15,3
"162",1,1,6,1,6
"163",0,6,9,0,0
"164",2,1,0,4,6
"165",1,1,10,11,0
"166",3,8,5,0,0
"167",1,0,22,0,0
"168",1,13,0,0,0
"169",1,2,6,16,0
"170",0,0,1,22,0
"171",2,0,1,22,0
"172",1,0,1,21,0
"173",0,0,0,4,14
"174",0,1,3,20,0
"175",0,6,6,2,1
"176",0,0,1,26,0
"177",3,4,14,0,0
"178",0,2,1,16,3
"179",0,0,2,24,0
"180",2,2,6,12,0
"181",0,0,2,16,0
"182",2,1,1,14,1
"183",0,3,0,28,0
"184",0,5,10,0,0
"185",0,1,0,19,0
"186",1,0,21,0,0
"187",0,1,1,3,16
"188",1,0,1,6,7
"189",0,0,18,0,0
"190",0,0,2,3,13
"191",1,1,4,16,0
"192",0,1,9,12,0
"193",0,2,11,6,0
"194",1,0,4,19,0
"195",0,0,1,5,16
"196",0,0,0,15,0
"197",0,0,1,16,2
"198",0,2,2,17,0
"199",0,3,20,0,0
"200",0,4,0,16,0
"201",1,4,7,4,0
"202",0,1,10,12,0
"203",2,0,21,0,0
"204",0,3,0,20,0
"205",1,1,0,22,0
"206",1,2,11,0,0
"207",8,6,0,0,0
"208",1,0,9,9,0
"209",0,1,2,6,12
"210",0,2,18,1,0
"211",1,8,11,2,0
"212",0,1,2,13,4
"213",0,2,17,1,0
"214",1,3,8,1,0
"215",1,0,3,18,0
"216",0,1,17,3,0
"217",1,0,0,25,0
"218",1,13,1,0,0
"219",0,0,3,17,0
"220",1,1,0,19,1
"221",0,1,16,4,0
"222",1,0,3,18,0
"223",1,0,2,25,0
"224",4,16,0,0,0
"225",1,1,0,19,0
"226",0,1,2,22,0
"227",0,0,2,2,15
"228",1,1,0,22,0
"229",0,0,2,17,0
"230",0,4,0,17,0
"231",0,2,0,24,0
"232",0,1,1,20,0
"233",1,0,4,14,0
"234",4,1,15,0,0
"235",0,0,19,0,0
"236",0,2,11,0,0
"237",0,3,6,11,0
"238",3,5,8,0,0
"239",3,1,16,2,0
"240",0,0,10,11,0
"241",2,1,0,17,0
"242",1,2,15,1,0
"243",0,1,0,20,0
"244",1,0,2,15,2
"245",0,0,2,19,1
"246",4,3,0,10,0
"247",0,0,2,15,0
"248",0,1,5,16,0
"249",1,2,21,0,0
"250",0,0,6,14,0
"251",0,1,2,11,5
"252",0,1,2,21,0
"253",0,1,6,19,0
"254",0,0,3,11,6
"255",0,2,4,15,0
"256",3,4,15,2,0
"257",0,0,0,17,0
"258",3,0,1,20,0
"259",0,13,2,3,0
"260",0,2,0,22,0
"261",0,4,12,6,0
"262",2,0,9,8,0
"263",0,1,5,18,0
"264",1,0,3,17,0
"265",0,1,7,15,0
"266",0,0,15,1,0
"267",0,0,1,4,11
"268",0,5,1,11,2
"269",1,2,5,16,0
"270",1,1,8,7,0
"271",1,1,11,3,0
"272",0,0,1,3,15
"273",1,2,1,18,0
"274",0,0,19,0,0
"275",0,1,0,23,1
"276",0,5,14,1,0
"277",0,5,10,8,0
"278",0,0,3,20,0
"279",0,2,1,16,0
"280",0,0,2,2,13
"281",0,2,1,18,0
"282",0,0,14,7,0
"283",0,0,2,19,0
"284",0,1,2,17,1
"285",0,1,1,3,14
"286",0,1,1,16,0
"287",0,3,4,15,0
"288",1,0,2,18,0
"289",4,1,11,0,0
"290",0,1,1,26,0
"291",7,2,7,0,0
"292",3,2,15,0,0
"293",0,5,0,18,0
"294",0,2,10,8,0
"295",1,0,10,11,0
"296",0,5,14,0,0
"297",8,9,1,0,0
"298",1,0,7,20,0
"299",0,0,17,0,0
"300",1,4,5,11,0
"301",0,1,2,25,0
"302",1,3,3,12,0
"303",0,9,8,0,0
"304",0,1,6,8,0
"305",0,1,3,21,0
"306",1,10,3,0,0
"307",1,2,0,14,0
"308",0,2,3,18,0
"309",1,5,12,0,0
"310",1,0,12,10,0
"311",0,6,3,8,0
"312",1,4,1,16,0
"313",0,3,5,11,0
"314",0,1,3,17,0
"315",0,1,2,26,0
"316",0,1,6,16,0
"317",1,2,9,5,0
"318",1,0,18,2,0
"319",1,0,1,17,0
"320",0,1,3,21,0
"321",0,2,0,19,0
"322",0,2,6,10,0
"323",0,3,0,19,0
"324",1,1,1,16,0
"325",2,1,11,5,0
"326",1,1,7,11,0
"327",2,1,17,3,0
"328",1,1,5,15,0
"329",1,2,18,1,0
"330",3,11,0,0,0
"331",0,0,2,21,1
"332",1,2,12,3,0
"333",0,1,1,14,7
"334",0,0,5,20,0
"335",2,2,0,21,0
"336",0,9,6,0,0
"337",1,3,16,0,0
"338",0,0,4,17,0
"339",1,2,0,20,0
"340",0,0,3,21,1
"341",0,0,0,22,0
"342",2,3,1,16,0
"343",4,1,7,1,0
"344",0,2,7,13,0
"345",0,1,3,11,3
"346",0,0,7,17,0
"347",1,0,2,7,7
"348",0,3,6,8,0
"349",5,6,5,0,0
"350",1,0,5,17,0
"351",0,2,1,12,0
"352",0,3,12,10,0
"353",0,2,4,1,15
"354",0,2,0,18,0
"355",0,6,5,3,0
"356",1,9,2,4,0
"357",1,4,13,0,0
"358",6,7,2,0,0
"359",2,1,0,24,0
"360",0,0,1,17,0
"361",0,1,0,12,8
"362",2,12,1,2,0
"363",0,0,6,14,0
"364",3,1,3,17,0
"365",0,2,11,6,0
"366",0,1,11,11,0
"367",0,0,2,16,2
"368",1,2,3,8,0
"369",1,2,24,2,0
"370",1,0,16,3,0
"371",2,2,0,19,0
"372",0,0,2,19,0
"373",0,1,14,5,0
"374",1,2,11,0,0
"375",0,1,21,0,0
"376",1,1,11,3,0
"377",0,1,2,16,0
"378",4,10,0,0,0
"379",3,11,4,0,0
"380",0,0,10,2,1
"381",0,4,2,4,5
"382",2,0,0,22,0
"383",1,0,15,0,0
"384",0,1,23,0,0
"385",1,2,0,18,0
"386",0,5,12,0,0
"387",0,0,2,20,0
"388",2,0,7,9,0
"389",0,1,0,3,21
