"","V1","V2","V3","V4","V5"
"1",33,3,3,0,0
"2",12,3,0,0,0
"3",9,0,0,0,0
"4",12,0,3,0,0
"5",6,3,3,0,0
"6",21,0,0,0,0
"7",6,3,0,0,0
"8",0,3,0,0,0
"9",21,6,0,0,0
"10",21,0,0,0,0
"11",33,6,0,0,0
"12",21,0,0,0,0
"13",0,0,3,0,0
"14",0,3,3,0,0
"15",9,0,0,0,0
"16",9,3,0,0,0
"17",27,12,0,0,0
"18",0,0,3,0,0
"19",27,6,6,0,0
"20",30,9,0,0,0
"21",24,3,0,0,0
"22",33,3,0,3,0
"23",33,6,0,0,0
"24",12,0,0,0,0
"25",6,0,6,0,0
"26",0,0,3,0,0
"27",3,0,0,0,0
"28",0,6,0,0,0
"29",36,0,3,0,0
"30",39,0,0,0,0
"31",30,3,6,0,0
"32",39,0,0,0,0
"33",0,0,3,0,0
"34",33,6,0,0,0
"35",18,6,0,0,0
"36",27,9,3,0,0
"37",9,27,3,0,0
"38",21,6,3,0,0
"39",0,3,0,0,0
"40",15,6,0,0,0
"41",3,3,0,0,0
"42",6,0,3,0,0
"43",30,3,6,0,0
"44",3,0,6,0,0
"45",0,3,0,0,0
"46",6,0,3,0,0
"47",0,0,3,0,0
"48",39,0,0,0,0
"49",36,0,3,0,0
"50",33,3,3,0,0
"51",0,0,3,0,0
"52",6,3,0,0,0
"53",21,3,3,0,0
"54",27,6,6,0,0
"55",39,0,0,0,0
"56",33,3,0,3,0
"57",6,3,3,0,0
"58",36,0,3,0,0
"59",3,3,0,0,0
"60",33,3,3,0,0
"61",9,0,0,0,0
"62",6,0,3,0,0
"63",3,0,3,0,0
"64",9,3,0,0,0
"65",21,15,0,3,0
"66",9,0,0,0,0
"67",15,6,6,0,0
"68",6,0,0,0,0
"69",33,3,3,0,0
"70",12,0,0,3,0
"71",30,6,3,0,0
"72",9,3,0,3,0
"73",9,0,0,0,0
"74",3,3,0,0,0
"75",18,3,0,0,0
"76",0,0,3,0,0
"77",9,3,3,0,0
"78",21,0,3,0,0
"79",6,3,3,0,0
"80",33,0,6,0,0
"81",0,0,3,0,0
"82",33,6,0,0,0
"83",21,0,3,0,0
"84",24,15,0,0,0
"85",3,0,3,0,0
"86",30,6,3,0,0
"87",36,3,0,0,0
"88",3,3,0,0,0
"89",9,0,0,0,0
"90",3,3,0,0,0
"91",3,0,0,0,0
"92",0,0,3,0,0
"93",0,0,3,0,0
"94",27,6,3,3,0
"95",9,0,0,0,0
"96",33,3,3,0,0
"97",6,0,3,0,0
"98",0,0,3,0,0
"99",9,0,0,0,0
"100",0,0,3,0,0
"101",15,6,0,0,0
"102",24,6,9,0,0
"103",33,6,0,0,0
"104",3,0,3,0,0
"105",6,0,3,0,0
"106",27,12,0,0,0
"107",27,3,3,0,0
"108",3,3,0,0,0
"109",36,0,3,0,0
"110",0,3,0,0,0
"111",3,6,0,0,0
"112",3,0,3,0,0
"113",9,3,0,0,0
"114",33,3,3,0,0
"115",24,3,3,0,0
"116",30,3,6,0,0
"117",30,9,0,0,0
"118",15,6,0,0,0
"119",9,0,0,0,0
"120",9,3,0,0,0
"121",6,30,3,0,0
"122",9,9,3,0,0
"123",3,0,3,0,0
"124",0,6,0,0,0
"125",33,3,3,0,0
"126",3,0,0,0,0
"127",12,0,0,0,0
"128",33,3,0,3,0
"129",3,0,3,0,0
"130",3,3,0,0,0
"131",6,3,6,0,0
"132",36,0,0,3,0
"133",3,0,3,0,0
"134",33,3,3,0,0
"135",9,0,0,0,0
"136",21,15,3,0,0
"137",39,0,0,0,0
"138",15,3,0,0,0
"139",36,0,3,0,0
"140",39,0,0,0,0
"141",33,0,6,0,0
"142",6,0,3,0,0
"143",39,0,0,0,0
"144",0,3,0,0,0
"145",15,0,6,0,0
"146",33,6,0,0,0
"147",6,27,6,0,0
"148",21,12,6,0,0
"149",24,6,9,0,0
"150",9,0,0,0,0
"151",36,3,0,0,0
"152",3,3,0,0,0
"153",27,3,3,0,0
"154",3,3,6,0,0
"155",36,0,3,0,0
"156",0,0,3,0,0
"157",3,3,0,0,0
"158",30,3,3,3,0
"159",24,9,0,0,0
"160",0,3,0,0,0
"161",36,0,0,3,0
"162",24,6,0,0,0
"163",0,0,3,0,0
"164",21,0,0,0,0
"165",3,3,0,0,0
"166",3,3,0,0,0
"167",3,0,0,0,0
"168",30,6,0,3,0
"169",30,3,6,0,0
"170",15,18,6,0,0
"171",33,0,6,0,0
"172",6,0,3,0,0
"173",0,0,3,0,0
"174",33,3,0,3,0
"175",3,3,0,0,0
"176",9,0,0,0,0
"177",30,3,6,0,0
"178",30,0,0,3,0
"179",0,0,3,0,0
"180",15,6,0,0,0
"181",0,6,0,0,0
"182",33,3,3,0,0
"183",6,0,3,0,0
"184",9,0,0,0,0
"185",24,3,0,0,0
"186",6,0,3,0,0
"187",33,6,0,0,0
"188",30,3,6,0,0
"189",3,0,0,0,0
"190",3,3,0,0,0
"191",24,3,0,0,0
"192",0,0,3,0,0
"193",3,0,3,0,0
"194",3,6,0,0,0
