"","V1","V2","V3","V4","V5"
"1",9,0,3,0,0
"2",2,0,2,0,0
"3",3,0,0,0,0
"4",0,0,3,0,0
"5",3,6,0,2,0
"6",2,3,0,0,0
"7",2,0,2,0,0
"8",5,0,0,0,0
"9",0,0,3,0,0
"10",6,4,0,0,0
"11",7,2,2,0,0
"12",9,1,0,0,0
"13",6,0,0,0,0
"14",2,0,0,0,0
"15",3,4,1,0,0
"16",2,2,0,0,0
"17",5,3,0,0,0
"18",1,7,0,0,0
"19",0,3,0,0,0
"20",4,5,0,0,0
"21",0,0,3,0,0
"22",6,5,0,0,0
"23",4,0,0,0,0
"24",4,5,1,0,0
"25",2,0,2,0,0
"26",5,0,4,0,0
"27",4,4,0,0,0
"28",7,0,0,2,0
"29",3,4,2,0,0
"30",6,2,2,0,0
"31",6,2,2,0,0
"32",6,5,2,0,0
"33",1,2,0,0,0
"34",8,0,0,0,0
"35",9,1,1,0,0
"36",2,2,0,0,0
"37",0,0,3,0,0
"38",0,3,0,0,0
"39",0,3,0,0,0
"40",7,0,2,0,0
"41",1,2,0,0,0
"42",2,3,0,0,0
"43",0,0,3,0,0
"44",4,0,2,0,0
"45",4,4,4,0,0
"46",2,0,2,0,0
"47",4,5,2,0,0
"48",0,8,3,1,0
"49",1,7,2,0,0
"50",5,4,0,2,0
"51",6,3,0,0,0
"52",6,2,0,0,0
"53",8,2,0,0,0
"54",3,3,0,0,0
"55",0,10,1,0,0
"56",7,0,2,0,0
"57",5,1,2,0,0
"58",2,0,2,0,0
"59",4,1,0,0,0
"60",6,5,3,0,0
"61",7,5,0,0,0
"62",4,0,0,0,0
"63",5,1,2,0,0
"64",4,1,1,0,0
"65",2,0,2,0,0
"66",3,1,0,0,0
"67",0,4,4,2,0
"68",2,6,1,0,0
"69",5,7,0,0,0
"70",6,0,2,0,0
"71",8,2,0,0,0
"72",5,3,0,0,0
"73",9,0,2,0,0
"74",3,0,0,0,0
"75",0,7,3,0,0
"76",3,2,0,0,0
"77",8,2,0,0,0
"78",0,0,3,0,0
"79",4,2,2,0,0
"80",0,0,3,0,0
"81",3,0,0,0,0
"82",0,0,3,0,0
"83",4,6,0,0,0
"84",5,3,3,0,0
"85",2,0,2,0,0
"86",0,3,1,0,0
"87",3,0,0,0,0
"88",9,0,0,0,0
"89",0,8,4,0,0
"90",5,3,0,0,0
"91",1,2,0,0,0
"92",7,0,2,0,0
"93",0,3,0,0,0
"94",5,2,0,0,0
"95",8,0,3,0,0
"96",5,5,0,3,0
"97",3,0,2,0,0
"98",1,2,0,0,0
"99",5,5,0,0,0
"100",6,4,0,0,0
"101",2,1,0,0,0
"102",2,0,2,0,0
"103",0,0,3,0,0
"104",3,6,2,0,0
"105",5,1,0,0,0
"106",9,2,0,0,0
"107",7,0,2,0,0
"108",2,2,0,0,0
"109",0,0,3,0,0
"110",4,0,0,0,0
"111",4,1,1,0,0
"112",2,2,0,0,0
"113",4,3,0,0,0
"114",3,7,0,0,0
"115",5,2,0,0,0
"116",3,2,0,0,0
"117",3,3,0,0,0
"118",4,7,0,0,0
"119",5,3,3,2,0
"120",8,3,0,0,0
"121",3,3,2,0,0
"122",0,3,0,0,0
"123",3,0,2,0,0
"124",5,5,1,0,0
"125",7,2,0,2,0
"126",4,1,1,0,0
"127",8,0,2,0,0
"128",2,2,0,2,0
"129",2,0,2,0,0
"130",5,2,2,2,0
"131",1,7,0,0,0
"132",6,0,2,0,0
"133",7,5,0,0,0
"134",5,3,2,0,0
"135",8,2,0,0,0
"136",3,0,0,0,0
"137",3,4,1,2,0
"138",4,2,0,2,0
"139",10,2,0,0,0
"140",2,0,2,0,0
"141",5,0,0,0,0
"142",8,1,2,0,0
"143",2,0,2,0,0
"144",2,0,2,0,0
"145",5,2,0,0,0
"146",6,7,0,0,0
"147",1,6,1,0,0
"148",6,5,0,0,0
"149",3,0,0,0,0
"150",5,5,0,0,0
"151",9,1,0,0,0
"152",4,0,0,3,0
"153",7,3,0,0,0
"154",0,0,3,0,0
"155",8,0,0,0,0
"156",7,0,0,0,0
"157",7,2,0,0,0
"158",6,0,0,0,0
"159",3,0,2,0,0
"160",2,2,0,0,0
"161",6,0,0,0,0
"162",4,0,0,2,0
"163",3,0,0,0,0
"164",4,2,3,0,0
"165",9,0,2,0,0
"166",7,0,0,2,0
"167",6,2,0,0,0
"168",1,2,0,0,0
"169",2,2,0,0,0
"170",4,1,0,0,0
"171",0,3,0,0,0
"172",6,1,0,0,0
"173",7,2,0,0,0
"174",5,2,0,0,0
"175",3,0,0,0,0
"176",8,2,0,0,0
"177",3,2,0,0,0
"178",7,3,0,0,0
"179",2,2,1,0,0
"180",2,2,0,0,0
"181",5,7,0,0,0
"182",8,2,0,0,0
"183",8,0,3,0,0
"184",1,7,2,0,0
"185",3,6,2,0,0
"186",9,0,0,0,0
"187",6,0,2,0,0
"188",5,0,3,0,0
"189",4,4,0,0,0
"190",1,2,0,0,0
"191",2,3,0,0,0
"192",4,0,0,2,0
"193",8,4,1,0,0
"194",4,3,2,0,0
"195",2,3,4,0,0
"196",6,0,2,0,0
"197",6,0,0,0,0
"198",4,4,0,0,0
"199",0,9,1,2,0
"200",3,0,0,0,0
"201",2,0,2,0,0
"202",2,0,2,0,0
"203",3,7,4,0,0
"204",7,6,0,0,0
"205",4,0,0,3,0
"206",5,2,0,0,0
"207",7,5,1,0,0
"208",2,0,0,0,0
"209",0,0,3,0,0
"210",3,0,0,0,0
"211",3,0,0,0,0
"212",3,2,0,0,0
"213",5,4,2,0,0
"214",8,0,1,0,0
"215",5,2,1,0,0
"216",2,0,0,0,0
"217",2,0,2,0,0
"218",7,2,0,0,0
"219",0,7,2,0,0
"220",5,0,2,0,0
"221",1,2,0,0,0
"222",1,2,0,0,0
"223",3,0,0,0,0
"224",3,0,2,0,0
"225",2,0,2,0,0
"226",3,0,0,0,0
"227",2,0,2,0,0
"228",5,2,2,0,0
"229",2,0,2,0,0
"230",1,5,0,0,0
"231",8,4,2,0,0
"232",1,2,0,0,0
"233",3,5,0,0,0
"234",5,4,2,0,0
"235",3,0,2,0,0
"236",8,6,0,0,0
"237",1,6,2,2,0
"238",0,3,0,0,0
"239",2,0,2,0,0
"240",2,0,0,0,0
"241",2,4,0,0,0
"242",6,1,3,0,0
"243",2,0,0,0,0
"244",6,3,0,0,0
"245",6,3,0,0,0
"246",0,0,3,0,0
"247",2,0,2,0,0
"248",2,5,0,3,0
"249",6,4,1,0,0
