"","1","2","3","4","5"
"Probability of clinician DLT",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.3652,0.295,0.2342,0.0986,0.0068
"Probability of clinician DLT1",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD1",0.6808,0.19,0.0908,0.0366,0.0016
"Probability of clinician DLT2",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.1578,0.376,0.3158,0.141,0.0092
"Probability of clinician DLT3",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD3",0.2496,0.5176,0.1814,0.0488,0.0022
"Probability of clinician DLT4",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD4",0.097,0.1784,0.4596,0.2448,0.02
"Probability of clinician DLT5",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD5",0.106,0.2192,0.5358,0.1314,0.0076
"Probability of clinician DLT6",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD6",0.0588,0.122,0.2896,0.4748,0.0544
"Probability of clinician DLT7",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD7",0.0624,0.1252,0.2908,0.492,0.0292
"Probability of clinician DLT8",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD8",0.0322,0.0908,0.2506,0.4558,0.1706
"Probability of clinician DLT9",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy9",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD9",0.3752,0.3124,0.2504,0.0588,0.0018
"Probability of clinician DLT10",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy10",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD10",0.6842,0.2006,0.0962,0.0174,8e-04
"Probability of clinician DLT11",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy11",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.1786,0.3872,0.3486,0.0842,8e-04
"Probability of clinician DLT12",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy12",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD12",0.2578,0.537,0.1774,0.0256,6e-04
"Probability of clinician DLT13",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy13",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD13",0.1036,0.2184,0.5332,0.141,0.003
"Probability of clinician DLT14",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy14",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD14",0.1126,0.2396,0.5732,0.0718,0.0012
"Probability of clinician DLT15",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy15",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD15",0.0706,0.1628,0.4558,0.2996,0.0096
"Probability of clinician DLT16",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy16",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD16",0.071,0.165,0.4556,0.3026,0.0042
"Probability of clinician DLT17",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy17",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD17",0.036,0.1372,0.4532,0.3382,0.0342
"Probability of clinician DLT18",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy18",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD18",0.411,0.3724,0.1878,0.0198,0
"Probability of clinician DLT19",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy19",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD19",0.684,0.2228,0.0754,0.0066,2e-04
"Probability of clinician DLT20",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy20",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD20",0.1994,0.5094,0.253,0.0248,2e-04
"Probability of clinician DLT21",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy21",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD21",0.277,0.5808,0.1254,0.0078,0
"Probability of clinician DLT22",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy22",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD22",0.1294,0.3958,0.4182,0.044,2e-04
"Probability of clinician DLT23",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy23",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD23",0.138,0.4092,0.4208,0.021,2e-04
"Probability of clinician DLT24",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy24",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD24",0.0918,0.3706,0.4294,0.0958,2e-04
"Probability of clinician DLT25",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy25",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD25",0.0912,0.3674,0.4328,0.0958,4e-04
"Probability of clinician DLT26",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy26",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD26",0.057,0.347,0.4666,0.1126,0.002
"Probability of clinician DLT27",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy27",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD27",0.5088,0.3532,0.08,0.001,0
"Probability of clinician DLT28",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy28",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD28",0.7206,0.1872,0.0374,2e-04,0
"Probability of clinician DLT29",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy29",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD29",0.3396,0.4974,0.1054,0.0014,0
"Probability of clinician DLT30",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy30",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD30",0.3828,0.5122,0.0482,0.0012,0
"Probability of clinician DLT31",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy31",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD31",0.289,0.4856,0.1674,0.0026,0
