"","V1","V2","V3","V4","V5"
"1",3,27,9,0,0
"2",15,18,3,3,0
"3",24,15,0,0,0
"4",18,21,0,0,0
"5",6,27,3,3,0
"6",30,3,6,0,0
"7",3,30,6,0,0
"8",36,0,3,0,0
"9",6,30,3,0,0
"10",3,36,0,0,0
"11",33,6,0,0,0
"12",6,30,3,0,0
"13",3,3,3,0,0
"14",36,3,0,0,0
"15",30,6,3,0,0
"16",9,24,6,0,0
"17",9,24,6,0,0
"18",0,33,6,0,0
"19",6,33,0,0,0
"20",15,24,0,0,0
"21",3,3,27,6,0
"22",9,27,3,0,0
"23",3,36,0,0,0
"24",39,0,0,0,0
"25",0,30,9,0,0
"26",9,30,0,0,0
"27",9,27,3,0,0
"28",6,0,33,0,0
"29",3,36,0,0,0
"30",21,12,6,0,0
"31",3,27,9,0,0
"32",3,9,27,0,0
"33",12,27,0,0,0
"34",30,6,3,0,0
"35",9,30,0,0,0
"36",3,27,9,0,0
"37",15,24,0,0,0
"38",12,24,3,0,0
"39",33,6,0,0,0
"40",0,15,24,0,0
"41",36,3,0,0,0
"42",9,0,0,0,0
"43",18,18,3,0,0
"44",36,0,0,3,0
"45",0,33,6,0,0
"46",6,0,27,6,0
"47",9,24,6,0,0
"48",15,24,0,0,0
"49",6,30,3,0,0
"50",0,6,30,3,0
"51",3,33,3,0,0
"52",3,30,6,0,0
"53",36,0,3,0,0
"54",3,15,18,3,0
"55",30,6,3,0,0
"56",0,15,18,6,0
"57",15,12,9,3,0
"58",15,24,0,0,0
"59",27,9,3,0,0
"60",27,9,3,0,0
"61",6,3,27,3,0
"62",3,0,36,0,0
"63",6,0,33,0,0
"64",12,24,3,0,0
"65",33,6,0,0,0
"66",9,24,6,0,0
"67",9,30,0,0,0
"68",3,0,0,0,0
"69",33,6,0,0,0
"70",24,9,6,0,0
"71",3,30,6,0,0
"72",9,18,9,3,0
"73",3,15,21,0,0
"74",9,30,0,0,0
"75",33,3,3,0,0
"76",33,3,3,0,0
"77",12,24,3,0,0
"78",27,12,0,0,0
"79",3,9,27,0,0
"80",24,3,12,0,0
"81",6,3,27,3,0
"82",0,6,0,0,0
"83",6,3,30,0,0
"84",27,6,6,0,0
"85",3,9,27,0,0
"86",0,36,0,3,0
"87",30,9,0,0,0
"88",6,21,9,3,0
"89",33,3,3,0,0
"90",6,27,3,3,0
"91",27,12,0,0,0
"92",12,15,6,6,0
"93",33,6,0,0,0
"94",0,6,0,0,0
"95",15,21,0,3,0
"96",6,0,0,0,0
"97",0,3,36,0,0
"98",27,9,3,0,0
"99",36,0,0,3,0
"100",6,6,21,6,0
"101",6,30,0,3,0
"102",6,9,21,3,0
"103",21,12,6,0,0
"104",6,27,6,0,0
"105",36,3,0,0,0
"106",33,6,0,0,0
"107",3,18,18,0,0
"108",9,0,0,0,0
"109",3,30,3,3,0
"110",6,27,3,3,0
"111",6,24,0,9,0
"112",39,0,0,0,0
"113",0,0,3,0,0
"114",0,6,0,0,0
"115",6,30,3,0,0
"116",21,15,3,0,0
"117",6,27,0,6,0
"118",24,9,6,0,0
"119",18,18,0,3,0
"120",24,12,3,0,0
"121",9,0,0,0,0
"122",3,3,0,0,0
"123",3,3,30,3,0
"124",6,0,33,0,0
"125",9,27,0,3,0
"126",3,30,6,0,0
"127",12,24,3,0,0
"128",0,30,9,0,0
"129",33,6,0,0,0
"130",0,30,9,0,0
"131",21,6,3,0,0
"132",33,3,3,0,0
"133",3,24,12,0,0
"134",9,30,0,0,0
"135",9,27,3,0,0
"136",39,0,0,0,0
"137",3,36,0,0,0
"138",6,30,3,0,0
"139",0,18,15,6,0
"140",33,3,3,0,0
"141",15,21,3,0,0
"142",39,0,0,0,0
"143",12,27,0,0,0
"144",9,18,9,3,0
"145",3,33,3,0,0
"146",30,6,3,0,0
"147",27,9,3,0,0
"148",3,30,6,0,0
"149",21,12,6,0,0
"150",15,12,12,0,0
"151",24,9,3,3,0
"152",33,3,3,0,0
"153",21,18,0,0,0
"154",3,36,0,0,0
"155",27,6,6,0,0
"156",3,30,3,3,0
"157",30,6,3,0,0
"158",36,3,0,0,0
"159",24,12,0,3,0
"160",0,24,15,0,0
"161",18,21,0,0,0
"162",6,33,0,0,0
"163",12,24,0,3,0
"164",12,18,9,0,0
"165",0,36,3,0,0
"166",33,3,3,0,0
"167",0,0,3,0,0
"168",6,27,6,0,0
"169",3,27,9,0,0
"170",3,9,27,0,0
"171",3,30,6,0,0
"172",30,6,0,3,0
"173",30,9,0,0,0
"174",36,0,3,0,0
"175",15,18,6,0,0
"176",12,21,6,0,0
"177",0,0,30,6,3
"178",0,0,3,0,0
"179",3,36,0,0,0
"180",6,0,3,0,0
"181",6,27,6,0,0
"182",21,15,3,0,0
"183",0,30,6,3,0
"184",6,27,6,0,0
"185",30,6,3,0,0
"186",33,3,3,0,0
"187",6,27,6,0,0
"188",27,12,0,0,0
"189",3,6,30,0,0
"190",0,33,3,3,0
"191",12,24,0,3,0
"192",9,0,0,0,0
"193",0,0,33,6,0
"194",3,24,12,0,0
"195",30,3,6,0,0
"196",0,3,30,6,0
"197",33,3,3,0,0
"198",3,0,0,0,0
"199",3,27,9,0,0
"200",3,0,0,0,0
"201",36,3,0,0,0
"202",30,9,0,0,0
"203",0,30,9,0,0
"204",3,33,3,0,0
"205",9,30,0,0,0
"206",3,30,6,0,0
"207",9,30,0,0,0
"208",30,9,0,0,0
"209",12,24,0,3,0
"210",6,18,9,6,0
"211",0,27,9,3,0
"212",9,24,3,3,0
"213",12,27,0,0,0
"214",0,3,33,3,0
"215",21,15,3,0,0
"216",3,9,12,12,3
"217",3,36,0,0,0
"218",0,30,6,3,0
"219",6,24,9,0,0
"220",6,30,3,0,0
"221",15,18,6,0,0
"222",12,24,3,0,0
"223",3,33,3,0,0
"224",39,0,0,0,0
"225",27,12,0,0,0
"226",9,30,0,0,0
"227",6,0,33,0,0
"228",12,27,0,0,0
"229",24,12,3,0,0
"230",30,6,0,3,0
"231",27,12,0,0,0
"232",21,6,12,0,0
"233",3,0,12,24,0
"234",6,3,3,0,0
"235",33,3,3,0,0
"236",12,27,0,0,0
"237",3,30,3,3,0
"238",36,3,0,0,0
"239",3,6,30,0,0
"240",30,0,9,0,0
"241",6,0,24,9,0
"242",3,9,27,0,0
"243",33,3,0,3,0
"244",33,6,0,0,0
"245",3,24,6,6,0
"246",12,27,0,0,0
"247",24,15,0,0,0
"248",3,33,0,3,0
"249",3,33,3,0,0
"250",12,3,0,0,0
"251",9,27,3,0,0
"252",3,30,3,3,0
"253",3,15,21,0,0
"254",3,24,12,0,0
"255",15,24,0,0,0
"256",3,0,0,0,0
"257",12,9,18,0,0
"258",3,0,3,0,0
"259",39,0,0,0,0
"260",30,3,6,0,0
"261",3,18,18,0,0
"262",6,27,6,0,0
"263",12,24,3,0,0
"264",27,9,3,0,0
"265",18,3,0,0,0
"266",6,27,6,0,0
"267",3,36,0,0,0
"268",3,33,3,0,0
"269",3,33,3,0,0
"270",6,30,3,0,0
"271",12,27,0,0,0
"272",3,3,12,21,0
"273",3,33,3,0,0
"274",15,21,3,0,0
"275",6,3,21,9,0
"276",9,30,0,0,0
"277",27,9,3,0,0
"278",3,36,0,0,0
"279",27,12,0,0,0
"280",0,6,27,6,0
"281",15,21,3,0,0
"282",33,6,0,0,0
"283",3,33,3,0,0
"284",6,30,3,0,0
"285",9,30,0,0,0
"286",0,27,12,0,0
"287",21,18,0,0,0
"288",3,18,15,3,0
"289",3,6,30,0,0
"290",6,30,3,0,0
"291",27,12,0,0,0
"292",3,33,3,0,0
"293",12,3,0,0,0
"294",33,6,0,0,0
"295",21,15,3,0,0
"296",3,27,9,0,0
"297",6,30,3,0,0
"298",27,6,0,6,0
"299",3,30,3,3,0
"300",24,12,0,3,0
"301",36,0,3,0,0
"302",0,30,9,0,0
"303",9,30,0,0,0
"304",0,6,33,0,0
"305",12,27,0,0,0
"306",12,24,3,0,0
"307",0,27,12,0,0
"308",0,0,36,3,0
"309",33,6,0,0,0
"310",27,3,9,0,0
"311",33,0,6,0,0
"312",24,6,9,0,0
"313",33,6,0,0,0
"314",3,3,0,0,0
"315",3,30,6,0,0
"316",6,0,33,0,0
"317",3,3,0,0,0
"318",27,12,0,0,0
"319",24,6,9,0,0
"320",9,30,0,0,0
"321",21,15,3,0,0
"322",21,18,0,0,0
"323",18,18,3,0,0
"324",6,6,24,3,0
"325",6,30,3,0,0
"326",6,27,3,3,0
"327",9,24,6,0,0
"328",15,18,6,0,0
"329",15,24,0,0,0
"330",30,6,3,0,0
"331",3,24,9,3,0
"332",6,30,3,0,0
"333",9,24,6,0,0
"334",18,15,3,3,0
"335",39,0,0,0,0
"336",6,21,12,0,0
"337",3,33,3,0,0
"338",15,24,0,0,0
"339",18,21,0,0,0
"340",6,33,0,0,0
"341",0,33,6,0,0
"342",3,3,0,33,0
"343",18,12,9,0,0
"344",6,21,9,3,0
"345",24,3,9,3,0
"346",0,3,36,0,0
"347",21,18,0,0,0
"348",6,30,3,0,0
"349",36,3,0,0,0
"350",12,24,3,0,0
"351",30,6,3,0,0
"352",3,12,21,3,0
"353",3,0,6,30,0
"354",6,30,0,3,0
"355",6,0,0,0,0
"356",33,3,3,0,0
"357",9,30,0,0,0
"358",9,24,3,3,0
"359",12,21,6,0,0
"360",15,21,0,3,0
"361",6,6,27,0,0
"362",3,30,6,0,0
"363",15,21,3,0,0
"364",24,12,3,0,0
"365",0,0,36,3,0
"366",24,9,3,3,0
"367",27,3,0,0,0
"368",9,21,9,0,0
"369",9,30,0,0,0
"370",39,0,0,0,0
"371",9,0,0,0,0
"372",9,24,3,3,0
"373",3,0,33,3,0
"374",27,12,0,0,0
"375",6,27,6,0,0
"376",9,27,3,0,0
"377",33,3,3,0,0
"378",12,3,0,0,0
"379",12,27,0,0,0
"380",33,6,0,0,0
"381",3,30,6,0,0
"382",15,12,12,0,0
"383",0,3,27,9,0
"384",0,30,6,3,0
"385",21,12,6,0,0
"386",36,3,0,0,0
"387",9,27,3,0,0
"388",12,27,0,0,0
"389",3,33,3,0,0
"390",6,27,6,0,0
"391",6,27,3,3,0
"392",33,3,3,0,0
"393",3,36,0,0,0
"394",3,0,27,9,0
"395",12,18,6,3,0
"396",27,9,3,0,0
"397",3,3,0,0,0
"398",3,3,30,3,0
"399",36,0,3,0,0
"400",3,18,12,6,0
"401",18,21,0,0,0
"402",3,27,9,0,0
"403",30,9,0,0,0
"404",3,30,6,0,0
"405",0,3,0,0,0
"406",6,33,0,0,0
"407",6,30,3,0,0
"408",6,12,18,3,0
"409",12,21,6,0,0
"410",15,21,3,0,0
"411",33,6,0,0,0
"412",3,30,6,0,0
"413",36,3,0,0,0
"414",0,0,3,0,0
"415",3,33,3,0,0
"416",3,3,33,0,0
"417",33,3,3,0,0
"418",3,3,30,3,0
"419",3,33,3,0,0
"420",36,0,3,0,0
"421",39,0,0,0,0
"422",33,6,0,0,0
"423",3,0,21,15,0
"424",27,12,0,0,0
"425",6,30,3,0,0
"426",12,27,0,0,0
"427",33,6,0,0,0
"428",3,6,30,0,0
"429",27,9,3,0,0
"430",6,30,3,0,0
"431",6,30,3,0,0
"432",24,15,0,0,0
"433",3,36,0,0,0
"434",21,15,3,0,0
"435",3,30,6,0,0
"436",33,6,0,0,0
"437",21,15,0,3,0
"438",3,24,12,0,0
"439",39,0,0,0,0
"440",6,30,3,0,0
"441",36,3,0,0,0
"442",3,30,6,0,0
"443",15,24,0,0,0
"444",6,21,9,3,0
"445",6,33,0,0,0
"446",9,30,0,0,0
"447",3,30,6,0,0
"448",12,21,6,0,0
"449",36,3,0,0,0
"450",6,30,3,0,0
"451",3,24,12,0,0
"452",36,0,3,0,0
"453",9,27,3,0,0
"454",6,3,30,0,0
"455",9,30,0,0,0
"456",39,0,0,0,0
"457",6,33,0,0,0
"458",0,30,9,0,0
"459",0,6,21,12,0
"460",6,27,6,0,0
"461",36,3,0,0,0
"462",3,30,6,0,0
"463",9,3,27,0,0
"464",6,33,0,0,0
"465",30,6,0,3,0
"466",30,9,0,0,0
"467",9,21,3,6,0
"468",3,27,6,3,0
"469",6,15,12,6,0
"470",6,33,0,0,0
"471",3,3,30,3,0
"472",9,15,9,6,0
"473",36,3,0,0,0
"474",6,27,0,6,0
"475",3,15,18,3,0
"476",3,3,12,21,0
"477",12,27,0,0,0
"478",0,0,3,0,0
"479",9,21,9,0,0
"480",3,33,3,0,0
"481",36,0,3,0,0
"482",0,18,21,0,0
"483",30,3,6,0,0
"484",6,0,30,3,0
"485",24,12,3,0,0
"486",3,27,9,0,0
"487",0,30,6,3,0
"488",3,15,18,3,0
"489",0,33,6,0,0
"490",30,3,6,0,0
"491",39,0,0,0,0
"492",27,9,3,0,0
"493",9,30,0,0,0
"494",24,15,0,0,0
"495",30,9,0,0,0
"496",9,12,12,6,0
"497",30,6,3,0,0
"498",30,6,3,0,0
"499",6,30,3,0,0
"500",12,6,3,0,0
"501",9,27,3,0,0
"502",3,3,33,0,0
"503",33,0,3,3,0
"504",3,0,36,0,0
"505",15,21,3,0,0
"506",0,12,27,0,0
"507",30,3,6,0,0
"508",6,15,15,3,0
"509",0,27,12,0,0
"510",12,12,15,0,0
"511",6,0,33,0,0
"512",3,21,15,0,0
"513",6,15,18,0,0
"514",24,12,3,0,0
"515",3,27,6,3,0
"516",33,3,3,0,0
"517",9,27,3,0,0
"518",6,33,0,0,0
"519",3,3,33,0,0
"520",24,12,3,0,0
"521",3,30,6,0,0
"522",3,30,6,0,0
"523",21,18,0,0,0
"524",3,0,3,0,0
"525",3,30,3,3,0
"526",27,9,3,0,0
"527",33,6,0,0,0
"528",9,27,0,3,0
"529",18,18,0,3,0
"530",30,6,3,0,0
"531",33,6,0,0,0
"532",36,3,0,0,0
"533",0,3,15,21,0
"534",33,3,3,0,0
"535",15,15,9,0,0
"536",21,18,0,0,0
"537",18,15,6,0,0
"538",36,0,0,3,0
"539",6,30,3,0,0
"540",6,30,3,0,0
"541",36,3,0,0,0
"542",30,6,0,3,0
"543",33,3,3,0,0
"544",3,33,3,0,0
"545",24,9,6,0,0
"546",36,3,0,0,0
"547",9,30,0,0,0
"548",33,3,3,0,0
"549",33,0,6,0,0
"550",0,33,6,0,0
"551",3,6,30,0,0
"552",3,0,36,0,0
"553",3,0,33,3,0
"554",15,21,3,0,0
"555",33,3,3,0,0
"556",3,30,6,0,0
"557",27,9,3,0,0
"558",30,6,0,3,0
"559",6,0,3,0,0
"560",3,27,6,3,0
"561",3,33,3,0,0
"562",30,3,3,3,0
"563",3,30,6,0,0
"564",3,3,30,3,0
"565",12,27,0,0,0
"566",0,36,3,0,0
"567",0,3,33,3,0
"568",9,27,3,0,0
"569",21,18,0,0,0
"570",6,33,0,0,0
"571",0,36,3,0,0
"572",0,30,9,0,0
"573",0,9,30,0,0
"574",6,33,0,0,0
"575",15,21,3,0,0
"576",24,12,3,0,0
