"","V1","V2","V3","V4","V5"
"1",2,19,7,0,0
"2",16,3,2,0,0
"3",12,0,0,0,0
"4",1,2,0,0,0
"5",0,3,0,0,0
"6",3,0,0,0,0
"7",5,12,2,0,0
"8",3,17,4,0,0
"9",19,1,1,0,0
"10",4,17,0,0,0
"11",2,2,0,0,0
"12",9,9,5,0,0
"13",11,6,1,0,0
"14",3,0,1,0,0
"15",1,0,17,5,0
"16",4,0,0,0,0
"17",0,0,2,0,0
"18",0,0,1,0,0
"19",3,3,3,0,0
"20",16,0,1,0,0
"21",4,10,3,0,0
"22",3,12,5,0,0
"23",2,3,0,0,0
"24",16,8,0,0,0
"25",3,18,8,0,0
"26",6,12,0,0,0
"27",7,10,0,0,0
"28",3,1,0,0,0
"29",9,6,5,0,0
"30",16,2,2,0,0
"31",1,25,0,0,0
"32",4,14,3,0,0
"33",3,3,4,0,0
"34",20,2,4,0,0
"35",20,0,0,0,0
"36",1,22,0,0,0
"37",6,10,4,0,0
"38",9,8,2,0,0
"39",17,0,4,2,0
"40",1,1,0,0,0
"41",15,1,1,0,0
"42",20,1,0,0,0
"43",14,3,0,0,0
"44",4,0,2,0,0
"45",10,1,13,3,0
"46",1,2,0,0,0
"47",15,1,0,2,0
"48",1,22,1,0,0
"49",11,8,0,2,0
"50",16,7,0,0,0
"51",21,0,4,0,0
"52",4,0,0,0,0
"53",0,13,10,0,0
"54",21,1,5,0,0
"55",19,2,0,0,0
"56",2,23,3,0,0
"57",11,8,3,0,0
"58",0,26,1,0,0
"59",3,23,3,0,0
"60",18,1,2,0,0
"61",10,2,4,0,0
"62",20,0,0,0,0
"63",1,18,8,0,0
"64",5,2,2,0,0
"65",0,22,5,0,0
"66",12,9,4,0,0
"67",0,1,21,0,0
"68",4,17,1,3,0
"69",0,0,3,0,0
"70",15,3,0,0,0
"71",12,10,3,0,0
"72",16,0,2,0,0
"73",13,3,3,0,0
"74",0,0,0,0,0
"75",0,0,2,0,0
"76",13,3,0,0,0
"77",7,2,0,3,0
"78",1,7,8,7,0
"79",3,6,0,0,0
"80",21,2,1,0,0
"81",2,16,6,0,0
"82",15,2,1,0,0
"83",2,12,0,0,0
"84",1,19,5,0,0
"85",22,2,0,0,0
"86",1,1,0,0,0
"87",11,9,2,0,0
"88",5,4,0,0,0
"89",15,3,0,2,0
"90",22,0,0,0,0
"91",18,4,2,0,0
"92",3,11,4,6,0
"93",0,4,0,0,0
"94",4,20,2,0,0
"95",10,0,0,0,0
"96",0,17,4,0,0
"97",5,0,2,0,0
"98",2,3,0,0,0
"99",0,0,1,0,0
"100",2,1,0,0,0
"101",8,13,0,0,0
"102",3,19,0,0,0
"103",15,5,0,0,0
"104",17,0,2,0,0
"105",2,18,7,0,0
"106",4,2,0,0,0
"107",17,0,2,0,0
"108",16,2,0,2,0
"109",19,2,1,2,0
"110",0,19,0,0,0
"111",11,10,2,0,0
"112",13,0,2,0,0
"113",0,0,2,0,0
"114",0,3,0,0,0
"115",3,18,2,0,0
"116",10,6,2,0,0
"117",1,0,0,0,0
"118",17,0,5,0,0
"119",4,20,0,0,0
"120",1,1,0,0,0
"121",1,0,0,0,0
"122",15,7,3,0,0
"123",2,23,4,0,0
"124",7,0,0,0,0
"125",1,20,8,0,0
"126",19,4,0,0,0
"127",9,0,0,0,0
"128",15,1,5,0,0
"129",0,3,19,2,0
"130",2,15,3,0,0
"131",17,6,0,0,0
"132",14,5,0,0,0
"133",16,5,0,0,0
"134",1,25,0,0,0
"135",4,23,0,0,0
"136",2,3,0,0,0
"137",6,11,0,0,0
"138",11,3,1,0,0
"139",2,0,0,0,0
"140",6,12,5,0,0
"141",10,8,0,0,0
"142",15,8,0,0,0
"143",10,2,2,0,0
"144",1,23,2,0,0
"145",19,0,0,0,0
"146",15,3,4,0,0
"147",3,0,0,0,0
"148",6,0,2,0,0
"149",11,0,0,0,0
"150",6,2,0,0,0
