"","V1","V2","V3","V4","V5"
"1",0,6,3,0,0
"2",2,0,2,0,0
"3",4,0,0,0,0
"4",3,1,0,0,0
"5",6,3,0,0,0
"6",1,2,0,0,0
"7",7,2,0,0,0
"8",3,2,2,0,0
"9",0,0,3,0,0
"10",0,3,0,0,0
"11",5,1,2,0,0
"12",1,2,0,0,0
"13",4,2,2,0,0
"14",0,7,2,0,0
"15",6,4,2,0,0
"16",4,1,0,0,0
"17",1,2,0,0,0
"18",3,3,0,0,0
"19",6,3,2,0,0
"20",7,2,0,0,0
"21",7,2,0,0,0
"22",0,3,0,0,0
"23",1,2,0,0,0
"24",7,2,0,0,0
"25",6,2,0,0,0
"26",2,0,2,0,0
"27",2,2,0,0,0
"28",2,0,2,0,0
"29",4,0,0,0,0
"30",2,0,2,0,0
"31",1,7,0,3,0
"32",1,3,0,0,0
"33",8,0,0,0,0
"34",0,0,3,0,0
"35",9,0,3,0,0
"36",6,4,0,0,0
"37",2,1,0,0,0
"38",5,3,0,0,0
"39",3,2,0,0,0
"40",5,1,0,0,0
"41",3,2,2,0,0
"42",2,0,0,0,0
"43",2,0,2,0,0
"44",8,0,3,0,0
"45",5,2,0,0,0
"46",4,4,2,0,0
"47",5,2,2,0,0
"48",6,0,2,0,0
"49",2,3,0,0,0
"50",1,2,0,0,0
"51",5,5,1,0,0
"52",4,1,0,0,0
"53",3,2,1,0,0
"54",5,2,2,0,0
"55",0,3,2,0,0
"56",1,4,0,3,0
"57",2,0,2,0,0
"58",3,0,2,0,0
"59",8,3,0,0,0
"60",1,9,2,0,0
"61",3,1,0,0,0
"62",8,2,0,0,0
"63",10,1,1,0,0
"64",9,0,0,0,0
"65",5,1,3,0,0
"66",4,1,0,0,0
"67",3,7,1,0,0
"68",4,0,0,0,0
"69",7,3,0,0,0
"70",5,3,0,0,0
"71",3,0,2,0,0
"72",6,0,4,0,0
"73",8,1,0,0,0
"74",0,6,2,0,0
"75",1,2,0,0,0
"76",2,2,0,0,0
"77",0,0,3,0,0
"78",3,2,2,0,0
"79",9,0,2,0,0
"80",8,1,1,0,0
"81",6,2,0,0,0
"82",8,1,0,0,0
"83",7,3,0,0,0
"84",2,0,2,0,0
"85",2,2,0,0,0
"86",5,0,1,0,0
"87",3,0,0,0,0
"88",1,6,0,3,0
"89",2,0,2,0,0
"90",7,2,0,0,0
"91",6,1,0,0,0
"92",4,5,0,0,0
"93",6,7,0,0,0
"94",7,4,4,3,0
"95",6,1,3,0,0
"96",6,0,4,0,0
"97",4,2,0,3,0
"98",3,0,0,0,0
"99",9,0,0,0,0
"100",1,2,0,0,0
"101",8,3,0,0,0
"102",0,0,3,0,0
"103",5,0,2,0,0
"104",4,3,1,0,0
"105",2,0,2,0,0
"106",8,3,0,0,0
"107",3,0,0,3,0
"108",6,2,1,0,0
"109",4,5,0,0,0
"110",3,0,1,0,0
"111",2,0,2,0,0
"112",6,0,2,0,0
"113",6,6,0,0,0
"114",3,0,0,0,0
"115",5,6,0,0,0
"116",8,0,0,0,0
"117",2,0,0,0,0
"118",1,2,0,0,0
"119",2,3,0,0,0
"120",5,3,3,2,0
"121",2,0,0,3,0
"122",2,3,0,0,0
"123",2,0,0,0,0
"124",0,3,0,0,0
"125",0,7,3,0,0
"126",6,2,3,1,0
"127",5,0,2,0,0
"128",0,0,3,0,0
"129",2,0,2,0,0
"130",9,0,0,0,0
"131",2,0,2,0,0
"132",6,3,2,2,0
"133",1,7,0,0,0
"134",7,0,2,0,0
"135",8,0,2,0,0
"136",3,0,0,0,0
"137",0,0,3,0,0
"138",7,2,0,0,0
"139",5,0,3,0,0
"140",8,1,0,0,0
"141",2,0,2,0,0
"142",6,2,2,0,0
"143",2,0,2,0,0
"144",0,4,0,0,0
"145",2,2,2,0,0
"146",5,2,0,0,0
"147",5,0,0,0,0
"148",2,2,2,0,0
"149",7,0,0,1,0
"150",3,7,0,0,0
"151",7,2,0,0,0
"152",1,7,1,0,0
"153",4,0,2,0,0
"154",2,2,3,0,0
"155",6,0,2,0,0
"156",5,2,0,0,0
"157",2,0,4,0,0
"158",5,0,0,0,0
"159",4,0,2,0,0
"160",7,0,0,0,0
"161",6,0,3,0,0
"162",3,0,0,0,0
"163",4,2,0,0,0
"164",8,0,2,0,0
"165",2,0,0,0,0
"166",6,0,2,0,0
"167",6,0,0,0,0
"168",3,1,0,0,0
"169",0,3,0,0,0
"170",4,0,0,0,0
"171",5,1,0,0,0
"172",4,3,1,0,0
"173",3,5,0,0,0
"174",9,0,0,0,0
"175",6,1,0,0,0
"176",3,6,2,0,0
"177",3,0,2,0,0
"178",2,0,2,0,0
"179",3,0,2,0,0
"180",2,0,2,0,0
"181",1,2,0,0,0
"182",4,3,4,0,0
"183",5,4,0,2,0
"184",0,0,3,0,0
"185",4,0,0,0,0
"186",3,0,0,0,0
"187",8,0,2,0,0
"188",2,2,0,3,0
