"","1","2","3","4","5"
"Probability of clinician DLT",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.5152,0.2556,0.1582,0.063,0.0074
"Probability of clinician DLT1",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD1",0.7126,0.197,0.0642,0.0234,0.0026
"Probability of clinician DLT2",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.217,0.4464,0.251,0.072,0.0114
"Probability of clinician DLT3",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD3",0.2548,0.5444,0.1472,0.047,0.0054
"Probability of clinician DLT4",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD4",0.0552,0.257,0.4992,0.1652,0.0226
"Probability of clinician DLT5",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD5",0.0678,0.2638,0.5356,0.1184,0.013
"Probability of clinician DLT6",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD6",0.0194,0.0708,0.3548,0.4936,0.0608
"Probability of clinician DLT7",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD7",0.0204,0.079,0.373,0.4856,0.0416
"Probability of clinician DLT8",0.01,0.02,0.05,0.1,0.2
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD8",0.0068,0.0242,0.1854,0.5454,0.2374
"Probability of clinician DLT9",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy9",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD9",0.5348,0.2686,0.1604,0.031,0.002
"Probability of clinician DLT10",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy10",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD10",0.716,0.1834,0.0794,0.0158,0
"Probability of clinician DLT11",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy11",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.247,0.463,0.2402,0.041,0.0026
"Probability of clinician DLT12",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy12",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD12",0.2724,0.5262,0.1674,0.027,8e-04
"Probability of clinician DLT13",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy13",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD13",0.062,0.3064,0.5314,0.0898,0.0054
"Probability of clinician DLT14",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy14",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD14",0.0754,0.307,0.5486,0.0618,0.0024
"Probability of clinician DLT15",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy15",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD15",0.0218,0.1264,0.5528,0.2762,0.018
"Probability of clinician DLT16",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy16",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD16",0.0228,0.1252,0.5616,0.2772,0.0084
"Probability of clinician DLT17",0.02,0.05,0.1,0.2,0.25
"Probability of efficacy17",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD17",0.0068,0.058,0.4726,0.3982,0.0604
"Probability of clinician DLT18",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy18",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD18",0.5886,0.2796,0.095,0.0092,0
"Probability of clinician DLT19",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy19",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD19",0.7086,0.1924,0.0654,0.0036,0
"Probability of clinician DLT20",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy20",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD20",0.2756,0.5398,0.1386,0.0132,4e-04
"Probability of clinician DLT21",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy21",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD21",0.2992,0.5618,0.0952,0.0094,0
"Probability of clinician DLT22",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy22",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD22",0.0944,0.4982,0.3446,0.0262,8e-04
"Probability of clinician DLT23",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy23",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD23",0.0972,0.5108,0.3446,0.0156,2e-04
"Probability of clinician DLT24",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy24",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD24",0.0388,0.4018,0.4562,0.0726,6e-04
"Probability of clinician DLT25",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy25",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD25",0.0394,0.4008,0.4568,0.0752,2e-04
"Probability of clinician DLT26",0.05,0.1,0.2,0.25,0.4
"Probability of efficacy26",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD26",0.022,0.3452,0.4806,0.1166,0.0032
"Probability of clinician DLT27",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy27",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD27",0.6346,0.2078,0.0334,0,0
"Probability of clinician DLT28",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy28",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD28",0.706,0.148,0.0222,0,0
"Probability of clinician DLT29",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy29",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD29",0.4,0.4198,0.0512,0.001,0
"Probability of clinician DLT30",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy30",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD30",0.4316,0.4132,0.0338,0.001,0
"Probability of clinician DLT31",0.1,0.2,0.25,0.4,0.55
"Probability of efficacy31",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD31",0.2746,0.4924,0.1086,0.0014,0
