"","V1","V2","V3","V4","V5"
"1",3,6,0,30,0
"2",6,9,24,0,0
"3",12,6,18,3,0
"4",3,9,27,0,0
"5",0,3,0,9,27
"6",0,0,6,0,33
"7",3,6,24,6,0
"8",6,3,0,30,0
"9",3,3,6,3,24
"10",0,3,0,27,9
"11",12,3,21,3,0
"12",0,3,3,33,0
"13",0,3,36,0,0
"14",9,3,6,21,0
"15",6,3,3,24,3
"16",3,12,18,6,0
"17",3,21,15,0,0
"18",0,3,6,30,0
"19",3,3,9,24,0
"20",12,6,12,9,0
"21",3,24,9,3,0
"22",3,3,33,0,0
"23",3,3,30,3,0
"24",0,0,9,6,24
"25",0,0,3,9,27
"26",3,3,9,21,3
"27",9,15,12,3,0
"28",9,6,21,3,0
"29",3,0,9,24,3
"30",3,0,6,30,0
"31",0,0,36,3,0
"32",3,12,15,9,0
"33",3,0,9,27,0
"34",6,12,15,6,0
"35",9,3,18,6,3
"36",6,9,15,9,0
"37",0,9,27,3,0
"38",0,3,3,30,3
"39",15,18,6,0,0
"40",3,3,33,0,0
"41",0,9,27,3,0
"42",24,6,3,6,0
"43",3,6,30,0,0
"44",6,6,12,15,0
"45",3,21,15,0,0
"46",0,3,33,3,0
"47",3,6,27,3,0
"48",3,3,3,27,3
"49",3,3,6,27,0
"50",0,6,6,27,0
"51",0,3,6,30,0
"52",3,3,12,21,0
"53",3,3,3,15,15
"54",9,0,0,30,0
"55",9,12,12,6,0
"56",3,3,30,3,0
"57",15,3,3,18,0
"58",6,3,12,18,0
"59",0,3,0,36,0
"60",3,3,3,30,0
"61",3,0,15,18,3
"62",3,0,6,30,0
"63",0,9,30,0,0
"64",9,3,24,3,0
"65",6,3,30,0,0
"66",6,0,33,0,0
"67",0,9,27,3,0
"68",9,21,6,0,3
"69",3,9,12,12,3
"70",0,6,0,27,6
"71",0,9,27,3,0
"72",9,15,15,0,0
"73",0,3,0,36,0
"74",9,9,18,3,0
"75",0,3,36,0,0
"76",3,6,0,30,0
"77",6,6,24,3,0
"78",3,9,24,3,0
