"","V1","V2","V3","V4","V5","V6"
"1",15,14,3,3,0,0
"2",21,0,0,3,5,0
"3",5,2,14,0,0,0
"4",5,3,14,6,0,0
"5",28,0,0,1,0,0
"6",21,0,0,3,0,0
"7",24,2,6,0,0,0
"8",3,0,11,13,0,0
"9",26,1,0,0,0,0
"10",31,4,0,0,3,0
"11",17,8,4,3,0,0
"12",1,2,17,3,2,2
"13",28,2,3,0,3,0
"14",24,0,3,3,0,0
"15",32,0,0,4,0,0
"16",28,0,0,6,0,0
"17",2,15,11,2,0,0
"18",1,23,0,2,1,2
"19",29,0,2,0,0,3
"20",27,0,0,3,0,0
"21",25,3,6,4,0,0
"22",25,3,0,0,4,0
"23",21,3,4,0,0,0
"24",27,4,0,0,0,0
"25",26,5,0,0,3,0
"26",27,5,0,0,0,0
"27",26,0,0,3,0,0
"28",23,0,3,0,0,0
"29",0,0,0,0,2,0
"30",26,3,3,0,0,0
"31",24,4,0,2,0,0
"32",6,24,0,0,0,0
"33",7,14,0,0,2,0
"34",25,0,0,0,2,0
"35",14,9,2,4,2,0
"36",27,1,2,0,0,0
"37",35,4,0,0,4,0
"38",2,22,0,0,3,0
"39",2,5,22,3,1,0
"40",20,3,6,0,3,0
"41",32,0,0,0,3,0
"42",2,8,13,4,4,0
"43",23,4,0,0,4,0
"44",2,25,0,2,1,0
"45",3,0,0,2,0,0
"46",29,2,0,2,0,0
"47",28,6,0,4,2,0
"48",5,0,6,0,0,0
"49",4,4,0,3,0,0
"50",21,2,6,2,0,0
"51",27,1,0,0,0,0
"52",3,0,3,0,0,0
"53",28,0,0,0,2,0
"54",26,0,2,0,0,0
"55",28,1,3,0,0,0
"56",0,0,0,0,0,0
"57",26,0,2,3,0,0
"58",21,6,3,3,0,0
"59",29,2,0,0,0,0
"60",1,18,11,0,0,0
"61",24,2,5,3,0,0
"62",31,2,0,0,0,0
"63",0,2,13,2,7,0
"64",2,23,8,0,0,0
"65",25,2,0,1,0,0
"66",0,1,22,9,0,0
"67",23,1,0,3,0,0
"68",1,13,3,6,3,0
"69",24,4,0,0,0,0
"70",8,19,5,0,0,0
"71",6,16,0,2,0,0
"72",25,3,5,0,0,0
"73",9,0,0,3,0,0
"74",2,9,7,0,0,0
"75",2,17,5,0,1,6
"76",12,4,0,0,1,0
"77",18,10,4,2,0,0
"78",25,3,0,0,0,2
"79",22,4,5,0,4,0
"80",1,0,3,0,0,0
"81",0,1,17,5,3,0
"82",1,29,0,0,1,0
"83",27,0,6,0,0,0
"84",28,3,0,0,0,0
"85",16,18,0,0,0,0
"86",21,6,0,4,0,0
"87",1,4,19,1,6,0
"88",22,2,0,4,0,0
"89",17,8,8,0,0,0
"90",9,13,5,0,0,0
"91",4,13,6,0,7,0
"92",0,2,0,0,0,0
"93",24,3,0,0,4,0
"94",25,0,0,0,3,0
"95",20,4,9,0,0,0
"96",28,0,0,4,0,0
"97",1,25,0,0,2,0
"98",22,0,0,3,3,0
"99",30,0,0,1,0,0
"100",3,0,0,0,0,0
"101",0,0,18,9,3,0
"102",20,7,0,0,0,0
"103",17,2,4,3,0,0
"104",22,0,2,1,0,0
"105",24,2,0,0,3,0
"106",13,13,3,1,0,0
"107",7,11,5,0,0,0
"108",25,0,3,0,3,0
"109",20,5,8,0,0,0
"110",17,4,0,5,0,0
"111",25,0,2,0,0,0
"112",17,7,3,0,0,0
"113",5,0,0,0,0,0
"114",32,0,0,0,2,0
"115",24,0,4,0,3,0
"116",0,1,19,2,2,0
"117",20,3,0,5,0,0
"118",2,23,6,0,0,0
"119",25,0,2,0,4,0
"120",25,3,0,3,0,0
"121",31,0,0,0,0,0
"122",23,3,0,2,0,0
"123",29,0,3,0,0,0
"124",26,0,0,2,5,0
"125",11,13,3,5,0,0
"126",28,4,0,4,0,0
"127",16,4,0,3,0,0
"128",22,2,5,0,4,0
"129",18,8,0,0,3,0
"130",0,21,4,0,1,0
