"","V1","V2","V3","V4","V5","V6"
"1",20,20,4,4,0,0
"2",36,0,0,4,8,0
"3",12,8,28,0,0,0
"4",12,8,20,8,0,0
"5",44,0,0,4,0,0
"6",44,0,0,4,0,0
"7",36,4,8,0,0,0
"8",8,0,24,16,0,0
"9",40,4,0,0,4,0
"10",40,4,0,0,4,0
"11",28,12,4,4,0,0
"12",4,4,28,4,4,4
"13",36,4,4,0,4,0
"14",40,0,4,4,0,0
"15",44,0,0,4,0,0
"16",40,0,0,8,0,0
"17",4,24,16,4,0,0
"18",4,32,0,4,4,4
"19",40,0,4,0,0,4
"20",44,0,0,4,0,0
"21",32,4,8,4,0,0
"22",40,4,0,0,4,0
"23",40,4,4,0,0,0
"24",40,8,0,0,0,0
"25",36,8,0,0,4,0
"26",36,12,0,0,0,0
"27",44,0,0,4,0,0
"28",44,0,4,0,0,0
"29",0,0,0,0,4,0
"30",40,4,4,0,0,0
"31",40,4,0,4,0,0
"32",12,36,0,0,0,0
"33",16,28,0,0,4,0
"34",44,0,0,0,4,0
"35",20,16,4,4,4,0
"36",40,4,4,0,0,0
"37",40,4,0,0,4,0
"38",8,36,0,0,4,0
"39",4,8,28,4,4,0
"40",32,4,8,0,4,0
"41",44,0,0,0,4,0
"42",4,20,16,4,4,0
"43",40,4,0,0,4,0
"44",4,36,0,4,4,0
"45",4,0,0,4,0,0
"46",40,4,0,4,0,0
"47",32,8,0,4,4,0
"48",8,0,8,0,0,0
"49",8,4,0,4,0,0
"50",32,4,8,4,0,0
"51",44,4,0,0,0,0
"52",4,0,4,0,0,0
"53",44,0,0,0,4,0
"54",44,0,4,0,0,0
"55",40,4,4,0,0,0
"56",0,0,0,4,0,0
"57",40,0,4,4,0,0
"58",32,8,4,4,0,0
"59",44,4,0,0,0,0
"60",4,28,16,0,0,0
"61",32,4,8,4,0,0
"62",44,4,0,0,0,0
"63",0,12,20,8,8,0
"64",4,36,8,0,0,0
"65",40,4,0,4,0,0
"66",0,4,32,12,0,0
"67",40,4,0,4,0,0
"68",4,24,8,8,4,0
"69",40,8,0,0,0,0
"70",12,28,8,0,0,0
"71",16,28,0,4,0,0
"72",36,4,8,0,0,0
"73",20,0,0,4,0,0
"74",8,24,16,0,0,0
"75",4,24,8,0,4,8
"76",16,4,0,0,4,0
"77",24,16,4,4,0,0
"78",40,4,0,0,0,4
"79",28,8,8,0,4,0
"80",4,0,4,0,0,0
"81",0,4,28,12,4,0
"82",4,40,0,0,4,0
"83",36,0,12,0,0,0
"84",44,4,0,0,0,0
"85",28,20,0,0,0,0
"86",36,8,0,4,0,0
"87",4,8,24,4,8,0
"88",40,4,0,4,0,0
"89",24,12,12,0,0,0
"90",20,20,8,0,0,0
"91",8,24,8,0,8,0
"92",0,4,0,0,0,0
"93",40,4,0,0,4,0
"94",44,0,0,0,4,0
"95",32,4,12,0,0,0
"96",44,0,0,4,0,0
"97",4,40,0,0,4,0
"98",40,0,0,4,4,0
"99",44,0,0,4,0,0
"100",4,0,0,0,0,0
"101",0,4,28,12,4,0
"102",36,12,0,0,0,0
"103",32,4,8,4,0,0
"104",40,0,4,4,0,0
"105",40,4,0,0,4,0
"106",24,16,4,4,0,0
"107",16,24,8,0,0,0
"108",40,0,4,0,4,0
"109",28,8,12,0,0,0
"110",32,8,0,8,0,0
"111",44,0,4,0,0,0
"112",32,12,4,0,0,0
"113",8,0,0,0,4,0
"114",44,0,0,0,4,0
"115",40,0,4,0,4,0
"116",0,4,36,4,4,0
"117",36,4,0,8,0,0
"118",4,36,8,0,0,0
"119",40,0,4,0,4,0
"120",40,4,0,4,0,0
"121",48,0,0,0,0,0
"122",40,4,0,4,0,0
"123",40,0,8,0,0,0
"124",36,0,0,4,8,0
"125",16,20,4,8,0,0
"126",36,8,0,4,0,0
"127",40,4,0,4,0,0
"128",32,4,8,0,4,0
"129",32,12,0,0,4,0
"130",0,36,8,0,4,0
