"","V1","V2","V3","V4","V5"
"1",22,0,1,0,0
"2",23,1,0,1,0
"3",3,0,0,0,0
"4",0,21,1,0,0
"5",0,0,0,0,0
"6",22,0,1,0,0
"7",23,0,1,1,0
"8",19,2,2,0,0
"9",0,5,9,3,0
"10",22,0,0,0,0
"11",23,2,0,1,0
"12",4,15,1,0,0
"13",1,0,4,3,1
"14",12,5,0,0,0
"15",19,5,1,0,0
"16",2,13,1,0,0
"17",19,1,0,0,0
"18",17,0,4,0,0
"19",19,4,3,0,0
"20",0,21,3,0,0
"21",21,2,1,1,0
"22",2,14,5,0,0
"23",5,6,3,0,0
"24",15,2,0,2,0
"25",3,4,5,4,0
"26",15,9,0,2,0
"27",7,10,4,0,0
"28",19,2,2,0,0
"29",24,2,0,0,0
"30",26,1,0,0,0
"31",25,2,0,0,0
"32",4,15,2,0,0
"33",15,4,2,0,0
"34",23,5,0,0,0
"35",19,3,0,0,0
"36",21,1,2,0,0
"37",27,1,1,0,0
"38",18,0,2,0,0
"39",22,0,1,0,0
"40",0,11,7,0,0
"41",1,2,8,0,0
"42",22,2,0,0,0
"43",2,9,1,0,0
"44",20,2,0,0,0
"45",12,7,2,0,0
"46",1,10,3,0,0
"47",0,1,0,0,0
"48",19,5,0,0,0
"49",14,2,3,0,0
"50",22,3,0,0,0
"51",4,16,0,0,0
"52",17,3,0,0,0
"53",0,23,0,1,0
"54",12,5,0,0,0
"55",2,16,0,2,0
"56",17,2,2,0,0
"57",21,3,0,0,0
"58",25,0,0,0,0
"59",25,3,1,0,0
"60",24,1,1,0,0
"61",19,3,0,0,0
"62",4,4,5,0,0
"63",18,0,2,0,0
"64",20,2,2,0,0
"65",19,0,3,1,0
"66",1,0,16,2,0
"67",20,1,1,0,0
"68",24,0,0,0,0
"69",13,5,1,2,0
"70",29,0,0,0,0
"71",23,1,3,0,0
"72",18,2,6,0,0
"73",22,3,1,0,0
"74",16,3,0,0,0
"75",3,14,0,0,0
"76",10,8,2,1,0
"77",19,0,1,1,0
"78",16,5,0,0,0
"79",23,3,0,0,0
"80",14,2,0,0,0
"81",2,23,2,0,0
"82",26,0,1,0,0
"83",8,7,3,0,0
"84",19,5,1,0,0
"85",1,4,10,0,0
"86",13,1,4,1,0
"87",29,0,2,0,0
"88",0,0,8,3,0
"89",22,0,0,2,0
"90",5,12,2,0,0
"91",22,0,0,0,0
"92",20,2,1,0,0
"93",21,2,0,0,0
"94",22,5,0,0,0
"95",0,3,0,0,0
"96",15,2,1,0,0
"97",4,13,1,0,0
"98",19,1,1,0,0
"99",22,0,0,0,0
"100",0,9,8,0,0
"101",1,1,15,0,0
"102",18,0,1,0,0
"103",0,2,16,2,0
"104",23,0,1,0,0
"105",19,1,1,0,0
"106",24,1,0,0,0
"107",1,20,0,0,0
"108",0,6,6,1,0
"109",24,0,0,0,0
"110",1,14,2,0,0
"111",15,3,2,0,0
"112",17,1,2,0,0
"113",19,3,0,1,0
"114",2,3,7,0,0
"115",19,4,1,0,0
"116",23,0,0,0,0
"117",29,0,3,0,0
"118",1,13,4,0,0
"119",1,16,1,0,0
"120",19,2,0,0,0
"121",21,3,0,0,0
"122",14,2,0,1,0
"123",17,0,5,0,0
"124",20,2,4,0,0
"125",0,3,14,0,0
"126",20,2,2,0,0
"127",19,2,0,0,0
"128",15,0,2,1,0
"129",0,10,4,0,0
"130",18,0,3,1,0
"131",18,1,1,0,0
"132",21,3,0,0,0
"133",24,0,3,0,0
"134",20,0,0,1,0
"135",25,0,1,1,0
"136",18,3,2,0,0
"137",28,0,0,2,0
"138",20,5,0,2,0
"139",27,0,1,0,0
"140",22,0,1,0,0
"141",0,17,2,0,0
"142",16,5,0,0,0
"143",0,5,8,0,0
"144",0,18,1,0,0
"145",0,21,0,2,0
"146",20,1,0,1,0
"147",24,3,0,0,0
"148",0,4,10,2,0
"149",0,3,14,3,0
"150",1,10,8,0,0
"151",21,0,2,0,0
"152",0,0,1,0,0
"153",18,3,2,0,0
"154",2,19,0,0,0
"155",0,19,1,1,0
"156",0,2,16,0,0
"157",15,2,3,0,0
"158",1,14,1,1,0
"159",22,0,2,0,0
"160",16,0,3,0,0
"161",2,3,8,0,0
"162",0,2,8,2,0
"163",15,4,1,0,0
"164",2,17,1,0,0
"165",12,11,0,0,0
"166",16,0,2,0,0
"167",20,3,2,0,0
"168",21,1,0,0,0
"169",26,2,0,0,0
"170",25,0,1,0,0
"171",23,2,0,0,0
"172",21,3,1,0,0
"173",24,0,1,0,0
"174",19,1,2,0,0
"175",4,20,0,0,0
"176",2,13,2,0,0
"177",0,0,13,2,0
"178",1,1,8,1,0
"179",3,19,1,0,0
"180",16,0,1,1,0
"181",2,1,3,4,0
"182",21,0,2,0,0
"183",29,0,1,0,0
"184",21,3,0,0,0
"185",22,1,0,0,0
"186",3,17,1,0,0
"187",31,1,0,0,0
"188",25,0,1,0,0
"189",2,12,3,0,0
"190",20,1,0,0,0
"191",22,0,0,0,0
"192",16,1,5,0,0
"193",18,2,2,0,0
"194",19,1,2,0,0
"195",17,2,0,0,0
"196",19,1,2,0,0
"197",6,13,1,1,0
"198",1,14,2,0,0
"199",20,0,0,0,0
"200",22,2,1,0,0
"201",15,1,1,1,0
"202",5,18,0,1,0
"203",0,20,1,0,0
"204",23,2,0,0,0
"205",23,1,1,0,0
"206",19,0,0,0,0
"207",13,11,0,0,0
"208",21,0,0,2,0
"209",7,8,3,0,0
"210",8,7,1,1,0
"211",0,5,15,0,0
"212",0,3,15,0,0
"213",5,14,0,0,0
"214",5,7,4,0,0
"215",27,0,0,0,0
"216",23,0,1,0,0
"217",1,16,2,0,0
"218",22,0,0,1,0
"219",14,4,2,0,0
"220",3,7,6,1,0
"221",26,2,0,0,0
"222",4,12,3,0,0
"223",25,1,1,0,0
"224",17,4,1,0,0
"225",16,4,0,0,0
"226",4,9,2,0,0
"227",0,25,1,0,0
"228",0,1,14,0,0
"229",1,15,2,0,0
"230",16,12,0,0,0
"231",18,4,1,0,0
"232",2,2,10,2,0
"233",16,5,2,0,0
"234",22,0,0,0,0
"235",4,12,1,0,0
"236",0,17,3,0,0
"237",21,3,0,2,0
"238",21,2,0,0,0
"239",23,2,0,0,0
"240",23,0,0,0,0
"241",16,2,1,0,0
"242",23,4,0,0,0
"243",0,17,0,1,0
"244",1,4,9,0,0
"245",20,0,2,0,0
"246",18,0,3,0,0
"247",20,3,2,0,0
"248",23,0,0,0,0
"249",25,3,2,0,0
"250",15,2,1,0,0
"251",4,15,2,0,0
"252",0,19,2,0,0
"253",22,1,0,0,0
"254",2,18,1,0,0
"255",19,1,1,1,0
"256",16,3,1,0,0
"257",18,4,3,0,0
"258",21,1,0,0,0
"259",23,2,0,0,0
"260",13,2,2,0,0
"261",0,8,9,0,0
"262",1,18,3,0,0
"263",20,3,0,0,0
"264",30,0,0,0,0
"265",1,18,1,0,0
"266",18,5,0,0,0
"267",27,0,0,0,0
"268",0,20,2,0,0
"269",2,6,3,0,0
"270",30,0,0,0,0
"271",22,1,0,0,0
"272",15,4,0,1,0
"273",0,6,6,0,0
"274",22,0,0,0,0
"275",16,6,0,0,0
"276",25,0,1,0,0
"277",0,16,3,1,0
"278",21,2,0,0,0
"279",24,2,0,0,0
"280",21,5,1,0,0
"281",20,0,2,0,0
"282",1,5,7,0,0
"283",22,2,0,0,0
"284",26,2,0,0,0
"285",19,2,1,0,0
"286",0,12,6,1,0
"287",24,3,0,0,0
"288",20,1,0,0,0
"289",24,0,4,0,0
"290",25,0,0,0,0
"291",22,2,2,0,0
"292",1,19,0,1,0
"293",22,1,0,0,0
"294",22,0,0,0,0
"295",19,2,1,0,0
"296",1,13,4,1,0
"297",10,12,4,0,0
"298",14,5,0,0,0
"299",20,3,2,0,0
"300",19,1,3,0,0
"301",22,0,0,0,0
"302",1,20,1,3,0
"303",2,13,2,0,0
"304",26,0,2,0,0
"305",21,1,0,0,0
"306",0,19,2,0,0
"307",21,2,0,0,0
"308",0,13,4,0,0
"309",5,14,0,0,0
"310",0,0,15,2,1
"311",2,15,0,0,0
"312",19,1,0,2,0
"313",3,14,3,0,0
"314",17,0,1,0,0
"315",23,4,0,0,0
"316",11,7,0,0,0
"317",14,3,1,0,0
"318",27,1,0,0,0
"319",1,7,10,1,0
"320",22,2,0,0,0
"321",25,0,0,0,0
"322",15,0,4,0,0
"323",22,0,6,0,0
"324",22,1,0,1,0
"325",0,6,15,0,0
"326",19,2,2,0,0
"327",2,0,18,0,0
"328",18,2,1,0,0
"329",1,19,1,3,0
"330",3,14,2,1,0
"331",21,4,0,0,0
"332",1,21,3,0,0
"333",19,0,3,0,0
"334",21,2,2,0,0
"335",0,4,13,0,0
"336",1,16,2,0,0
"337",15,7,1,0,0
"338",26,1,0,0,0
