"","V1","V2","V3","V4","V5","V6"
"1",0,2,8,0,0,0
"2",6,2,0,1,0,0
"3",0,0,0,4,0,0
"4",2,2,0,3,0,0
"5",1,5,0,3,0,0
"6",2,4,0,3,0,0
"7",2,5,2,0,0,0
"8",0,0,0,0,4,0
"9",7,0,0,0,2,0
"10",0,2,11,0,1,0
"11",5,5,3,1,0,0
"12",4,0,2,0,0,4
"13",1,0,10,0,2,0
"14",2,2,5,2,0,0
"15",2,1,2,3,0,0
"16",0,1,6,7,0,0
"17",1,10,2,0,0,0
"18",5,3,0,4,0,0
"19",0,1,12,2,0,0
"20",1,5,5,2,0,0
"21",0,8,0,2,0,0
"22",10,0,0,2,0,0
"23",0,11,3,0,0,0
"24",3,2,2,0,0,0
"25",0,7,3,2,2,0
"26",1,8,0,0,0,0
"27",8,2,0,0,2,0
"28",6,0,2,0,0,0
"29",0,0,0,0,4,0
"30",0,1,11,0,0,0
"31",10,2,0,2,0,0
"32",6,6,0,0,0,0
"33",5,2,0,3,1,0
"34",2,7,0,0,3,0
"35",0,0,6,8,1,0
"36",9,0,2,0,0,0
"37",0,0,0,10,3,0
"38",1,8,2,2,3,0
"39",0,2,12,1,0,0
"40",2,6,2,0,3,0
"41",4,6,0,0,2,0
"42",4,11,4,0,0,0
"43",0,11,2,0,3,0
"44",0,2,6,1,2,0
"45",2,0,0,3,0,0
"46",2,6,0,0,0,0
"47",1,5,3,0,0,0
"48",8,0,0,0,0,0
"49",0,6,10,0,0,0
"50",10,1,1,2,0,0
"51",1,9,0,0,0,0
"52",1,10,0,2,0,0
"53",9,0,0,0,1,0
"54",3,5,2,0,0,0
"55",3,5,1,0,0,0
"56",3,0,0,0,0,0
"57",0,2,7,0,0,0
"58",0,4,5,5,0,0
"59",2,6,1,1,0,0
"60",8,0,0,3,0,0
"61",1,7,6,0,0,0
"62",7,2,0,0,0,0
"63",0,9,2,0,0,0
"64",0,0,0,0,4,0
"65",1,3,6,1,0,0
"66",0,3,2,2,0,0
"67",0,11,0,3,0,0
"68",0,9,2,0,2,0
"69",7,2,0,0,0,0
"70",0,2,5,5,0,0
"71",10,0,0,3,0,0
"72",5,4,0,2,0,0
"73",8,0,1,0,0,0
"74",2,6,3,0,0,0
"75",3,4,0,2,0,0
"76",2,12,0,0,2,0
"77",0,7,6,1,0,0
"78",2,6,0,0,3,0
"79",0,6,4,0,2,0
"80",2,0,3,0,0,0
"81",0,1,10,0,0,2
"82",0,6,4,0,2,0
"83",3,8,0,3,0,0
"84",0,0,0,0,4,0
"85",3,2,0,0,0,0
"86",4,2,0,0,0,0
"87",0,10,0,0,0,0
"88",0,9,0,1,0,0
"89",5,0,3,0,0,0
"90",0,8,8,0,0,0
"91",1,10,3,0,2,0
"92",7,3,0,0,2,0
"93",1,1,5,0,2,0
"94",6,0,0,0,3,0
"95",0,0,5,12,1,0
"96",12,0,0,3,0,0
"97",4,2,0,0,3,0
"98",0,0,0,13,1,0
"99",8,0,0,0,2,0
"100",3,7,0,2,0,0
"101",1,5,2,0,2,0
"102",10,0,0,4,0,0
"103",1,5,3,2,0,0
"104",0,0,1,11,3,0
"105",6,3,0,0,2,0
"106",6,5,2,1,0,0
"107",6,1,1,0,0,0
"108",1,6,2,0,3,0
"109",0,1,11,0,0,0
"110",6,4,1,0,0,0
"111",3,0,3,0,0,0
"112",10,0,1,0,0,0
"113",4,0,0,0,2,0
"114",1,0,7,0,3,0
"115",5,5,0,1,3,0
"116",6,4,3,0,0,0
"117",6,0,0,4,0,0
"118",0,6,5,0,0,0
"119",2,0,0,3,0,0
"120",1,3,3,1,0,0
"121",9,0,0,0,0,0
"122",0,9,2,2,0,0
"123",0,0,13,0,0,0
"124",9,0,0,0,0,0
"125",0,5,2,4,0,0
"126",0,10,0,3,0,0
"127",5,1,3,0,0,0
"128",1,0,9,0,2,0
"129",9,3,0,0,2,0
"130",0,12,2,0,1,0
