"","V1","V2","V3","V4","V5"
"1",4,4,3,2,0
"2",0,3,0,0,0
"3",2,0,0,0,0
"4",3,2,0,0,0
"5",4,3,0,0,0
"6",1,0,2,0,0
"7",7,0,0,0,0
"8",7,0,3,0,0
"9",0,0,3,0,0
"10",0,4,0,0,0
"11",0,0,3,0,0
"12",0,2,0,0,0
"13",2,0,0,0,0
"14",0,3,1,0,0
"15",7,2,0,0,0
"16",3,0,0,0,0
"17",7,1,0,0,0
"18",1,0,2,0,0
"19",9,0,1,0,0
"20",5,0,0,0,0
"21",8,3,2,0,0
"22",3,7,1,0,0
"23",0,2,0,0,0
"24",4,5,3,0,0
"25",6,0,0,0,0
"26",5,2,1,0,0
"27",4,3,0,2,0
"28",3,2,1,0,0
"29",0,0,3,0,0
"30",4,0,2,0,0
"31",2,0,0,0,0
"32",0,2,0,0,0
"33",2,2,1,0,0
"34",0,2,0,0,0
"35",6,0,1,0,0
"36",1,0,2,0,0
"37",1,0,2,0,0
"38",8,1,0,3,0
"39",6,0,0,3,0
"40",1,0,2,0,0
"41",0,2,0,0,0
"42",0,3,0,0,0
"43",5,1,0,0,0
"44",1,0,2,0,0
"45",2,1,0,0,0
"46",2,0,0,0,0
"47",0,0,3,0,0
"48",0,3,0,0,0
"49",0,3,0,0,0
"50",6,0,2,0,0
"51",3,0,0,0,0
"52",3,3,2,0,0
"53",4,0,2,0,0
"54",3,1,0,0,0
"55",2,1,0,0,0
"56",9,0,1,0,0
"57",2,0,1,0,0
"58",2,2,0,0,0
"59",0,0,3,0,0
"60",8,0,3,0,0
"61",2,4,1,0,0
"62",1,0,2,0,0
"63",2,1,0,0,0
"64",1,0,2,0,0
"65",7,2,2,0,0
"66",0,0,3,0,0
"67",3,0,1,0,0
"68",0,2,0,0,0
"69",2,1,0,0,0
"70",2,0,0,0,0
"71",4,4,1,0,0
"72",0,0,3,0,0
"73",1,3,1,0,0
"74",3,0,0,0,0
"75",2,7,2,2,0
"76",3,0,1,0,0
"77",0,2,0,0,0
"78",7,2,1,0,0
"79",7,0,1,0,0
"80",0,2,0,0,0
"81",3,2,2,0,0
"82",0,2,0,0,0
"83",0,2,0,0,0
"84",0,5,0,2,0
"85",0,0,3,0,0
"86",0,6,3,0,0
"87",1,0,2,0,0
"88",0,2,0,0,0
"89",1,0,2,0,0
"90",2,0,0,0,0
"91",0,2,0,0,0
"92",2,1,0,0,0
"93",4,1,0,0,0
"94",1,0,2,0,0
"95",5,2,1,0,0
"96",3,0,0,0,0
"97",0,2,0,0,0
"98",2,0,2,0,0
"99",0,0,3,0,0
"100",0,0,3,0,0
"101",2,1,0,0,0
"102",0,2,0,0,0
"103",2,1,0,0,0
"104",5,4,1,0,0
"105",0,0,3,0,0
"106",1,0,2,0,0
"107",2,1,0,0,0
"108",4,5,0,0,0
"109",6,3,0,0,0
"110",9,0,0,0,0
"111",4,1,2,0,0
"112",5,1,1,0,0
"113",3,6,2,0,0
"114",3,1,0,0,0
"115",0,8,0,0,0
"116",2,1,0,0,0
"117",2,0,2,0,0
"118",7,3,1,0,0
"119",2,2,0,3,0
"120",9,2,0,0,0
"121",2,1,0,0,0
"122",2,1,0,0,0
"123",8,0,0,0,0
"124",5,1,0,0,0
"125",2,0,0,0,0
"126",9,0,1,0,0
"127",3,0,0,0,0
"128",0,2,0,0,0
"129",2,0,0,0,0
"130",5,0,0,0,0
"131",6,2,0,0,0
"132",2,4,0,0,0
"133",1,0,2,0,0
"134",7,2,1,0,0
"135",6,0,2,0,0
"136",6,4,0,0,0
"137",0,0,3,0,0
"138",3,4,0,0,0
"139",8,0,1,0,0
"140",7,2,0,3,0
"141",2,0,1,0,0
"142",5,2,0,0,0
"143",0,3,1,0,0
"144",3,1,0,0,0
"145",7,0,1,0,0
"146",6,1,1,0,0
"147",2,6,3,2,0
"148",0,0,3,0,0
"149",1,0,2,0,0
"150",0,3,0,0,0
"151",0,0,3,0,0
"152",1,6,0,0,0
"153",3,5,0,1,0
"154",8,1,1,0,0
"155",2,1,0,0,0
