"","V1","V2","V3","V4","V5","V6"
"1",27,5,0,3,0,0
"2",5,0,3,0,0,0
"3",0,0,0,3,0,0
"4",26,0,0,3,0,0
"5",23,2,2,0,3,2
"6",1,15,11,0,0,0
"7",27,2,3,0,0,0
"8",0,0,0,4,0,0
"9",26,1,0,0,0,0
"10",30,0,4,0,3,0
"11",24,0,0,3,0,0
"12",24,0,0,3,2,0
"13",29,3,0,0,0,0
"14",30,0,0,0,2,0
"15",0,5,14,14,0,0
"16",29,2,0,3,0,0
"17",5,0,0,4,0,0
"18",1,4,0,0,0,0
"19",25,0,2,4,0,0
"20",27,0,0,3,0,0
"21",28,0,0,4,0,0
"22",22,2,4,0,0,0
"23",20,0,4,0,0,0
"24",3,0,3,0,0,0
"25",30,0,3,4,0,0
"26",28,3,0,0,0,0
"27",18,0,0,0,0,0
"28",29,0,3,0,0,0
"29",26,2,2,0,0,0
"30",30,3,0,0,0,0
"31",20,4,0,2,0,0
"32",0,24,2,2,0,0
"33",18,4,3,4,0,0
"34",2,0,0,0,2,0
"35",6,2,0,0,3,0
"36",16,0,2,0,0,0
"37",27,0,4,0,0,0
"38",0,0,0,0,1,0
"39",3,0,0,3,0,0
"40",0,0,1,0,0,0
"41",0,1,23,0,1,2
"42",0,0,0,4,0,0
"43",3,1,0,0,0,0
"44",3,0,0,2,0,0
"45",24,3,1,0,0,0
"46",4,0,0,2,0,0
"47",0,24,3,2,2,0
"48",15,2,4,3,0,0
"49",32,0,1,0,0,0
"50",15,2,0,2,0,0
"51",20,1,1,0,3,0
"52",21,5,2,0,0,0
"53",6,0,0,0,2,0
"54",19,2,0,0,3,0
"55",28,1,3,0,0,0
"56",7,0,0,0,0,0
"57",28,7,3,0,0,0
"58",21,6,3,3,0,0
"59",7,0,0,0,0,0
"60",17,14,0,0,2,0
"61",0,0,0,3,0,0
"62",1,19,10,0,0,0
"63",0,6,11,2,4,0
"64",26,2,0,3,0,0
"65",23,4,0,0,4,0
"66",5,22,6,3,0,0
"67",3,22,0,0,1,0
"68",24,7,0,0,0,0
"69",16,2,0,0,0,0
"70",26,0,3,0,3,0
"71",24,0,0,2,0,0
"72",27,0,1,0,0,0
"73",6,0,0,0,4,0
"74",28,3,0,0,0,0
"75",6,3,0,0,0,0
"76",27,0,2,0,0,0
"77",2,0,0,2,0,0
"78",32,0,0,2,0,0
"79",2,24,3,0,4,0
"80",0,0,4,0,0,0
"81",28,3,3,0,1,0
"82",24,6,0,0,1,0
"83",2,25,6,0,0,0
"84",29,3,0,0,0,0
"85",33,4,0,0,0,0
"86",25,3,0,0,3,0
"87",19,12,3,0,0,0
"88",29,0,0,4,0,0
"89",3,0,0,3,0,0
"90",5,23,5,0,0,0
"91",3,3,0,0,0,0
"92",0,26,0,0,3,0
"93",6,15,7,0,4,0
"94",6,11,4,7,0,0
"95",20,2,6,0,0,0
"96",20,0,3,5,0,0
"97",23,2,0,0,2,0
"98",22,0,3,0,3,0
"99",30,1,0,0,0,0
"100",3,0,0,0,0,0
"101",0,15,8,0,3,0
"102",19,9,0,3,0,0
"103",22,4,0,0,2,0
"104",27,0,0,1,0,0
"105",25,4,0,0,0,0
"106",24,0,0,1,0,0
"107",18,6,5,0,4,0
"108",24,6,0,0,0,0
"109",32,2,4,0,0,0
"110",2,0,0,0,3,0
"111",26,3,0,0,0,0
"112",2,0,3,0,0,0
"113",33,0,0,0,0,0
"114",32,0,0,0,2,0
"115",3,0,0,0,3,0
"116",6,0,0,0,6,0
"117",17,8,0,2,0,0
"118",23,3,0,0,0,0
"119",0,0,0,0,3,0
"120",26,0,0,3,0,0
"121",31,0,0,0,0,0
"122",24,2,0,2,0,0
"123",8,16,6,0,0,0
"124",10,0,2,0,0,0
"125",20,5,0,4,0,0
"126",0,27,3,0,4,0
"127",9,0,0,4,0,0
"128",0,21,4,0,4,0
"129",3,3,0,2,0,0
"130",19,0,5,0,2,0
