"","V1","V2","V3","V4","V5","V6"
"1",0,28,12,4,4,0
"2",40,8,0,0,0,0
"3",8,36,0,0,4,0
"4",40,4,0,4,0,0
"5",4,4,0,0,0,0
"6",36,8,0,0,4,0
"7",24,20,0,0,0,4
"8",4,4,0,0,4,0
"9",40,0,0,4,4,0
"10",24,4,12,0,8,0
"11",16,0,0,4,0,0
"12",8,16,16,4,4,0
"13",4,0,0,0,0,0
"14",32,12,0,0,4,0
"15",32,8,4,4,0,0
"16",36,8,0,4,0,0
"17",28,16,0,0,4,0
"18",4,20,24,0,0,0
"19",24,16,4,4,0,0
"20",16,28,0,4,0,0
"21",4,0,0,4,0,0
"22",8,0,0,4,0,0
"23",4,0,4,0,0,0
"24",32,8,4,0,4,0
"25",28,8,12,0,0,0
"26",20,28,0,0,0,0
"27",44,4,0,0,0,0
"28",32,12,4,0,0,0
"29",0,4,0,0,4,0
"30",28,16,0,0,4,0
"31",20,4,0,4,0,0
"32",32,16,0,0,0,0
"33",0,4,0,0,0,0
"34",4,0,0,0,4,0
"35",40,4,0,0,4,0
"36",24,0,4,0,0,0
"37",8,36,4,0,0,0
"38",4,12,12,8,12,0
"39",4,0,0,4,0,0
"40",0,0,4,0,0,0
"41",44,0,4,0,0,0
"42",0,0,0,4,0,0
"43",36,4,0,0,0,0
"44",4,0,0,4,0,0
"45",4,40,4,0,0,0
"46",36,8,0,4,0,0
"47",36,8,4,0,0,0
"48",44,0,0,0,4,0
"49",0,40,4,0,4,0
"50",4,4,0,4,0,0
"51",36,4,0,4,0,0
"52",48,0,0,0,0,0
"53",12,0,0,0,4,0
"54",20,24,0,0,4,0
"55",28,4,12,0,4,0
"56",44,0,0,4,0,0
"57",40,4,0,4,0,0
"58",0,28,12,8,0,0
"59",36,4,4,4,0,0
"60",36,4,4,4,0,0
"61",0,0,0,4,0,0
"62",12,4,4,0,0,0
"63",8,28,4,4,4,0
"64",40,4,0,4,0,0
"65",36,8,0,0,4,0
"66",4,28,12,4,0,0
"67",24,12,8,0,4,0
"68",4,0,0,4,0,0
"69",44,4,0,0,0,0
"70",0,0,32,8,8,0
"71",44,0,0,4,0,0
"72",32,12,4,0,0,0
"73",4,0,0,0,0,0
"74",44,4,0,0,0,0
"75",8,32,8,0,0,0
"76",24,20,0,0,4,0
"77",4,0,0,4,0,0
"78",0,0,0,0,4,0
"79",0,32,12,0,4,0
"80",4,0,0,0,0,0
"81",44,0,0,4,0,0
"82",36,8,0,0,4,0
"83",8,32,4,0,0,4
"84",20,16,8,4,0,0
"85",44,4,0,0,0,0
"86",0,0,0,4,0,0
"87",4,32,8,4,0,0
"88",20,0,0,4,0,0
"89",4,12,24,4,4,0
"90",4,32,8,0,4,0
"91",16,28,0,4,0,0
"92",0,4,0,0,4,0
"93",16,20,8,0,4,0
"94",36,8,4,0,0,0
"95",0,0,0,4,0,0
"96",8,20,12,4,0,4
"97",44,0,4,0,0,0
"98",8,32,4,0,4,0
"99",4,0,0,0,0,0
"100",24,0,0,4,0,0
"101",4,32,4,4,4,0
"102",40,4,0,4,0,0
"103",44,0,0,4,0,0
"104",44,0,0,4,0,0
"105",28,4,0,0,0,0
"106",4,0,0,4,0,0
"107",16,28,4,0,0,0
"108",4,32,4,4,4,0
"109",44,0,4,0,0,0
"110",20,0,0,0,4,0
"111",36,0,4,8,0,0
"112",24,0,4,0,0,0
"113",40,4,0,0,4,0
"114",44,0,0,0,4,0
"115",4,0,0,0,4,0
"116",8,0,0,0,8,0
"117",28,12,4,4,0,0
"118",32,12,4,0,0,0
"119",16,28,4,0,0,0
"120",44,0,0,4,0,0
"121",48,0,0,0,0,0
"122",24,16,4,4,0,0
"123",44,0,4,0,0,0
"124",20,0,4,0,0,0
"125",32,8,0,8,0,0
"126",4,0,0,4,0,0
"127",4,20,24,0,0,0
"128",0,36,8,0,4,0
"129",8,4,0,4,0,0
"130",4,0,4,0,0,0
