"","V1","V2","V3","V4","V5","V6"
"1",1,6,6,0,0,0
"2",13,4,0,0,0,0
"3",2,3,0,0,2,0
"4",1,10,0,2,0,0
"5",0,0,4,0,0,0
"6",3,5,0,0,2,0
"7",9,0,0,0,4,0
"8",1,9,0,2,2,0
"9",11,0,0,2,2,0
"10",0,6,8,0,1,0
"11",9,0,2,0,0,0
"12",6,5,0,4,0,0
"13",10,1,0,0,0,0
"14",3,9,4,2,0,0
"15",0,1,3,11,0,0
"16",1,9,0,0,3,0
"17",2,0,0,0,0,0
"18",9,3,0,0,0,0
"19",0,12,0,0,3,0
"20",0,10,0,2,0,0
"21",0,7,4,2,0,0
"22",9,0,0,2,0,0
"23",2,0,3,0,0,0
"24",8,4,2,0,2,0
"25",2,6,0,0,3,0
"26",7,6,0,0,0,0
"27",11,3,0,0,0,0
"28",12,0,2,0,0,0
"29",0,4,0,0,2,0
"30",9,0,3,0,0,0
"31",8,3,0,2,0,0
"32",0,11,3,2,0,0
"33",4,0,0,0,2,0
"34",2,0,0,0,3,0
"35",8,1,0,0,2,0
"36",8,0,2,0,0,0
"37",0,4,4,7,2,0
"38",11,2,0,0,2,0
"39",2,0,0,3,0,0
"40",0,0,4,0,0,0
"41",3,0,3,0,0,0
"42",0,0,0,4,0,0
"43",3,1,0,0,0,0
"44",3,0,0,3,0,0
"45",1,11,2,0,0,0
"46",7,0,3,0,0,0
"47",6,0,3,0,0,0
"48",5,1,0,0,2,0
"49",0,9,3,0,0,0
"50",7,2,0,2,0,0
"51",8,0,0,0,2,0
"52",6,0,0,0,0,0
"53",6,0,0,0,1,0
"54",9,1,0,0,2,0
"55",7,5,1,0,0,0
"56",3,0,0,0,3,0
"57",1,9,0,0,2,0
"58",6,9,3,2,0,0
"59",13,1,0,0,0,0
"60",12,3,1,0,0,0
"61",0,0,0,4,0,0
"62",5,3,1,0,0,0
"63",1,6,2,3,0,0
"64",13,2,0,2,0,0
"65",13,3,0,0,3,0
"66",1,10,1,2,0,0
"67",5,9,0,0,2,0
"68",9,0,0,0,0,0
"69",10,2,0,0,0,0
"70",4,8,0,0,0,0
"71",5,0,0,1,0,0
"72",7,2,0,2,0,0
"73",14,1,0,0,0,0
"74",10,1,0,0,0,0
"75",2,0,0,0,3,0
"76",2,0,0,3,0,0
"77",2,0,0,3,0,0
"78",0,0,0,0,4,0
"79",0,7,6,0,2,0
"80",0,6,7,0,0,3
"81",2,0,0,3,0,0
"82",4,4,0,0,2,0
"83",0,0,0,0,4,0
"84",3,11,5,0,0,0
"85",8,2,0,0,0,0
"86",10,0,0,1,0,0
"87",0,0,11,5,1,0
"88",7,0,0,3,0,0
"89",2,12,2,0,0,0
"90",0,10,3,0,3,0
"91",1,9,0,3,0,0
"92",9,1,0,0,0,0
"93",3,7,4,0,2,0
"94",6,2,2,0,0,0
"95",9,6,1,0,0,0
"96",1,8,1,3,0,0
"97",0,0,0,0,4,0
"98",2,10,2,0,1,0
"99",1,9,5,0,2,0
"100",0,0,0,4,0,0
"101",3,6,5,0,2,0
"102",0,0,0,0,4,0
"103",2,0,3,0,0,0
"104",7,2,0,3,0,0
"105",10,2,0,0,0,0
"106",10,0,0,3,0,0
"107",1,5,4,2,1,0
"108",7,4,0,0,0,0
"109",9,0,2,0,0,0
"110",13,0,0,0,3,0
"111",2,0,0,3,0,0
"112",9,0,2,0,0,0
"113",9,2,0,0,1,0
"114",9,0,0,0,3,0
"115",13,0,0,3,0,0
"116",10,0,0,0,0,0
"117",1,9,0,2,0,0
"118",10,0,0,5,0,0
"119",13,0,2,0,0,0
"120",1,8,2,3,0,0
"121",3,0,3,0,0,0
"122",7,2,0,0,0,0
"123",8,0,3,0,0,0
"124",1,5,6,0,1,2
"125",7,6,0,2,0,0
"126",0,12,3,0,0,0
"127",5,2,0,0,0,0
"128",0,8,5,0,2,0
"129",12,2,0,2,0,0
"130",7,5,2,0,1,0
