"","V1","V2","V3","V4","V5"
"1",6,0,3,0,0
"2",3,0,1,0,0
"3",4,0,0,0,0
"4",2,1,0,0,0
"5",5,2,0,2,0
"6",3,3,0,0,0
"7",9,0,2,0,0
"8",2,6,0,2,0
"9",0,3,0,0,0
"10",1,0,2,0,0
"11",1,0,2,0,0
"12",7,0,0,0,0
"13",0,3,0,0,0
"14",2,0,0,0,0
"15",0,2,0,0,0
"16",3,2,0,0,0
"17",2,0,0,0,0
"18",6,2,0,0,0
"19",2,0,0,0,0
"20",2,0,0,0,0
"21",10,0,2,0,0
"22",3,0,2,0,0
"23",3,0,0,0,0
"24",4,6,0,0,0
"25",0,9,2,0,0
"26",1,0,2,0,0
"27",0,3,0,0,0
"28",7,2,1,0,0
"29",2,0,0,0,0
"30",1,0,2,0,0
"31",8,0,1,0,0
"32",7,0,2,0,0
"33",0,0,3,0,0
"34",6,0,2,0,0
"35",4,0,1,0,0
"36",5,3,3,0,0
"37",2,3,1,0,0
"38",1,0,2,0,0
"39",3,3,0,0,0
"40",7,2,0,0,0
"41",1,0,2,0,0
"42",7,0,0,0,0
"43",6,0,0,0,0
"44",5,0,2,0,0
"45",0,3,0,0,0
"46",5,1,0,0,0
"47",4,4,0,0,0
"48",2,0,0,0,0
"49",3,2,1,0,0
"50",7,2,1,0,0
"51",0,2,0,0,0
"52",6,0,0,0,0
"53",6,1,0,0,0
"54",3,8,0,0,0
"55",2,1,0,0,0
"56",4,0,0,0,0
"57",0,2,0,0,0
"58",2,2,0,0,0
"59",0,0,3,0,0
"60",6,0,0,3,0
"61",9,1,0,0,0
"62",2,0,2,0,0
"63",1,0,2,0,0
"64",7,5,1,0,0
"65",3,0,0,0,0
"66",5,5,0,0,0
"67",2,0,0,0,0
"68",6,2,1,0,0
"69",0,0,3,0,0
"70",7,3,1,0,0
"71",1,7,1,0,0
"72",0,2,0,0,0
"73",4,4,0,3,0
"74",2,0,0,0,0
"75",1,0,2,0,0
"76",0,2,0,0,0
"77",4,0,2,0,0
"78",8,0,1,0,0
"79",0,2,0,0,0
"80",3,3,0,2,0
"81",5,3,2,0,0
"82",2,0,2,0,0
"83",4,3,1,0,0
"84",0,0,3,0,0
"85",0,9,2,0,0
"86",2,0,2,0,0
"87",4,3,1,0,0
"88",0,2,0,0,0
"89",4,0,0,0,0
"90",6,0,2,0,0
"91",4,0,0,0,0
"92",2,0,0,0,0
"93",0,0,3,0,0
"94",0,0,3,0,0
"95",4,4,0,1,0
"96",6,0,1,0,0
"97",0,7,0,0,0
"98",2,0,1,0,0
"99",2,0,0,0,0
"100",5,2,1,0,0
"101",2,1,0,0,0
"102",2,0,2,0,0
"103",5,2,1,0,0
"104",3,0,2,0,0
"105",2,1,0,0,0
"106",4,0,2,0,0
"107",0,0,3,0,0
"108",0,2,0,0,0
"109",0,2,0,0,0
"110",0,2,0,0,0
"111",0,0,3,0,0
"112",3,0,0,0,0
"113",7,1,1,0,0
"114",4,0,2,0,0
"115",4,5,0,0,0
"116",4,2,1,0,0
"117",2,3,0,0,0
"118",2,3,0,0,0
"119",0,2,0,0,0
"120",0,2,0,0,0
"121",0,3,0,0,0
"122",0,5,2,0,0
"123",0,0,3,0,0
"124",5,3,0,0,0
"125",7,5,0,0,0
"126",5,2,1,0,0
"127",4,0,2,0,0
"128",2,0,1,0,0
"129",2,1,0,0,0
"130",4,0,1,0,0
"131",4,0,2,0,0
"132",3,1,0,0,0
"133",2,0,0,0,0
"134",1,0,2,0,0
"135",3,2,0,0,0
"136",3,0,2,0,0
"137",2,0,0,0,0
"138",1,5,1,0,0
"139",6,2,3,0,0
"140",6,2,0,0,0
"141",1,0,2,0,0
"142",8,1,0,0,0
"143",4,5,0,3,0
"144",2,2,0,0,0
"145",6,7,1,0,0
"146",4,2,0,0,0
"147",4,0,0,0,0
"148",2,1,0,0,0
"149",1,0,2,0,0
"150",1,0,2,0,0
"151",5,1,0,0,0
"152",4,3,0,0,0
"153",1,0,2,0,0
"154",2,2,0,0,0
"155",0,0,3,0,0
"156",8,0,2,0,0
"157",8,1,0,0,0
"158",0,0,3,0,0
"159",5,0,2,0,0
"160",3,4,0,0,0
"161",1,0,2,0,0
"162",7,0,0,0,0
"163",2,2,1,0,0
"164",8,0,0,0,0
"165",8,2,1,0,0
"166",2,0,0,0,0
"167",8,2,0,0,0
"168",2,1,0,0,0
"169",0,2,0,0,0
"170",6,0,2,0,0
"171",8,0,2,0,0
"172",4,1,2,0,0
"173",9,0,1,0,0
"174",2,0,1,0,0
"175",2,0,0,0,0
"176",2,0,0,0,0
"177",4,0,0,0,0
"178",3,6,0,0,0
"179",7,2,0,2,0
"180",0,9,0,0,1
"181",6,0,2,0,0
"182",0,3,0,0,0
"183",7,2,0,2,0
"184",8,1,0,0,0
"185",4,0,1,0,0
"186",2,0,0,0,0
"187",6,0,1,0,0
"188",0,0,3,0,0
"189",0,2,0,0,0
"190",1,0,2,0,0
"191",7,0,1,0,0
"192",7,1,0,2,0
"193",6,2,0,0,0
"194",5,1,1,0,0
"195",4,0,2,0,0
"196",0,3,0,0,0
"197",3,1,0,0,0
"198",4,2,0,0,0
"199",2,1,0,0,0
"200",4,7,0,2,0
"201",5,2,2,0,0
"202",8,1,2,0,0
"203",4,0,0,0,0
"204",1,0,2,0,0
"205",1,4,0,0,0
"206",2,2,1,0,0
"207",3,2,1,0,0
"208",0,0,3,0,0
"209",7,0,0,0,0
"210",9,0,0,1,0
"211",2,1,0,0,0
"212",2,0,0,0,0
"213",7,1,1,0,0
"214",4,0,1,0,0
"215",0,2,0,0,0
"216",0,2,0,0,0
"217",2,0,0,0,0
"218",1,0,2,0,0
"219",2,0,0,0,0
"220",0,2,0,0,0
"221",0,2,0,0,0
"222",1,0,2,0,0
"223",0,2,0,0,0
"224",0,0,3,0,0
"225",4,1,0,0,0
"226",2,0,0,0,0
"227",3,0,0,0,0
"228",1,0,2,0,0
"229",8,0,0,0,0
"230",4,0,2,0,0
"231",5,1,1,0,0
"232",5,1,0,0,0
"233",10,0,2,0,0
"234",3,4,0,0,0
"235",0,3,0,0,0
"236",0,2,0,0,0
"237",2,2,1,0,0
"238",1,6,0,2,0
"239",0,2,0,0,0
"240",1,0,2,0,0
"241",0,3,0,0,0
"242",2,0,2,0,0
"243",9,0,0,0,0
"244",3,0,0,0,0
"245",8,3,0,0,0
"246",1,0,2,0,0
"247",9,0,2,0,0
"248",3,3,1,0,0
"249",2,1,0,0,0
"250",2,0,0,0,0
"251",0,0,3,0,0
"252",6,0,2,0,0
"253",0,2,0,0,0
"254",2,2,1,0,0
"255",7,0,2,0,0
"256",0,0,3,0,0
"257",1,0,2,0,0
"258",6,2,2,0,0
"259",0,3,1,0,0
"260",4,2,0,0,0
"261",6,2,0,3,0
"262",6,0,0,2,0
"263",4,0,0,0,0
"264",5,0,0,0,0
"265",0,3,0,0,0
"266",2,0,0,0,0
"267",8,0,0,0,0
"268",3,0,0,0,0
"269",3,2,0,0,0
"270",0,0,3,0,0
"271",6,0,0,0,0
"272",6,7,1,0,0
"273",2,0,0,0,0
"274",0,2,0,0,0
"275",0,2,0,0,0
"276",1,6,0,0,0
"277",2,3,0,2,0
"278",4,0,1,0,0
"279",2,0,0,0,0
"280",4,3,1,0,0
"281",4,3,3,0,0
"282",7,2,1,0,0
"283",4,0,2,0,0
"284",8,1,0,0,0
"285",3,2,1,0,0
"286",0,2,0,0,0
"287",2,2,0,0,0
"288",0,2,0,0,0
"289",5,1,0,0,0
"290",2,1,0,0,0
"291",1,0,2,0,0
"292",5,1,0,0,0
"293",0,3,0,0,0
"294",6,2,0,0,0
"295",2,0,2,0,0
"296",2,0,2,0,0
"297",2,3,1,0,0
"298",0,0,3,0,0
"299",0,3,1,0,0
"300",0,0,3,0,0
"301",5,5,0,3,0
"302",2,0,0,0,0
"303",0,8,1,0,0
"304",2,0,2,0,0
"305",4,4,0,0,0
"306",0,2,0,0,0
"307",7,0,0,0,0
"308",4,0,0,0,0
"309",6,0,0,0,0
"310",4,0,2,0,0
"311",2,0,2,0,0
"312",6,0,0,0,0
"313",4,0,2,0,0
"314",2,0,2,0,0
"315",3,0,0,0,0
