"","V1","V2","V3","V4","V5"
"1",1,12,2,1,0
"2",1,0,3,0,0
"3",3,3,0,0,0
"4",0,1,0,0,0
"5",0,2,0,0,0
"6",4,0,0,0,0
"7",2,0,1,0,0
"8",4,0,2,0,0
"9",1,0,1,1,0
"10",4,0,0,0,0
"11",8,8,2,0,0
"12",1,0,0,0,0
"13",0,0,3,0,0
"14",0,0,3,0,0
"15",0,1,1,0,0
"16",2,0,0,0,0
"17",3,0,0,0,0
"18",0,1,0,0,0
"19",10,0,0,0,0
"20",1,0,0,0,0
"21",0,1,0,0,0
"22",0,2,0,0,0
"23",22,2,0,0,0
"24",6,9,0,0,0
"25",1,0,0,0,0
"26",10,3,0,0,0
"27",7,0,1,0,0
"28",0,0,0,0,0
"29",0,0,1,0,0
"30",1,0,2,0,0
"31",2,0,2,0,0
"32",6,0,0,0,0
"33",2,3,2,0,0
"34",0,0,3,0,0
"35",0,2,0,0,0
"36",0,0,3,0,0
"37",1,0,0,0,0
"38",6,0,0,0,0
"39",11,1,0,2,0
"40",0,2,0,0,0
"41",1,2,0,0,0
"42",4,0,1,0,0
"43",0,2,0,0,0
"44",15,2,2,0,0
"45",13,5,0,0,0
"46",10,5,2,0,0
"47",11,7,0,0,0
"48",2,21,7,0,0
"49",4,2,0,0,0
"50",9,5,0,1,0
"51",10,4,0,0,0
"52",17,1,0,0,0
"53",1,1,0,0,0
"54",8,0,2,0,0
"55",2,1,0,0,0
"56",1,0,1,0,0
"57",0,0,1,0,0
"58",3,2,0,0,0
"59",2,0,0,0,0
"60",0,3,0,0,0
"61",3,12,8,0,0
"62",9,4,0,0,0
"63",1,0,2,0,0
"64",0,1,0,0,0
"65",6,10,2,0,0
"66",1,0,0,0,0
"67",8,3,0,0,0
"68",13,1,3,0,0
"69",18,0,0,0,0
"70",4,0,2,0,0
"71",10,1,2,0,0
"72",0,0,0,0,0
"73",3,0,0,0,0
"74",0,0,3,0,0
"75",0,2,0,0,0
"76",1,0,3,0,0
"77",4,14,3,0,0
"78",0,2,0,0,0
"79",16,0,1,0,0
"80",11,0,3,0,0
"81",4,2,0,0,0
"82",3,10,0,2,0
"83",7,0,0,0,0
"84",2,7,2,0,0
"85",0,2,0,0,0
"86",8,0,3,0,0
"87",14,0,1,0,0
"88",1,0,2,0,0
"89",0,3,0,0,0
"90",4,3,3,0,0
"91",0,0,0,0,0
"92",11,0,2,0,0
"93",3,1,3,0,0
"94",2,0,2,0,0
"95",9,2,2,0,0
"96",9,3,0,2,0
"97",11,2,0,0,0
"98",6,7,3,1,0
"99",7,8,3,0,0
"100",8,6,2,0,0
"101",1,1,0,0,0
"102",1,0,3,0,0
"103",0,0,1,0,0
"104",10,0,2,0,0
"105",1,0,0,0,0
"106",1,0,2,0,0
"107",13,2,2,0,0
"108",18,0,0,0,0
"109",0,0,2,0,0
"110",0,1,0,0,0
"111",1,0,2,0,0
"112",16,1,0,0,0
"113",11,4,0,0,0
"114",2,2,0,0,0
"115",11,5,0,0,0
"116",16,3,1,0,0
"117",0,0,3,0,0
"118",12,0,3,0,0
"119",10,2,3,0,0
"120",11,2,1,0,0
"121",5,1,1,0,0
"122",1,0,3,0,0
"123",4,0,0,0,0
"124",2,0,0,0,0
"125",0,0,1,0,0
"126",2,0,3,0,0
"127",5,1,2,0,0
"128",6,0,1,0,0
"129",4,2,0,0,0
"130",0,0,0,0,0
"131",1,0,2,0,0
"132",10,0,1,0,0
"133",14,0,0,0,0
"134",0,1,0,0,0
"135",8,2,0,0,0
"136",1,0,0,0,0
"137",0,0,0,0,0
"138",1,5,0,0,0
"139",11,0,2,0,0
"140",15,0,0,0,0
"141",0,3,0,0,0
"142",9,1,0,1,0
"143",13,0,2,0,0
"144",7,3,0,0,0
"145",2,0,0,0,0
"146",0,0,0,0,0
"147",3,0,0,0,0
"148",6,10,8,0,0
"149",17,2,2,0,0
"150",11,5,0,3,0
"151",2,0,2,0,0
"152",0,1,0,0,0
"153",5,3,3,0,0
"154",0,0,3,0,0
