"","V1","V2","V3","V4","V5"
"1",30,6,3,0,0
"2",6,0,3,0,0
"3",30,9,0,0,0
"4",6,6,3,0,0
"5",0,3,0,0,0
"6",15,6,0,0,0
"7",15,3,3,0,0
"8",33,3,3,0,0
"9",3,0,3,0,0
"10",18,15,6,0,0
"11",3,0,0,0,0
"12",0,3,0,0,0
"13",33,6,0,0,0
"14",3,0,0,0,0
"15",12,3,0,0,0
"16",3,0,3,0,0
"17",30,9,0,0,0
"18",30,6,0,0,0
"19",3,0,0,0,0
"20",3,0,3,0,0
"21",33,3,3,0,0
"22",33,0,6,0,0
"23",3,0,3,0,0
"24",30,6,3,0,0
"25",3,0,0,0,0
"26",33,0,3,3,0
"27",3,3,0,0,0
"28",27,0,0,0,0
"29",0,3,0,0,0
"30",21,6,3,0,0
"31",30,3,6,0,0
"32",33,3,3,0,0
"33",0,0,3,0,0
"34",36,3,0,0,0
"35",0,3,0,0,0
"36",0,3,0,0,0
"37",36,0,3,0,0
"38",12,0,3,0,0
"39",24,12,3,0,0
"40",33,3,3,0,0
"41",6,3,0,0,0
"42",30,3,0,0,0
"43",24,0,3,0,0
"44",3,0,3,0,0
"45",30,9,0,0,0
"46",0,0,3,0,0
"47",0,3,0,0,0
"48",12,6,6,0,0
"49",6,30,3,0,0
"50",24,9,6,0,0
"51",6,0,0,0,0
"52",36,0,3,0,0
"53",3,0,3,0,0
"54",27,12,0,0,0
"55",0,3,0,0,0
"56",15,3,3,0,0
"57",27,9,3,0,0
"58",0,3,0,0,0
"59",0,3,0,0,0
"60",0,0,3,0,0
"61",3,0,3,0,0
"62",3,0,0,0,0
"63",3,0,3,0,0
"64",6,3,0,0,0
"65",3,0,3,0,0
"66",6,0,3,0,0
"67",0,0,3,0,0
"68",0,3,0,0,0
"69",3,0,3,0,0
"70",0,3,0,0,0
"71",30,6,3,0,0
"72",3,3,0,0,0
"73",0,0,3,0,0
"74",3,0,3,0,0
"75",15,0,0,0,0
"76",30,6,3,0,0
"77",15,0,3,0,0
"78",3,0,3,3,0
"79",3,0,0,0,0
"80",3,0,0,0,0
"81",0,0,3,0,0
"82",6,3,0,0,0
"83",12,0,3,0,0
"84",12,6,3,0,0
"85",9,3,3,0,0
"86",36,0,3,0,0
"87",0,3,0,0,0
"88",3,0,0,0,0
"89",15,0,0,0,0
"90",6,3,0,0,0
"91",6,27,6,0,0
"92",9,3,0,0,0
"93",6,3,6,0,0
"94",3,0,3,0,0
"95",0,0,3,0,0
"96",24,0,3,0,0
"97",6,0,0,0,0
"98",21,3,3,0,0
"99",0,0,3,0,0
"100",12,3,3,0,0
"101",3,3,0,0,0
"102",0,3,0,0,0
"103",9,3,0,0,0
"104",21,12,6,0,0
"105",0,3,0,0,0
"106",15,24,0,0,0
"107",6,0,0,0,0
"108",36,0,0,3,0
"109",27,9,3,0,0
"110",3,0,3,0,0
"111",27,9,3,0,0
"112",6,0,0,0,0
"113",21,15,0,3,0
"114",27,3,0,0,0
"115",0,3,0,0,0
"116",3,3,0,0,0
"117",15,0,0,0,0
"118",6,3,3,0,0
"119",12,6,3,0,0
"120",27,9,3,0,0
"121",15,0,0,0,0
"122",18,3,6,0,0
"123",0,0,3,0,0
"124",18,3,3,0,0
"125",0,0,3,0,0
"126",18,18,3,0,0
"127",33,3,3,0,0
"128",3,3,0,0,0
"129",0,0,3,0,0
"130",12,12,12,3,0
"131",15,0,6,3,0
"132",15,21,3,0,0
"133",0,3,0,0,0
"134",0,0,3,0,0
"135",3,0,3,0,0
"136",3,0,0,0,0
"137",3,6,0,0,0
"138",3,21,15,0,0
"139",3,0,3,0,0
"140",3,0,3,0,0
"141",0,0,3,0,0
"142",3,27,6,3,0
"143",30,9,0,0,0
"144",6,0,3,0,0
"145",3,0,3,0,0
"146",0,3,0,0,0
"147",9,0,0,0,0
"148",0,0,3,0,0
"149",6,0,0,0,0
"150",0,0,3,0,0
"151",9,27,3,0,0
"152",24,0,3,0,0
"153",0,0,3,0,0
"154",6,0,0,0,0
"155",15,0,3,0,0
"156",6,3,0,0,0
"157",6,0,0,0,0
"158",36,3,0,0,0
"159",6,3,0,0,0
"160",15,24,0,0,0
"161",33,3,3,0,0
"162",3,3,3,0,0
"163",0,0,3,0,0
"164",0,3,0,0,0
"165",18,18,3,0,0
"166",3,0,3,0,0
"167",3,3,0,0,0
"168",27,0,0,0,0
"169",3,0,3,0,0
"170",0,3,0,0,0
"171",30,9,0,0,0
"172",3,6,3,0,0
"173",12,0,3,0,0
"174",30,6,3,0,0
"175",36,0,3,0,0
"176",39,0,0,0,0
"177",6,0,3,0,0
"178",3,0,3,0,0
"179",12,3,3,0,0
"180",3,0,0,0,0
"181",6,0,3,0,0
"182",36,0,3,0,0
"183",6,3,0,0,0
"184",12,3,3,0,0
"185",0,0,3,0,0
"186",6,0,0,0,0
"187",3,0,3,0,0
"188",15,0,3,0,0
"189",6,3,0,0,0
"190",0,3,0,0,0
"191",21,0,3,0,0
"192",36,3,0,0,0
"193",3,0,3,0,0
"194",6,0,3,0,0
"195",0,3,0,0,0
"196",0,3,0,0,0
"197",6,0,0,0,0
"198",12,12,6,6,3
"199",3,0,3,0,0
"200",6,3,0,0,0
"201",33,0,6,0,0
"202",3,0,0,0,0
"203",0,3,0,0,0
"204",12,3,3,0,0
"205",36,0,3,0,0
"206",21,18,0,0,0
"207",15,3,0,0,0
"208",18,21,0,0,0
"209",6,3,0,0,0
"210",15,0,0,0,0
"211",9,6,0,0,0
"212",0,3,0,0,0
"213",0,3,0,0,0
"214",6,3,0,0,0
"215",24,3,0,0,0
"216",6,0,3,0,0
"217",3,0,0,0,0
"218",6,0,0,0,0
"219",6,6,3,0,0
"220",6,3,0,0,0
"221",0,3,0,0,0
"222",0,3,0,0,0
"223",3,0,3,0,0
"224",33,3,0,0,0
"225",33,3,3,0,0
"226",0,0,3,0,0
"227",6,0,3,0,0
"228",0,6,3,0,0
"229",3,0,3,0,0
"230",6,9,6,0,0
"231",3,0,0,0,0
"232",3,0,3,0,0
"233",15,21,3,0,0
"234",0,3,0,0,0
"235",3,0,3,0,0
"236",6,6,3,0,0
"237",0,3,0,0,0
"238",36,0,3,0,0
"239",36,0,3,0,0
"240",0,3,0,0,0
"241",15,0,0,0,0
"242",27,9,3,0,0
"243",6,3,3,0,0
"244",6,30,3,0,0
"245",0,3,0,0,0
"246",0,0,3,0,0
"247",6,3,0,0,0
"248",0,3,0,0,0
"249",6,0,0,0,0
"250",6,0,3,0,0
"251",18,12,6,3,0
"252",24,0,0,0,0
"253",27,9,3,0,0
"254",12,24,3,0,0
"255",30,6,0,3,0
"256",0,3,0,0,0
"257",3,0,0,0,0
"258",33,3,3,0,0
"259",30,6,3,0,0
"260",3,0,0,0,0
"261",9,21,3,6,0
"262",18,3,0,0,0
"263",15,24,0,0,0
"264",30,6,3,0,0
"265",24,12,0,3,0
"266",18,3,0,0,0
"267",27,9,3,0,0
"268",3,0,3,0,0
"269",9,3,0,3,0
"270",30,9,0,0,0
"271",3,0,3,0,0
"272",33,3,0,0,0
"273",0,3,0,0,0
"274",3,0,3,0,0
"275",12,0,0,0,0
"276",21,0,0,0,0
"277",18,18,3,0,0
"278",24,12,0,3,0
"279",9,0,0,0,0
"280",27,9,0,3,0
"281",6,6,3,0,0
"282",3,33,3,0,0
"283",6,0,0,0,0
"284",0,3,0,0,0
"285",36,0,3,0,0
"286",0,0,3,0,0
"287",3,0,3,0,0
"288",39,0,0,0,0
"289",33,6,0,0,0
"290",3,0,3,0,0
"291",3,0,3,0,0
"292",3,0,3,0,0
"293",24,0,6,0,0
"294",0,3,0,0,0
"295",12,6,0,0,0
"296",15,0,3,0,0
"297",3,0,0,0,0
"298",0,3,0,0,0
"299",9,3,0,0,0
"300",18,3,0,0,0
"301",3,3,0,0,0
"302",3,33,3,0,0
"303",3,0,3,0,0
"304",21,18,0,0,0
"305",18,6,3,0,0
"306",6,0,3,3,0
"307",3,0,3,0,0
"308",6,0,3,0,0
"309",24,3,3,0,0
"310",9,0,3,0,0
"311",33,6,0,0,0
"312",33,6,0,0,0
"313",36,3,0,0,0
"314",33,3,3,0,0
"315",24,9,6,0,0
"316",24,6,0,0,0
"317",3,0,3,0,0
"318",0,3,0,0,0
"319",30,6,3,0,0
"320",12,3,0,0,0
"321",24,9,6,0,0
"322",15,6,0,3,0
"323",27,6,3,3,0
"324",0,3,0,0,0
"325",3,0,3,0,0
"326",6,3,0,0,0
"327",27,12,0,0,0
"328",3,0,3,0,0
"329",33,6,0,0,0
"330",30,6,3,0,0
"331",0,0,3,0,0
"332",0,3,0,0,0
"333",27,3,3,0,0
"334",30,9,0,0,0
"335",3,3,3,0,0
"336",6,0,3,0,0
"337",30,3,6,0,0
"338",15,0,3,0,0
"339",0,3,0,0,0
"340",6,0,0,0,0
"341",39,0,0,0,0
"342",6,3,0,0,0
"343",33,3,3,0,0
"344",6,3,0,0,0
"345",6,3,0,0,0
"346",36,0,3,0,0
"347",33,3,3,0,0
"348",3,0,3,0,0
"349",0,3,0,0,0
"350",30,6,3,0,0
"351",27,12,0,0,0
"352",0,3,0,0,0
"353",9,3,0,0,0
"354",33,3,3,0,0
"355",0,3,3,0,0
"356",24,9,6,0,0
"357",6,0,0,0,0
"358",6,3,0,0,0
"359",3,6,0,0,0
"360",0,0,3,0,0
"361",36,0,3,0,0
"362",12,0,3,0,0
"363",27,9,3,0,0
"364",0,0,3,0,0
"365",30,3,6,0,0
"366",15,6,3,0,0
"367",0,3,0,0,0
"368",12,9,3,0,0
"369",24,12,3,0,0
"370",6,3,0,0,0
"371",3,0,3,0,0
"372",12,24,3,0,0
"373",3,33,0,3,0
"374",24,12,3,0,0
"375",39,0,0,0,0
"376",15,0,0,0,0
"377",6,3,0,0,0
"378",6,0,0,0,0
"379",3,3,0,0,0
