"","V1","V2","V3","V4","V5"
"1",3,0,0,0,0
"2",12,15,0,6,6
"3",3,9,0,0,3
"4",0,3,0,0,0
"5",0,9,6,0,3
"6",12,6,0,0,0
"7",0,0,3,0,0
"8",9,27,3,0,0
"9",3,0,0,0,0
"10",0,3,3,3,0
"11",3,0,0,0,0
"12",0,0,3,0,3
"13",0,6,0,0,0
"14",3,24,12,0,0
"15",0,6,3,6,0
"16",3,0,3,0,0
"17",0,9,12,9,9
"18",3,24,6,3,3
"19",15,12,12,0,0
"20",24,6,6,3,0
"21",12,3,3,0,0
"22",6,27,3,3,0
"23",12,6,0,3,3
"24",12,15,12,0,0
"25",9,6,24,0,0
"26",3,0,3,0,0
"27",24,15,0,0,0
"28",3,6,0,0,0
"29",3,3,3,0,0
"30",9,21,3,3,3
"31",15,3,3,0,0
"32",18,18,3,0,0
"33",12,18,9,0,0
"34",3,0,3,0,0
"35",0,15,18,6,0
"36",9,3,6,0,3
"37",3,36,0,0,0
"38",3,0,3,0,0
"39",0,0,3,0,0
"40",18,21,0,0,0
"41",3,30,6,0,0
"42",24,12,3,0,0
"43",6,18,3,9,3
"44",6,9,9,3,0
"45",0,0,3,3,0
"46",9,3,0,0,0
"47",3,0,3,0,0
"48",3,0,0,0,0
"49",3,18,9,3,6
"50",3,30,6,0,0
"51",6,27,3,3,0
"52",6,27,6,0,0
"53",12,6,9,6,3
"54",0,0,3,0,0
"55",0,15,9,9,6
"56",0,3,0,0,0
"57",6,12,18,3,0
"58",9,0,0,0,0
"59",15,21,3,0,0
"60",6,6,27,0,0
"61",9,21,9,0,0
"62",3,15,18,3,0
"63",12,21,3,3,0
"64",3,12,24,0,0
"65",3,0,3,0,0
"66",3,0,0,0,0
"67",3,18,12,6,0
"68",18,12,3,6,0
"69",3,0,3,0,0
"70",3,0,6,0,3
"71",3,0,3,0,0
"72",0,0,3,3,0
"73",6,33,0,0,0
"74",6,9,6,0,0
"75",3,6,0,0,0
"76",0,3,0,6,0
"77",0,6,9,0,0
"78",6,3,9,0,0
"79",0,3,0,0,0
"80",0,0,3,0,3
"81",3,24,9,0,3
"82",0,3,0,0,0
"83",6,30,3,0,0
"84",15,21,3,0,0
"85",21,12,3,3,0
"86",0,6,0,0,0
"87",3,3,6,3,3
"88",3,9,18,6,3
"89",15,9,12,0,3
"90",6,12,18,0,3
"91",9,18,12,0,0
"92",6,3,30,0,0
"93",27,9,3,0,0
"94",15,15,9,0,0
"95",3,0,3,0,0
"96",0,0,3,0,0
"97",12,15,12,0,0
"98",24,6,0,9,0
"99",9,27,0,3,0
"100",15,9,3,0,0
"101",3,27,6,0,3
"102",6,3,3,0,0
"103",18,0,9,6,3
"104",9,0,0,3,0
"105",3,27,6,3,0
"106",6,30,3,0,0
"107",3,27,6,0,3
"108",18,12,6,0,3
"109",3,9,21,6,0
"110",0,12,24,0,3
"111",3,3,3,0,0
"112",3,12,21,0,3
"113",6,12,12,9,0
"114",3,21,12,0,3
"115",3,3,3,0,0
"116",9,0,3,0,3
"117",9,3,9,0,0
"118",3,0,0,0,0
"119",3,21,12,0,3
"120",6,15,18,0,0
"121",3,0,3,3,3
"122",12,18,6,3,0
"123",3,3,0,6,0
"124",0,3,0,0,0
"125",0,0,3,0,0
"126",24,12,0,0,3
"127",3,3,6,0,0
"128",6,0,0,0,0
"129",15,12,6,6,0
"130",0,3,0,0,0
"131",9,0,0,3,0
"132",3,21,9,6,0
"133",6,30,3,0,0
"134",15,24,0,0,0
"135",9,18,9,0,3
"136",3,0,3,0,0
"137",0,3,0,0,0
"138",3,15,12,6,3
"139",9,0,9,3,3
"140",15,15,6,0,3
"141",6,27,3,0,3
"142",0,27,6,6,0
"143",6,15,9,3,6
"144",6,0,6,0,0
"145",3,9,24,3,0
"146",6,9,3,0,0
"147",6,0,0,0,0
"148",21,6,9,0,3
"149",9,6,21,3,0
"150",3,6,18,9,3
"151",0,36,0,3,0
"152",9,21,9,0,0
"153",18,12,6,0,3
"154",0,6,0,0,0
"155",6,27,3,0,3
"156",0,15,18,3,3
"157",15,12,9,3,0
"158",3,21,15,0,0
"159",6,12,15,6,0
"160",9,3,3,0,3
"161",6,18,3,6,6
"162",6,3,0,0,0
"163",3,0,3,0,0
"164",6,18,12,3,0
"165",18,12,3,3,3
"166",9,0,0,0,3
"167",3,3,0,3,0
"168",3,3,0,0,0
"169",9,0,6,3,0
"170",18,12,9,0,0
"171",0,18,12,3,6
"172",0,0,21,15,3
"173",15,18,6,0,0
"174",9,21,6,3,0
"175",0,3,0,0,0
"176",12,9,18,0,0
"177",3,0,3,0,0
"178",12,15,3,6,3
"179",6,3,0,3,0
"180",3,0,0,0,0
"181",3,0,3,0,0
"182",21,9,3,6,0
"183",3,12,21,0,3
"184",3,3,3,0,0
"185",0,3,0,0,0
"186",0,6,9,0,3
"187",9,0,3,3,0
"188",3,0,3,0,0
"189",9,27,0,0,3
"190",0,21,15,0,3
"191",27,9,3,0,0
"192",0,0,3,0,0
"193",3,0,3,0,0
"194",27,9,3,0,0
"195",0,0,6,0,0
"196",9,3,24,0,3
"197",0,27,9,3,0
"198",15,15,9,0,0
"199",24,6,6,0,3
"200",0,3,0,0,0
"201",0,3,0,0,0
"202",3,6,24,3,3
"203",15,3,3,0,0
"204",9,24,3,3,0
"205",0,3,0,0,0
"206",21,9,6,0,3
"207",3,0,3,0,0
"208",0,12,3,0,0
"209",3,6,3,21,6
"210",0,27,3,3,6
"211",3,18,12,6,0
"212",3,33,3,0,0
"213",0,27,12,0,0
"214",0,0,3,0,0
"215",15,6,12,0,0
"216",6,12,0,0,0
"217",0,9,18,3,9
"218",24,12,0,3,0
"219",3,9,21,3,3
"220",0,6,33,0,0
"221",9,15,6,9,0
"222",6,18,15,0,0
"223",9,18,12,0,0
"224",0,0,6,0,0
"225",18,9,9,3,0
"226",9,24,3,3,0
"227",6,3,0,3,0
"228",15,15,6,3,0
"229",6,33,0,0,0
"230",0,18,18,3,0
"231",0,3,0,0,0
"232",12,18,6,0,3
"233",3,0,3,0,0
"234",3,6,15,9,6
"235",27,3,3,6,0
"236",0,3,0,0,0
"237",0,3,0,0,0
"238",6,18,9,3,3
"239",3,0,0,0,0
"240",0,24,12,3,0
"241",3,0,3,0,0
"242",3,3,0,0,0
"243",6,18,9,6,0
"244",6,24,6,3,0
"245",12,12,12,0,3
"246",3,15,18,3,0
"247",9,12,15,3,0
"248",9,15,15,0,0
"249",6,3,12,0,0
"250",0,9,15,12,3
"251",3,0,3,0,0
"252",0,30,9,0,0
"253",12,12,3,0,0
"254",9,18,6,6,0
"255",15,0,9,0,0
"256",9,6,0,6,6
"257",12,0,6,0,0
"258",21,12,3,0,3
"259",3,0,0,0,0
"260",6,3,0,0,0
"261",6,0,3,0,0
"262",0,0,3,0,0
"263",12,15,3,6,3
"264",0,6,0,0,0
"265",9,9,12,3,6
"266",6,0,3,3,0
"267",3,6,0,0,0
"268",9,21,6,3,0
"269",3,0,3,0,0
"270",9,24,3,3,0
"271",15,3,3,6,0
"272",21,9,0,3,6
"273",3,27,9,0,0
"274",3,0,3,0,0
"275",3,24,3,3,6
"276",6,0,3,3,0
"277",3,21,9,3,3
"278",6,6,12,0,0
"279",3,0,0,0,0
"280",3,6,3,0,0
"281",18,6,12,3,0
"282",18,15,6,0,0
"283",27,9,3,0,0
"284",9,18,6,3,3
"285",3,0,33,0,3
"286",6,0,6,0,0
"287",0,0,6,0,0
"288",3,0,0,0,0
"289",6,3,0,3,0
"290",3,0,3,0,0
"291",3,6,6,0,3
"292",3,0,0,0,0
"293",6,21,6,3,3
"294",3,3,0,0,0
"295",3,3,3,0,0
"296",3,0,0,0,0
"297",0,6,6,0,3
"298",9,21,9,0,0
"299",9,15,15,0,0
"300",6,12,12,9,0
"301",3,6,21,6,0
"302",0,0,6,3,0
"303",3,0,3,0,0
"304",6,0,3,0,0
"305",6,0,3,0,3
"306",0,3,0,0,0
"307",3,9,24,3,0
"308",9,9,0,3,0
"309",3,3,0,3,0
"310",3,6,6,0,0
"311",15,24,0,0,0
"312",6,27,3,3,0
"313",3,9,12,6,9
"314",0,3,3,0,0
"315",21,3,15,0,0
"316",24,12,0,0,3
"317",0,36,0,3,0
"318",9,9,12,9,0
"319",15,12,6,3,0
"320",3,3,21,6,6
"321",9,3,6,0,0
"322",9,12,3,3,3
"323",3,12,18,0,6
"324",0,3,33,3,0
"325",0,6,27,3,3
"326",0,3,0,0,0
"327",9,3,6,3,0
"328",3,0,3,0,0
"329",9,27,3,0,0
"330",0,27,9,3,0
"331",3,0,3,0,0
"332",6,15,12,6,0
"333",6,18,12,3,0
"334",9,6,9,0,0
"335",3,0,6,0,0
"336",9,6,0,3,0
"337",6,6,6,0,0
"338",6,30,0,0,3
"339",3,0,3,0,0
"340",12,15,9,3,0
"341",6,27,6,0,0
"342",3,0,3,0,0
"343",3,21,12,0,3
"344",9,12,18,0,0
"345",6,3,0,3,0
"346",6,18,9,6,0
"347",6,0,3,0,0
"348",3,0,0,0,0
"349",3,9,24,0,3
"350",0,6,27,3,3
"351",0,6,24,9,0
"352",15,0,6,0,0
"353",24,12,0,0,3
"354",3,3,6,0,0
"355",6,3,0,0,0
"356",18,15,3,3,0
"357",3,36,0,0,0
"358",3,0,0,0,0
"359",9,15,9,3,3
"360",6,9,18,3,3
"361",6,24,9,0,0
"362",0,15,24,0,0
"363",9,24,0,6,0
"364",3,27,9,0,0
"365",15,18,3,0,3
"366",3,15,12,9,0
"367",0,3,0,0,0
"368",0,24,9,0,6
"369",6,18,15,0,0
"370",3,3,30,0,3
"371",3,3,6,3,0
"372",9,21,9,0,0
"373",12,9,18,0,0
"374",3,0,6,0,0
"375",6,18,6,6,3
"376",15,18,6,0,0
"377",0,9,0,0,0
"378",21,0,3,0,3
"379",6,30,0,3,0
"380",9,12,12,3,3
"381",3,0,3,0,0
"382",18,3,0,0,0
"383",3,3,3,0,0
"384",3,0,3,0,0
"385",3,36,0,0,0
"386",0,0,3,3,0
"387",3,0,3,0,0
"388",18,18,0,3,0
"389",9,15,9,6,0
"390",0,9,3,0,0
"391",6,27,3,0,3
"392",9,9,0,3,3
"393",0,9,24,6,0
"394",3,0,0,0,0
"395",3,0,3,0,0
"396",3,12,21,3,0
"397",6,15,15,3,0
"398",0,3,0,0,0
"399",9,0,3,0,3
"400",24,9,0,0,3
"401",3,3,3,0,0
"402",6,12,18,3,0
"403",0,15,9,9,6
"404",12,21,3,0,0
"405",9,0,0,3,0
"406",12,21,6,0,0
"407",15,18,0,3,0
"408",0,6,30,0,3
"409",3,33,3,0,0
"410",0,3,0,0,0
"411",27,12,0,0,0
"412",9,6,3,0,3
"413",3,24,6,3,3
"414",12,21,3,0,3
"415",9,21,6,3,0
"416",6,15,0,0,0
"417",6,3,0,3,0
"418",9,27,3,0,0
"419",6,12,12,3,6
"420",18,18,0,3,0
"421",0,0,3,3,0
"422",12,0,0,0,3
"423",0,30,3,6,0
"424",12,15,9,3,0
"425",12,9,9,9,0
"426",9,9,18,3,0
"427",6,18,12,3,0
"428",3,33,0,0,3
"429",3,0,3,0,0
"430",3,30,3,3,0
"431",9,12,15,3,0
"432",0,3,30,3,3
"433",15,18,6,0,0
"434",24,6,6,0,3
"435",12,18,3,0,0
"436",9,27,3,0,0
"437",3,18,9,6,3
"438",6,12,9,12,0
"439",9,3,21,3,3
"440",0,30,6,0,3
"441",6,6,0,0,0
"442",15,18,6,0,0
"443",3,0,0,0,0
"444",3,27,9,0,0
"445",0,0,3,0,0
"446",3,0,3,0,0
"447",3,0,3,0,0
"448",3,0,3,0,0
"449",0,6,0,0,0
"450",3,18,12,6,0
"451",9,15,12,3,0
"452",6,6,6,0,0
"453",9,9,18,3,0
"454",15,18,0,6,0
"455",9,0,0,0,0
"456",3,15,9,3,9
"457",0,3,0,0,0
"458",9,21,9,0,0
"459",3,0,33,0,3
"460",9,30,0,0,0
"461",0,24,12,3,0
"462",9,3,0,0,0
"463",9,9,9,6,0
"464",6,27,3,0,3
"465",12,6,6,0,3
"466",3,12,21,3,0
"467",0,3,0,0,0
"468",9,3,6,18,3
"469",3,21,15,0,0
"470",3,0,3,0,0
"471",9,24,3,3,0
"472",12,15,9,3,0
"473",0,3,0,0,0
"474",3,21,9,3,3
"475",0,21,12,3,3
"476",12,15,9,3,0
"477",0,0,3,0,0
"478",6,3,3,0,0
"479",3,0,0,0,0
"480",0,33,3,0,3
"481",9,21,6,3,0
"482",3,0,3,0,0
"483",3,0,3,0,0
"484",0,15,18,3,3
"485",12,9,15,3,0
"486",24,12,0,0,3
"487",3,3,0,0,0
"488",3,0,0,0,0
"489",0,6,0,0,0
"490",3,36,0,0,0
"491",3,9,0,3,0
"492",0,0,3,0,3
"493",3,12,9,6,9
"494",12,6,18,3,0
"495",6,15,9,3,6
"496",6,3,3,0,0
"497",9,6,21,3,0
"498",9,3,21,3,3
"499",12,15,9,0,0
"500",3,0,0,0,0
"501",0,0,3,0,0
"502",0,36,0,3,0
"503",3,0,0,0,0
"504",0,3,0,0,0
"505",18,12,6,3,0
"506",0,9,0,0,0
"507",21,9,6,0,3
"508",3,27,6,0,3
"509",0,21,9,9,0
"510",3,0,3,0,0
"511",0,0,3,3,0
"512",21,12,3,0,3
"513",0,0,3,0,3
"514",0,3,0,0,0
"515",0,9,27,3,0
"516",6,0,6,0,0
"517",3,3,6,6,6
"518",15,6,0,0,0
"519",3,3,30,3,0
"520",0,9,24,3,3
"521",3,0,0,0,0
"522",0,33,3,0,3
"523",15,9,15,0,0
"524",0,27,12,0,0
"525",3,33,3,0,0
"526",3,3,0,6,0
"527",0,0,6,0,0
"528",0,3,0,0,0
"529",6,30,3,0,0
"530",12,18,6,0,3
"531",3,0,3,0,0
"532",15,18,3,0,3
"533",15,9,9,3,3
"534",3,0,3,0,0
"535",3,27,9,0,0
"536",12,27,0,0,0
"537",0,6,0,0,0
"538",6,3,0,3,0
"539",9,12,9,0,3
"540",3,30,6,0,0
"541",6,18,12,0,3
"542",12,18,6,3,0
"543",0,15,21,0,3
"544",33,6,0,0,0
"545",3,0,0,0,0
"546",0,3,0,0,0
"547",3,0,0,0,0
"548",3,0,0,0,0
"549",6,15,15,3,0
"550",9,3,3,6,0
"551",9,3,0,3,0
"552",6,12,12,6,3
"553",3,24,9,0,3
"554",0,0,3,0,0
"555",15,12,9,3,0
"556",21,6,0,3,0
"557",9,3,12,0,0
"558",9,0,9,0,0
"559",6,6,0,3,0
"560",24,9,3,0,3
"561",21,6,6,0,0
"562",3,0,6,3,0
"563",6,3,15,9,6
"564",3,0,0,0,0
"565",0,0,3,0,0
"566",6,0,6,6,0
"567",6,15,12,6,0
"568",3,0,3,0,0
"569",0,12,24,3,0
"570",9,6,0,0,0
"571",3,0,0,0,0
"572",12,24,0,0,3
"573",6,9,6,0,3
"574",3,18,15,3,0
"575",6,27,3,0,3
"576",9,3,3,0,3
"577",9,9,9,0,0
"578",18,21,0,0,0
"579",6,0,0,3,3
"580",3,3,0,3,0
"581",9,21,9,0,0
"582",3,0,3,0,0
"583",0,15,18,6,0
"584",12,3,3,0,3
"585",12,12,6,0,0
"586",0,0,6,0,3
"587",3,0,3,0,0
"588",9,12,6,0,0
"589",6,0,6,0,0
"590",3,3,3,0,0
"591",9,30,0,0,0
"592",9,24,6,0,0
"593",6,6,3,3,0
"594",3,3,0,0,0
"595",21,18,0,0,0
"596",12,15,3,3,3
"597",6,21,9,3,0
"598",6,15,15,0,3
"599",3,12,21,3,0
"600",0,3,0,6,0
"601",6,18,12,3,0
"602",0,0,3,3,0
"603",6,3,27,3,0
"604",15,9,12,3,0
"605",9,24,3,0,3
"606",3,0,3,0,0
"607",24,15,0,0,0
"608",9,18,9,0,3
"609",18,0,3,0,0
"610",9,6,3,3,0
"611",3,0,3,0,6
"612",0,3,0,0,0
"613",18,15,3,0,3
"614",3,0,0,0,0
"615",3,30,0,6,0
"616",3,21,15,0,0
"617",12,12,12,0,3
"618",0,0,3,0,3
"619",12,24,3,0,0
"620",9,6,6,3,3
"621",3,0,0,0,0
"622",3,36,0,0,0
"623",0,3,0,3,0
"624",9,6,12,12,0
"625",6,18,9,3,3
"626",3,6,0,0,0
"627",18,18,3,0,0
"628",18,3,3,15,0
"629",9,9,12,6,3
"630",18,9,6,3,3
"631",12,9,15,0,3
