"","V1","V2","V3","V4","V5"
"1",0,2,0,0,0
"2",0,3,6,0,2
"3",0,7,1,1,0
"4",2,5,0,0,0
"5",0,8,0,0,0
"6",2,0,0,0,0
"7",3,6,2,0,0
"8",0,4,4,0,0
"9",1,6,2,2,0
"10",2,0,2,0,0
"11",4,3,0,0,0
"12",2,1,0,0,0
"13",0,6,4,0,0
"14",0,3,2,6,0
"15",4,4,3,0,0
"16",0,10,0,0,0
"17",2,2,4,1,0
"18",4,0,3,0,0
"19",0,3,7,0,1
"20",2,0,2,0,0
"21",5,1,0,0,0
"22",4,3,0,2,0
"23",0,2,0,0,0
"24",7,3,0,0,0
"25",5,1,0,0,0
"26",0,4,3,0,0
"27",3,0,2,0,0
"28",5,0,0,0,0
"29",8,2,0,0,0
"30",1,0,2,0,0
"31",3,2,0,0,0
"32",0,2,8,0,0
"33",3,6,1,0,0
"34",0,7,0,2,0
"35",0,0,5,0,0
"36",1,0,2,0,0
"37",0,7,0,3,2
"38",0,4,0,1,1
"39",0,7,2,0,0
"40",0,2,7,2,0
"41",1,0,3,0,0
"42",3,7,0,0,0
"43",2,1,4,0,0
"44",6,0,4,0,0
"45",1,0,3,0,2
"46",3,4,4,0,0
"47",5,4,3,0,1
"48",3,0,3,0,0
"49",1,0,2,0,0
"50",0,7,0,2,0
"51",6,2,0,0,0
"52",0,2,0,0,0
"53",0,7,2,0,2
"54",1,0,2,0,0
"55",7,3,0,0,0
"56",2,0,2,0,0
"57",0,0,3,0,0
"58",0,4,4,1,4
"59",0,8,0,0,2
"60",0,3,0,0,0
"61",0,5,4,0,0
"62",0,0,5,0,0
"63",8,2,1,0,0
"64",3,5,1,0,0
"65",2,6,0,0,0
"66",0,2,4,0,0
"67",0,5,7,0,0
"68",0,5,0,0,0
"69",4,2,0,0,0
"70",0,1,8,0,0
"71",3,1,0,0,0
"72",3,3,2,0,0
"73",1,6,0,0,0
"74",2,7,3,0,0
"75",1,5,2,0,0
"76",0,3,4,2,0
"77",0,6,1,2,2
"78",6,1,1,0,0
"79",0,2,7,0,0
"80",1,2,2,0,0
"81",0,0,5,4,2
"82",5,2,2,0,0
"83",0,3,5,0,2
"84",3,5,0,0,0
"85",4,5,2,0,2
"86",0,4,0,2,0
"87",0,1,6,0,1
"88",1,1,3,0,0
"89",1,5,2,2,0
"90",0,5,5,0,1
"91",1,5,0,0,2
"92",0,6,1,3,0
"93",0,0,3,0,0
"94",1,2,2,0,0
"95",1,5,2,0,0
"96",0,6,2,0,0
"97",0,6,1,0,0
"98",2,0,2,0,0
"99",1,0,2,0,0
"100",2,5,1,3,2
"101",3,5,3,0,0
"102",0,3,7,0,0
"103",3,2,0,0,2
"104",8,0,0,0,3
"105",1,7,2,0,2
"106",4,0,0,0,0
"107",5,4,2,0,0
"108",4,4,0,3,0
"109",5,2,3,0,0
"110",2,7,3,0,0
"111",5,2,2,0,0
"112",2,0,0,0,0
"113",1,0,2,0,0
"114",0,5,4,0,0
"115",6,3,0,3,0
"116",0,0,8,2,0
"117",2,2,2,0,5
"118",1,0,2,0,0
"119",3,6,2,0,0
"120",3,2,3,0,0
"121",2,4,1,0,0
"122",0,0,4,0,0
"123",4,3,1,0,0
"124",1,4,2,0,3
"125",2,0,0,0,0
"126",3,4,5,0,0
"127",2,5,0,0,0
"128",0,0,7,0,0
"129",0,4,1,3,0
"130",4,4,2,2,0
"131",3,0,0,0,0
"132",4,2,0,3,2
"133",0,2,8,0,0
"134",1,4,2,0,0
"135",1,0,2,0,0
"136",2,8,1,0,0
"137",1,0,2,0,0
"138",0,7,2,0,0
"139",2,0,2,0,0
"140",3,5,2,0,0
"141",7,2,0,0,0
"142",6,2,2,0,0
"143",5,0,2,0,0
"144",1,7,3,0,0
"145",0,0,4,0,0
"146",3,7,0,0,0
"147",0,0,3,0,0
"148",0,3,5,1,0
"149",3,0,0,0,0
"150",2,5,5,0,0
"151",0,0,4,0,0
"152",0,5,3,2,0
"153",0,7,3,0,0
"154",0,2,2,3,2
"155",3,0,0,0,0
"156",5,2,4,3,0
"157",4,1,0,0,0
"158",3,1,0,0,0
"159",1,6,0,0,0
"160",1,2,1,0,0
"161",0,0,3,0,0
"162",0,4,0,0,0
"163",1,4,0,0,0
"164",0,9,0,0,1
"165",0,2,0,0,0
"166",3,0,2,0,0
"167",3,4,2,0,3
"168",3,0,0,0,0
"169",0,3,6,0,0
"170",1,3,0,6,0
"171",6,3,2,2,0
"172",3,1,0,0,0
"173",1,5,2,3,0
"174",0,2,7,0,0
"175",3,0,0,0,0
"176",0,4,4,0,0
"177",0,2,5,0,0
"178",0,2,0,0,0
"179",5,0,0,0,0
"180",1,5,1,0,0
"181",2,0,0,0,0
"182",5,5,0,2,0
"183",1,3,3,0,0
"184",3,8,0,0,0
"185",0,4,0,0,0
"186",8,3,0,0,0
"187",0,3,7,0,0
"188",0,2,4,6,1
"189",5,5,1,0,0
"190",5,3,0,0,0
"191",2,0,0,0,3
"192",2,3,6,0,0
"193",8,1,1,0,0
"194",6,3,3,0,0
"195",0,5,6,0,0
"196",1,0,2,0,0
"197",5,2,0,0,0
"198",5,5,0,0,0
"199",0,4,0,0,0
"200",0,2,0,0,0
"201",0,0,7,1,0
"202",1,0,2,0,0
"203",1,5,3,0,0
"204",2,2,1,0,0
"205",3,0,0,0,0
"206",2,0,2,0,0
"207",2,7,0,0,0
"208",5,0,3,0,0
"209",7,2,2,0,0
"210",4,2,0,0,0
"211",3,5,3,0,0
"212",0,4,3,2,3
"213",5,4,0,0,0
"214",0,2,0,0,0
"215",5,0,0,3,0
"216",4,2,1,0,0
"217",1,0,2,0,0
"218",2,4,6,1,0
"219",3,6,2,2,0
"220",0,5,4,2,0
"221",4,4,2,0,0
"222",0,5,4,0,0
"223",0,3,0,0,0
"224",0,7,3,2,0
"225",4,5,4,0,1
"226",1,0,2,0,0
"227",0,4,4,4,1
"228",4,5,0,0,0
"229",5,4,2,0,0
"230",0,3,4,3,0
"231",2,2,3,0,0
"232",0,2,7,3,1
"233",2,3,0,0,0
"234",1,0,2,0,0
"235",2,0,2,0,0
"236",2,4,3,3,0
"237",0,2,0,0,0
"238",8,1,0,0,0
"239",9,1,0,0,0
"240",0,7,4,0,0
"241",1,0,2,0,0
"242",2,6,0,0,3
"243",2,5,3,0,0
"244",1,5,3,0,0
"245",0,3,1,1,0
"246",0,5,5,2,0
"247",3,5,3,1,0
"248",0,5,5,3,0
"249",0,5,4,0,0
"250",2,1,3,0,0
"251",0,5,4,0,0
"252",1,0,7,0,0
"253",3,0,0,0,0
"254",4,3,2,0,0
"255",5,2,1,0,0
"256",0,7,3,0,0
"257",6,2,0,0,0
"258",0,4,1,2,3
"259",1,0,6,0,3
"260",0,9,1,0,0
