"","V1","V2","V3","V4","V5"
"1",0,2,0,0,0
"2",0,9,14,0,0
"3",24,0,3,0,0
"4",15,0,2,0,0
"5",0,2,12,7,3
"6",3,15,0,0,0
"7",0,0,21,2,1
"8",13,0,5,0,0
"9",16,0,0,0,0
"10",0,0,22,0,0
"11",0,2,20,0,0
"12",18,4,1,0,0
"13",0,4,15,0,1
"14",0,17,7,0,0
"15",0,8,13,2,0
"16",0,5,17,0,0
"17",2,21,0,0,0
"18",19,4,3,0,0
"19",2,16,2,0,0
"20",16,1,1,0,0
"21",5,22,0,0,0
"22",0,26,3,2,0
"23",1,10,11,0,0
"24",0,18,1,1,2
"25",12,4,2,0,0
"26",1,22,4,2,0
"27",1,0,25,0,0
"28",2,24,1,0,0
"29",4,19,0,0,0
"30",7,14,3,0,0
"31",0,24,3,0,0
"32",0,0,1,0,0
"33",0,0,24,0,2
"34",10,10,4,0,0
"35",0,0,16,6,0
"36",3,25,0,0,0
"37",1,19,0,0,0
"38",2,22,0,0,0
"39",17,3,3,0,1
"40",0,0,24,2,3
"41",0,21,2,2,2
"42",0,0,23,2,3
"43",19,4,3,0,0
"44",1,22,0,2,3
"45",17,0,3,0,0
"46",6,11,3,2,0
"47",2,18,4,0,0
"48",9,12,0,0,0
"49",2,0,2,0,0
"50",0,19,5,3,0
"51",0,19,1,3,0
"52",15,3,2,0,0
"53",0,17,4,0,0
"54",0,7,18,0,3
"55",0,2,0,0,0
"56",1,20,2,0,0
"57",0,26,0,0,0
"58",0,22,5,0,0
"59",0,23,3,1,2
"60",18,2,3,0,0
"61",1,20,2,0,0
"62",11,3,1,0,0
"63",0,5,16,2,3
"64",0,0,23,0,0
"65",0,0,22,0,2
"66",1,20,2,0,0
"67",14,1,1,0,0
"68",0,22,2,0,3
"69",0,0,27,0,0
"70",1,21,3,2,0
"71",0,24,3,0,3
"72",2,16,4,2,0
"73",20,0,3,0,0
"74",2,0,0,0,0
"75",6,11,6,0,0
"76",0,17,0,5,0
"77",0,18,4,2,1
"78",10,10,2,0,0
"79",0,21,3,2,0
"80",0,20,3,0,0
"81",4,17,0,0,0
"82",0,19,3,0,0
"83",2,24,0,0,0
"84",4,20,0,0,0
"85",7,2,0,0,0
"86",18,0,2,0,0
"87",0,24,4,0,0
"88",0,21,4,0,0
"89",0,19,3,0,0
"90",5,15,2,0,0
"91",0,20,3,0,0
"92",8,14,2,0,0
"93",16,4,3,0,0
"94",3,21,1,0,0
"95",1,0,0,0,0
"96",21,4,2,0,0
"97",14,1,2,0,0
"98",17,0,4,0,0
"99",0,0,14,3,4
"100",0,11,11,0,0
"101",16,0,2,0,0
"102",0,0,2,0,0
"103",1,20,2,0,0
"104",5,3,2,0,0
"105",18,2,0,0,0
"106",0,0,21,0,4
"107",16,2,1,1,0
"108",1,23,0,0,0
"109",15,4,0,0,0
"110",0,3,15,0,3
"111",0,19,5,1,0
"112",1,17,3,0,2
"113",0,0,20,4,0
"114",19,4,2,0,0
"115",13,3,2,0,0
"116",22,2,2,0,0
"117",3,18,0,0,0
"118",3,14,0,0,0
"119",0,8,15,0,0
"120",20,1,0,0,0
"121",0,23,0,0,0
"122",0,2,0,0,0
"123",12,6,0,0,0
"124",2,22,1,0,0
"125",15,2,2,1,3
"126",0,20,6,3,0
"127",0,17,4,3,0
"128",3,19,4,0,0
"129",1,20,1,0,0
"130",1,20,0,0,0
"131",0,5,16,0,0
"132",3,0,2,0,0
"133",0,2,0,0,0
"134",1,20,0,0,0
"135",16,0,4,0,0
"136",0,19,5,0,0
"137",0,19,6,0,0
"138",0,29,0,0,0
"139",4,9,10,0,0
"140",16,3,5,0,0
"141",0,0,20,0,1
"142",1,24,2,0,0
"143",0,23,3,0,0
"144",2,0,18,0,0
"145",3,0,3,0,0
"146",11,11,0,0,0
"147",3,0,3,0,0
"148",0,18,6,0,0
"149",0,30,3,0,0
"150",6,10,3,0,0
"151",1,12,5,2,0
"152",0,18,4,3,0
"153",16,1,3,0,0
"154",5,2,0,0,0
"155",17,1,2,0,0
"156",0,0,17,4,0
"157",11,6,3,0,1
"158",0,1,25,0,0
"159",24,0,2,0,0
"160",12,7,1,0,0
"161",0,18,4,0,2
"162",19,0,4,0,0
"163",16,3,2,0,0
"164",0,14,10,0,0
"165",13,3,4,0,0
"166",0,23,0,0,1
"167",17,0,2,2,2
"168",0,15,4,0,0
"169",10,10,5,0,0
"170",0,21,2,0,0
"171",0,13,7,0,0
"172",0,0,18,1,2
"173",1,17,4,0,0
"174",0,0,27,2,0
"175",0,0,24,2,3
"176",9,10,1,0,0
"177",3,19,5,0,0
"178",0,1,19,2,2
"179",1,18,3,0,0
"180",1,24,3,0,0
"181",0,18,3,0,2
"182",2,13,0,0,0
"183",1,7,0,0,0
"184",18,6,2,0,0
"185",0,2,19,2,0
"186",3,14,2,0,0
"187",0,27,0,3,2
"188",1,15,7,2,2
"189",0,0,25,0,0
"190",3,18,1,0,0
"191",0,25,0,0,3
"192",15,6,0,0,0
"193",11,7,5,0,0
"194",14,5,3,0,0
"195",25,0,3,0,0
"196",3,13,3,1,0
"197",0,0,16,5,0
"198",0,2,0,0,0
"199",0,11,12,0,0
"200",0,23,3,0,4
"201",2,13,3,0,0
"202",0,0,19,4,3
"203",0,7,12,0,0
"204",0,23,3,0,3
"205",3,23,3,0,0
"206",23,5,0,0,0
"207",11,6,1,0,0
"208",0,0,12,13,1
"209",18,3,1,0,0
"210",22,4,0,0,0
"211",0,0,21,0,0
"212",0,16,4,0,2
"213",14,0,3,1,0
"214",2,2,2,0,2
"215",0,17,3,0,0
"216",0,0,25,3,3
"217",0,22,4,2,0
"218",5,5,0,0,0
"219",0,23,3,0,0
"220",0,0,24,5,0
"221",0,16,3,3,0
"222",18,2,0,0,0
"223",3,21,6,0,0
"224",0,20,7,0,0
"225",0,23,3,0,0
"226",0,20,4,0,2
"227",0,0,25,4,0
"228",2,18,4,2,0
"229",5,14,2,0,0
"230",4,2,0,0,0
"231",21,0,0,0,0
"232",1,21,3,0,0
"233",17,7,0,0,0
"234",1,21,0,0,0
"235",3,22,2,0,0
"236",1,2,20,0,0
"237",0,0,6,0,0
"238",2,15,2,0,0
"239",0,24,2,0,0
"240",0,16,4,0,0
"241",0,0,16,2,1
"242",5,0,0,0,0
"243",3,0,1,0,0
"244",0,18,4,0,0
"245",15,4,2,0,0
"246",0,6,13,0,0
"247",1,19,0,0,0
"248",0,2,0,0,0
"249",1,1,18,0,2
"250",0,0,17,4,0
"251",0,15,2,0,2
"252",0,21,4,0,0
"253",0,23,2,0,2
"254",0,22,0,3,0
"255",0,0,11,10,3
"256",0,17,2,2,0
"257",2,19,2,0,0
"258",4,17,2,0,0
"259",3,13,0,0,3
"260",6,8,0,0,0
"261",9,6,2,0,0
"262",0,21,3,0,0
"263",0,0,27,3,0
"264",8,11,5,0,0
"265",0,19,0,0,1
"266",2,0,0,0,0
"267",19,2,2,0,0
"268",4,16,3,0,0
"269",11,4,0,2,0
"270",0,7,8,3,3
"271",0,20,4,0,1
"272",10,4,3,0,0
"273",3,18,6,0,0
"274",0,25,3,0,0
"275",0,19,5,0,0
"276",0,21,3,0,0
"277",1,4,15,0,0
"278",2,18,1,0,2
"279",0,8,17,0,0
"280",0,25,2,0,0
"281",0,2,0,0,0
"282",4,19,1,0,0
"283",0,3,0,0,0
"284",0,0,24,0,0
"285",0,3,0,0,0
"286",0,18,1,1,2
"287",5,18,2,3,0
"288",2,19,1,0,0
"289",0,26,2,0,0
"290",0,22,1,0,0
"291",2,2,0,0,0
"292",0,2,5,15,0
"293",0,0,10,14,4
"294",1,17,4,2,2
"295",10,1,3,0,0
"296",1,7,17,1,0
"297",0,10,10,0,2
"298",0,19,0,1,0
"299",0,11,10,0,0
"300",1,18,4,0,0
"301",1,13,2,0,0
"302",12,5,2,0,0
"303",3,17,5,0,2
"304",1,16,2,0,0
"305",0,15,3,0,0
"306",3,16,3,0,0
"307",8,12,2,0,0
"308",1,22,0,0,0
"309",0,3,0,0,0
"310",0,2,18,3,2
"311",6,12,0,0,0
"312",19,2,2,0,0
"313",5,3,0,0,0
"314",17,4,2,0,0
"315",2,18,2,0,2
"316",3,23,2,0,0
"317",4,18,0,0,0
"318",8,8,7,0,0
"319",0,2,0,0,0
"320",3,15,2,0,3
"321",1,2,0,0,0
"322",16,5,3,0,0
"323",4,15,2,0,0
"324",0,21,1,0,0
"325",0,3,12,1,0
"326",0,27,0,2,0
"327",0,0,23,2,0
"328",18,4,0,0,0
"329",0,15,0,0,0
"330",0,12,8,5,0
"331",23,0,8,0,0
"332",0,13,4,0,0
"333",21,0,2,0,0
"334",21,6,0,0,0
"335",14,4,0,0,0
"336",2,17,3,0,0
"337",1,23,0,0,0
"338",0,23,1,0,2
"339",15,2,3,0,0
"340",0,1,28,0,0
"341",1,9,0,0,0
"342",0,1,20,0,0
"343",6,15,1,0,0
"344",0,1,14,8,0
"345",3,0,2,0,0
"346",0,1,18,0,0
"347",4,20,0,0,0
"348",6,17,3,0,0
"349",3,22,0,0,0
"350",0,20,5,0,0
"351",3,16,0,0,0
"352",0,19,4,2,0
"353",13,2,1,0,2
"354",19,2,2,0,0
"355",16,2,1,0,0
"356",3,9,7,1,3
"357",0,0,0,0,0
"358",18,3,1,0,0
"359",13,5,0,0,0
"360",16,3,0,0,0
"361",0,24,1,0,0
"362",0,23,2,0,0
"363",0,1,0,0,0
"364",9,6,0,0,0
"365",1,22,2,0,0
"366",19,6,0,0,0
"367",12,2,4,0,0
"368",21,0,2,0,0
"369",11,8,3,0,0
"370",0,1,0,0,0
"371",0,0,20,3,1
"372",0,19,3,0,2
"373",0,0,9,8,3
"374",0,3,0,0,0
"375",1,20,0,0,3
"376",19,0,2,0,0
"377",0,2,2,0,0
"378",22,0,5,0,0
"379",22,4,0,0,0
"380",0,23,3,0,0
"381",16,2,0,2,0
"382",0,21,3,0,0
"383",7,2,0,3,0
"384",12,8,4,0,0
"385",7,9,5,0,0
"386",0,21,3,0,0
"387",0,19,0,0,2
"388",0,11,7,3,0
"389",0,0,9,4,2
"390",0,23,0,0,0
"391",19,1,2,0,0
"392",0,23,0,0,0
"393",17,2,4,0,0
"394",1,13,4,0,0
"395",0,22,7,0,0
"396",3,21,0,0,0
"397",0,17,6,0,0
"398",17,1,0,0,0
"399",0,1,13,7,0
"400",0,1,16,6,0
"401",0,22,0,2,3
"402",1,23,0,0,0
"403",2,20,2,0,0
"404",0,11,7,3,4
"405",15,0,3,0,0
"406",19,0,1,0,0
"407",17,3,1,0,0
"408",1,4,0,0,0
"409",0,20,3,0,0
"410",0,21,3,0,0
"411",1,24,0,0,0
"412",0,6,17,0,0
"413",2,20,0,3,0
"414",0,2,16,2,0
"415",14,2,0,0,0
"416",0,25,6,0,0
"417",0,0,0,0,0
"418",14,4,0,0,0
"419",0,14,9,0,0
"420",0,15,5,1,0
"421",21,2,3,0,0
"422",0,18,3,4,0
"423",3,2,0,0,0
"424",0,21,0,0,1
"425",0,0,14,7,1
"426",1,18,1,2,0
"427",0,21,4,0,0
"428",0,19,3,3,0
"429",5,17,0,0,0
"430",1,16,1,2,0
"431",0,1,23,0,0
"432",24,0,2,0,0
"433",0,20,3,0,0
"434",0,13,7,2,0
"435",1,24,0,0,0
"436",11,8,3,0,0
"437",0,10,8,2,0
"438",12,9,0,0,0
"439",0,3,0,0,0
"440",0,3,15,0,1
"441",3,20,1,0,0
"442",0,0,19,8,0
"443",0,0,2,0,0
"444",17,4,2,0,0
"445",0,2,13,2,3
"446",7,10,5,0,0
"447",0,3,0,0,0
"448",17,5,0,0,0
"449",0,21,1,2,0
"450",0,24,4,0,0
"451",1,19,3,0,0
"452",19,4,3,0,0
"453",1,22,0,0,0
"454",0,20,4,0,0
"455",0,23,5,0,2
"456",3,14,2,0,0
"457",5,9,2,1,0
"458",0,21,5,0,0
"459",15,0,5,0,3
"460",8,14,2,1,0
"461",2,21,0,0,0
"462",0,2,18,6,1
"463",0,2,21,1,0
"464",0,2,0,0,0
"465",0,1,0,0,0
"466",19,0,0,0,0
"467",20,0,5,0,0
"468",0,22,0,3,3
"469",4,14,3,2,0
"470",4,0,0,0,0
"471",20,4,2,0,0
"472",1,1,3,2,0
"473",0,19,2,0,0
"474",0,16,0,2,0
"475",1,20,3,0,0
"476",0,6,18,0,0
"477",0,0,12,3,3
"478",19,0,2,0,0
"479",0,2,0,0,0
"480",2,17,0,0,0
"481",7,7,7,0,0
"482",6,16,0,0,0
"483",5,15,1,0,0
"484",0,13,11,1,0
"485",3,22,0,0,0
"486",0,1,23,0,0
"487",0,0,10,18,0
"488",1,0,0,0,0
"489",0,17,4,2,0
"490",1,19,6,0,0
