"","V1","V2","V3","V4","V5"
"1",0,0,0,10,7
"2",2,4,4,0,0
"3",3,11,4,2,0
"4",0,4,3,2,0
"5",1,2,11,0,0
"6",0,1,9,3,0
"7",0,4,3,10,0
"8",0,4,6,0,0
"9",0,6,7,0,0
"10",1,2,9,7,0
"11",0,7,2,0,0
"12",2,0,0,9,4
"13",0,4,9,0,0
"14",0,0,11,9,0
"15",0,0,3,6,0
"16",1,0,14,0,0
"17",2,0,8,7,0
"18",0,0,12,3,0
"19",1,8,1,0,0
"20",0,1,7,9,0
"21",2,0,6,5,0
"22",0,5,0,0,0
"23",1,2,10,1,0
"24",0,0,12,4,0
"25",1,0,11,7,0
"26",1,5,1,0,0
"27",0,1,5,2,0
"28",2,1,4,7,0
"29",0,6,3,0,0
"30",0,6,4,0,0
"31",2,1,6,7,0
"32",0,6,1,0,0
"33",0,2,3,4,5
"34",0,5,10,3,0
"35",0,4,4,10,0
"36",1,5,6,0,0
"37",1,2,5,6,3
"38",0,4,13,0,0
"39",1,1,10,0,0
"40",0,2,8,4,0
"41",1,0,0,9,11
"42",1,3,8,2,0
"43",0,0,12,2,0
"44",0,1,2,9,5
"45",0,3,6,4,0
"46",0,2,5,14,0
"47",3,4,3,0,0
"48",1,3,4,1,2
"49",0,5,2,0,0
"50",1,6,4,0,0
"51",0,1,8,5,0
"52",0,1,2,11,2
"53",0,7,2,0,0
"54",1,2,5,0,0
"55",1,0,1,12,1
"56",1,0,3,5,0
"57",1,0,3,4,2
"58",0,2,4,9,0
"59",1,2,10,0,0
"60",2,2,2,10,0
"61",1,7,2,0,0
"62",3,4,4,0,0
"63",0,0,9,7,0
"64",0,3,0,10,2
"65",0,1,2,9,2
"66",0,0,8,4,0
"67",0,2,4,8,0
"68",0,0,5,7,0
"69",3,2,1,9,0
"70",1,0,3,12,0
"71",0,2,6,3,0
"72",0,1,8,1,2
"73",1,2,10,0,0
"74",0,0,16,4,0
"75",0,6,6,0,0
"76",1,3,5,0,0
"77",1,0,11,0,0
"78",0,1,7,3,0
"79",1,8,2,0,0
"80",0,3,11,0,0
"81",0,0,7,5,0
"82",3,9,2,0,0
"83",1,5,4,0,0
"84",0,1,5,5,0
"85",0,3,9,1,0
"86",1,1,5,0,0
"87",0,1,13,2,0
"88",0,5,9,0,0
"89",0,7,3,0,0
"90",0,3,7,0,0
"91",5,2,1,3,0
"92",1,4,2,0,0
"93",0,10,0,0,0
"94",0,0,15,1,0
"95",0,1,10,4,0
"96",1,4,1,3,0
"97",1,3,15,0,0
"98",0,9,3,0,0
"99",1,3,14,0,0
"100",0,4,12,0,0
"101",0,0,6,0,0
"102",1,7,1,0,0
"103",2,0,6,6,0
"104",1,2,9,2,0
"105",2,1,1,0,0
"106",2,4,6,0,0
"107",2,7,3,0,0
"108",0,4,9,0,0
"109",0,12,7,1,0
"110",1,0,4,13,0
"111",2,0,3,7,2
"112",0,1,3,13,0
"113",0,4,8,1,0
"114",0,0,5,5,0
"115",0,1,9,0,0
"116",0,0,1,19,0
"117",1,7,4,0,0
"118",2,6,1,0,0
"119",1,4,6,4,0
"120",0,0,8,10,0
"121",1,2,7,10,0
"122",0,6,6,3,0
"123",1,1,4,10,2
"124",0,2,6,0,0
"125",0,3,9,0,0
"126",0,10,1,0,0
"127",0,6,2,7,0
"128",0,2,6,0,0
"129",0,1,11,0,0
"130",0,7,8,0,0
"131",1,3,6,8,0
"132",4,11,0,0,0
"133",0,3,11,0,0
"134",2,4,4,2,0
"135",3,0,3,9,0
"136",1,0,2,12,0
"137",0,8,5,0,0
"138",0,1,3,5,4
"139",0,5,2,5,1
"140",0,0,4,7,5
"141",3,2,10,0,0
"142",1,1,9,3,0
"143",0,2,8,7,0
"144",2,0,9,5,0
"145",0,3,7,6,0
"146",1,0,4,9,0
"147",0,5,10,0,0
"148",0,1,4,12,3
"149",0,3,11,0,0
"150",0,0,0,0,0
"151",2,7,4,0,0
"152",1,1,4,13,0
"153",0,5,8,2,0
"154",1,0,3,5,7
"155",0,3,13,3,0
"156",0,4,8,0,0
"157",0,0,5,14,0
"158",1,2,13,0,0
"159",4,5,4,0,0
"160",0,0,13,0,0
"161",1,2,6,6,0
"162",0,2,8,0,0
