"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.5448,0.272,0.1536,0.0264,0.0024
"Probability of clinician DLT1",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD1",0.7096,0.1928,0.0728,0.0176,0.0032
"Probability of clinician DLT2",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.2432,0.4608,0.2288,0.0592,0.004
"Probability of clinician DLT3",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD3",0.2688,0.5544,0.1336,0.036,0.0048
"Probability of clinician DLT4",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD4",0.0808,0.3128,0.4928,0.1072,0.0024
"Probability of clinician DLT5",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD5",0.0712,0.3256,0.5224,0.064,0.0104
"Probability of clinician DLT6",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD6",0.032,0.1256,0.4408,0.3704,0.0272
"Probability of clinician DLT7",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD7",0.0328,0.128,0.4416,0.3808,0.0144
"Probability of clinician DLT8",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD8",0.0128,0.052,0.296,0.5056,0.1312
"Probability of clinician DLT9",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy9",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD9",0.5624,0.2416,0.1552,0.0232,0
"Probability of clinician DLT10",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy10",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD10",0.7,0.2008,0.064,0.016,8e-04
"Probability of clinician DLT11",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy11",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.2616,0.4784,0.2032,0.0328,0
"Probability of clinician DLT12",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy12",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD12",0.3008,0.524,0.1232,0.0248,8e-04
"Probability of clinician DLT13",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy13",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD13",0.0904,0.3744,0.4504,0.0672,8e-04
"Probability of clinician DLT14",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy14",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD14",0.0928,0.3752,0.472,0.04,0.0016
"Probability of clinician DLT15",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy15",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD15",0.0344,0.1992,0.5056,0.2416,0.0064
"Probability of clinician DLT16",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy16",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD16",0.0352,0.2008,0.5048,0.2424,0.0032
"Probability of clinician DLT17",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy17",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD17",0.0176,0.12,0.4496,0.3344,0.0584
"Probability of clinician DLT18",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy18",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD18",0.5848,0.2752,0.0968,0.0104,0
"Probability of clinician DLT19",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy19",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD19",0.6784,0.2,0.068,0.0096,0
"Probability of clinician DLT20",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy20",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD20",0.2968,0.4904,0.152,0.0176,0
"Probability of clinician DLT21",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy21",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD21",0.304,0.528,0.1016,0.0136,0.0016
"Probability of clinician DLT22",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy22",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD22",0.1056,0.4536,0.3728,0.0352,0
"Probability of clinician DLT23",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy23",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD23",0.1152,0.476,0.3584,0.0184,8e-04
"Probability of clinician DLT24",0.12,0.15,0.2,0.25,0.4
