"","V1","V2","V3","V4","V5"
"1",0,1,2,0,0
"2",0,2,3,0,0
"3",0,4,0,0,0
"4",3,0,1,0,0
"5",0,0,2,1,0
"6",0,1,1,0,0
"7",3,0,0,1,0
"8",0,0,3,1,0
"9",0,0,2,0,0
"10",0,1,5,0,0
"11",0,1,4,0,0
"12",0,3,1,0,0
"13",1,2,0,1,0
"14",4,1,1,0,0
"15",0,0,5,0,0
"16",1,1,1,0,0
"17",0,0,4,0,0
"18",2,2,0,0,0
"19",0,0,3,0,0
"20",0,6,0,0,0
"21",0,3,0,0,0
"22",0,0,1,0,0
"23",0,2,0,0,0
"24",0,1,3,0,0
"25",0,0,2,0,0
"26",1,2,0,0,0
"27",0,1,1,0,0
"28",0,0,0,5,0
"29",0,1,1,0,0
"30",0,0,7,1,0
"31",0,2,1,0,0
"32",0,4,2,0,0
"33",0,0,1,0,0
"34",0,0,4,1,0
"35",0,3,0,2,0
"36",0,0,4,2,0
"37",0,7,0,0,0
"38",0,2,2,1,0
"39",0,0,4,0,0
"40",1,0,0,0,0
"41",1,3,1,0,0
"42",0,0,5,1,0
"43",0,0,3,1,0
"44",1,3,0,0,0
"45",0,4,0,0,0
"46",0,2,1,0,0
"47",0,1,2,0,0
"48",0,0,4,0,0
"49",0,0,7,1,0
"50",0,1,1,0,0
"51",0,0,1,0,0
"52",0,1,0,0,0
"53",0,4,3,0,0
"54",3,0,1,0,0
"55",0,1,7,0,0
"56",1,0,0,1,0
"57",0,2,0,0,0
"58",1,0,0,0,0
"59",0,0,1,1,0
"60",0,2,1,0,0
"61",0,0,0,0,0
"62",0,0,4,0,0
"63",1,4,0,0,0
"64",0,0,4,1,0
"65",1,3,1,0,0
"66",0,0,5,0,0
"67",0,0,3,0,0
"68",0,4,2,0,0
"69",0,2,0,0,0
"70",0,0,3,0,0
"71",0,4,2,0,0
"72",0,2,4,1,0
"73",0,0,1,0,0
"74",1,1,2,0,0
"75",0,0,5,1,0
"76",1,0,2,0,0
"77",0,1,0,0,0
"78",0,0,1,3,0
"79",0,2,3,0,0
"80",0,2,1,0,0
"81",1,2,0,0,0
"82",0,0,4,0,0
"83",0,0,1,0,0
"84",0,1,4,0,0
"85",0,3,0,0,0
"86",1,3,1,0,0
"87",0,0,2,0,0
"88",0,0,0,3,0
"89",3,5,0,0,0
"90",1,0,3,0,0
"91",0,2,0,1,0
"92",0,1,4,0,0
"93",0,4,0,0,0
"94",1,0,3,0,0
"95",1,5,3,0,0
"96",1,2,0,0,0
"97",0,3,0,0,0
"98",1,0,0,0,0
"99",0,0,3,0,0
"100",0,0,3,0,0
"101",0,1,3,1,0
"102",0,0,4,0,0
"103",0,0,0,7,0
"104",0,2,3,0,0
"105",0,0,6,0,0
"106",1,0,3,0,0
"107",0,0,4,0,0
"108",0,3,1,0,0
"109",3,0,0,0,0
"110",0,0,7,0,0
"111",0,2,0,0,0
"112",0,4,1,0,0
"113",0,0,6,0,0
"114",1,0,0,0,0
"115",1,1,0,0,0
"116",0,4,1,0,0
"117",0,2,3,0,0
"118",0,2,1,0,0
"119",0,0,3,0,0
"120",0,6,0,0,0
"121",0,0,4,0,0
"122",0,0,1,0,0
"123",0,0,3,2,0
"124",0,5,2,0,0
"125",0,1,5,0,0
"126",0,0,1,1,0
"127",1,1,0,1,0
"128",0,0,0,3,0
"129",0,0,3,0,0
"130",0,3,2,0,0
"131",0,0,2,0,0
"132",0,0,5,0,0
"133",2,2,1,0,0
"134",0,1,3,0,0
"135",0,0,2,0,0
"136",0,2,1,0,0
"137",2,0,0,0,0
"138",0,0,3,0,0
"139",0,6,0,0,0
"140",0,1,1,0,0
"141",0,0,2,0,0
"142",0,2,1,0,0
"143",1,1,3,1,0
"144",1,2,0,0,0
"145",0,0,0,6,0
"146",1,4,0,0,0
"147",0,1,2,0,0
"148",0,0,1,5,0
"149",1,2,0,0,0
"150",0,1,3,0,0
"151",0,3,2,0,0
"152",0,1,0,0,0
"153",0,0,2,0,0
"154",0,0,3,0,0
"155",1,2,3,0,0
"156",0,1,2,0,0
"157",1,1,0,0,0
"158",0,1,3,0,0
"159",1,1,2,0,0
"160",0,0,3,1,0
"161",0,1,4,0,0
"162",0,4,1,0,0
"163",0,0,3,0,0
"164",1,1,1,0,0
"165",0,3,0,3,0
"166",0,4,0,0,0
"167",0,0,3,0,0
"168",0,0,3,0,1
"169",0,2,0,0,0
"170",0,3,1,2,0
"171",0,0,0,0,0
"172",1,2,0,0,0
"173",0,3,0,0,0
"174",0,0,2,0,0
"175",4,1,1,0,0
"176",0,2,0,0,0
"177",0,4,0,0,0
"178",0,0,4,0,0
"179",0,6,0,0,0
"180",0,1,6,0,0
"181",0,5,1,0,0
"182",0,0,9,0,0
"183",2,3,0,0,0
"184",0,4,4,0,0
"185",2,2,0,1,0
"186",0,3,0,0,0
"187",0,0,0,0,0
"188",0,1,4,0,0
"189",0,1,0,1,0
"190",0,0,3,1,0
"191",2,1,0,1,0
"192",0,1,4,0,0
"193",1,2,0,0,0
"194",0,0,4,0,0
"195",0,1,1,0,0
"196",0,0,4,0,0
"197",0,2,0,0,0
"198",0,1,3,0,0
"199",1,3,0,0,0
"200",0,1,6,0,0
"201",0,4,2,0,0
"202",0,1,3,0,0
"203",0,0,7,0,0
"204",0,2,1,0,0
"205",0,2,0,1,0
"206",0,1,7,0,0
"207",0,0,5,0,0
"208",0,1,1,0,0
"209",0,5,4,0,0
"210",0,1,0,0,0
"211",0,2,0,0,0
"212",0,0,2,2,0
"213",1,7,0,0,0
"214",0,0,3,0,0
"215",0,0,0,1,0
"216",0,2,0,0,0
"217",1,2,0,0,0
"218",0,1,5,0,0
"219",0,0,0,0,3
"220",0,4,3,0,0
"221",0,4,0,0,0
"222",0,1,4,0,0
"223",2,0,0,0,0
"224",1,3,1,0,0
"225",0,0,6,0,0
"226",1,0,1,0,0
"227",0,1,2,1,0
"228",0,1,3,1,0
"229",0,0,6,0,0
"230",0,2,3,0,0
"231",0,2,0,0,0
"232",0,0,4,0,1
"233",2,2,0,1,0
"234",2,0,0,0,0
"235",0,2,0,0,0
