"","V1","V2","V3","V4","V5"
"1",36,0,3,0,0
"2",6,24,6,3,0
"3",30,9,0,0,0
"4",9,27,3,0,0
"5",33,6,0,0,0
"6",30,6,3,0,0
"7",0,24,3,9,3
"8",3,36,0,0,0
"9",3,36,0,0,0
"10",3,15,21,0,0
"11",0,33,6,0,0
"12",33,0,6,0,0
"13",36,0,3,0,0
"14",30,3,6,0,0
"15",30,0,9,0,0
"16",36,0,3,0,0
"17",0,36,3,0,0
"18",3,33,3,0,0
"19",3,24,12,0,0
"20",33,3,3,0,0
"21",33,3,3,0,0
"22",27,9,0,3,0
"23",33,3,3,0,0
"24",33,0,6,0,0
"25",30,3,6,0,0
"26",3,30,6,0,0
"27",18,18,3,0,0
"28",30,0,9,0,0
"29",33,6,0,0,0
"30",30,3,6,0,0
"31",24,9,6,0,0
"32",3,36,0,0,0
"33",12,18,9,0,0
"34",30,6,0,3,0
"35",24,6,6,3,0
"36",30,3,3,3,0
"37",27,6,3,3,0
"38",33,6,0,0,0
"39",24,0,15,0,0
"40",12,24,3,0,0
"41",27,9,3,0,0
"42",0,3,30,3,3
"43",30,3,6,0,0
"44",0,24,9,6,0
"45",0,9,27,3,0
"46",36,3,0,0,0
"47",3,3,0,0,0
"48",0,18,6,12,3
"49",9,12,18,0,0
"50",30,3,6,0,0
"51",33,3,3,0,0
"52",33,6,0,0,0
"53",24,12,3,0,0
"54",12,21,3,3,0
"55",21,12,6,0,0
"56",36,3,0,0,0
"57",30,6,0,3,0
"58",0,3,36,0,0
"59",0,6,33,0,0
"60",33,6,0,0,0
"61",27,6,6,0,0
"62",30,6,3,0,0
"63",0,12,27,0,0
"64",3,30,6,0,0
"65",0,15,21,3,0
"66",9,15,15,0,0
"67",33,0,6,0,0
"68",0,33,6,0,0
"69",33,3,0,3,0
"70",27,6,3,3,0
"71",27,3,6,3,0
"72",24,12,3,0,0
"73",0,6,30,3,0
"74",0,33,6,0,0
"75",27,0,6,6,0
"76",36,3,0,0,0
"77",36,0,3,0,0
"78",3,30,3,3,0
"79",3,0,3,0,0
"80",36,3,0,0,0
"81",33,0,3,3,0
"82",0,30,3,6,0
"83",3,3,0,0,0
"84",0,27,9,3,0
"85",33,3,3,0,0
"86",18,3,3,15,0
"87",36,0,3,0,0
"88",30,6,3,0,0
"89",30,3,3,3,0
"90",0,30,6,3,0
"91",24,0,3,12,0
"92",30,6,3,0,0
"93",3,12,24,0,0
"94",0,3,27,9,0
"95",30,3,6,0,0
"96",3,33,3,0,0
"97",30,3,6,0,0
"98",30,9,0,0,0
"99",36,0,3,0,0
"100",33,3,3,0,0
"101",33,0,6,0,0
"102",3,36,0,0,0
"103",36,3,0,0,0
"104",27,9,3,0,0
"105",36,0,3,0,0
"106",30,3,6,0,0
"107",30,3,6,0,0
"108",0,6,9,24,0
"109",33,3,3,0,0
"110",0,21,15,3,0
"111",36,3,0,0,0
"112",0,0,36,3,0
"113",33,3,3,0,0
"114",36,0,3,0,0
"115",3,9,24,3,0
"116",27,12,0,0,0
"117",3,33,3,0,0
"118",24,0,6,9,0
"119",0,36,3,0,0
"120",33,3,3,0,0
"121",0,30,6,3,0
"122",33,3,3,0,0
"123",36,0,3,0,0
"124",30,6,0,3,0
"125",33,0,6,0,0
"126",30,6,0,3,0
"127",30,6,0,3,0
"128",33,6,0,0,0
"129",33,3,0,3,0
"130",12,27,0,0,0
"131",21,3,12,3,0
"132",36,3,0,0,0
"133",3,18,18,0,0
"134",0,18,18,3,0
"135",33,3,3,0,0
"136",30,6,3,0,0
"137",33,6,0,0,0
"138",3,3,27,6,0
"139",33,0,6,0,0
"140",36,3,0,0,0
"141",0,36,3,0,0
"142",3,33,3,0,0
"143",18,12,6,3,0
"144",6,30,3,0,0
"145",30,3,6,0,0
"146",24,3,6,6,0
"147",27,3,3,3,3
"148",0,3,30,6,0
"149",9,24,3,3,0
"150",3,30,3,3,0
"151",27,6,3,3,0
"152",33,3,3,0,0
"153",33,3,0,3,0
"154",24,3,9,3,0
"155",15,15,3,6,0
"156",0,30,3,6,0
