"","V1","V2","V3","V4","V5"
"1",1,0,23,1,0
"2",0,6,0,0,0
"3",9,0,2,0,0
"4",0,0,0,0,0
"5",2,1,1,0,0
"6",0,0,7,5,0
"7",3,0,2,0,0
"8",0,3,21,0,0
"9",3,2,18,0,0
"10",0,1,0,0,0
"11",2,0,0,0,0
"12",0,1,0,0,0
"13",2,0,0,0,1
"14",0,0,0,0,2
"15",3,0,14,4,0
"16",1,16,0,2,0
"17",10,7,0,0,0
"18",0,1,0,0,0
"19",2,1,20,3,0
"20",1,14,11,3,0
"21",0,14,4,0,1
"22",0,0,1,0,0
"23",5,3,9,0,0
"24",1,2,8,7,2
"25",0,0,2,0,0
"26",0,1,0,0,0
"27",0,3,0,0,0
"28",0,1,0,0,0
"29",0,3,0,0,0
"30",19,0,0,0,0
"31",2,0,0,0,0
"32",1,0,2,0,0
"33",2,0,0,0,0
"34",2,0,0,0,0
"35",0,2,2,0,1
"36",0,0,0,0,0
"37",0,5,11,4,2
"38",0,0,0,0,0
"39",0,2,0,0,0
"40",6,9,6,0,0
"41",0,5,3,0,0
"42",1,15,2,3,0
"43",0,1,0,0,0
"44",0,0,0,0,0
"45",1,1,22,0,0
"46",0,1,0,0,0
"47",1,0,1,0,0
"48",3,9,4,0,0
"49",0,1,0,0,0
"50",0,14,6,1,0
"51",1,0,1,0,0
"52",0,0,2,0,0
"53",9,1,10,0,0
"54",0,6,2,8,0
"55",1,0,2,2,0
"56",0,0,0,0,0
"57",0,5,21,0,0
"58",0,2,22,1,2
"59",0,2,0,0,0
"60",2,0,0,0,0
"61",5,0,0,0,0
"62",0,3,0,0,0
"63",0,0,3,0,0
"64",0,0,3,0,0
"65",4,0,13,1,2
"66",2,10,4,0,0
"67",2,0,0,1,0
"68",2,0,21,1,0
"69",2,0,0,0,0
"70",1,6,11,0,2
"71",0,0,2,0,0
"72",2,13,3,0,1
"73",0,1,0,0,0
"74",1,6,11,0,0
"75",0,2,0,0,0
"76",2,0,0,0,0
"77",3,0,2,2,0
"78",0,2,0,0,0
"79",1,0,22,1,0
"80",0,1,0,0,0
"81",2,0,1,0,0
"82",0,1,0,0,0
"83",0,1,0,0,0
"84",0,0,0,0,0
"85",17,0,5,0,1
"86",0,2,0,0,0
"87",1,5,10,4,0
"88",0,1,0,0,0
"89",0,0,0,0,0
"90",1,2,16,4,0
"91",15,1,5,0,0
"92",0,0,23,2,0
"93",5,1,13,2,0
"94",0,5,22,2,0
"95",2,0,0,0,0
"96",0,2,5,9,1
"97",0,0,0,0,0
"98",16,2,2,3,0
"99",0,2,0,0,1
"100",4,9,6,2,0
"101",0,2,0,0,0
"102",4,2,14,0,0
"103",0,0,0,0,0
"104",4,4,7,0,3
"105",5,13,0,3,0
"106",1,14,4,0,0
"107",5,3,13,1,0
"108",0,0,1,0,0
"109",3,0,0,1,0
"110",0,20,0,0,0
"111",1,0,3,0,0
"112",4,4,9,2,0
"113",0,0,0,0,0
"114",0,21,1,0,0
"115",1,15,2,3,0
"116",2,0,0,0,0
"117",0,0,3,0,0
"118",1,0,0,0,0
"119",0,2,0,0,0
"120",0,2,0,0,0
"121",0,12,5,3,0
"122",0,1,17,1,2
"123",3,1,0,1,0
"124",1,0,0,0,0
"125",0,2,6,11,0
"126",3,9,10,0,0
"127",0,0,3,0,0
"128",3,3,0,0,0
"129",1,2,0,0,0
"130",0,2,0,0,0
"131",1,0,0,0,0
"132",3,6,14,0,0
"133",1,0,0,0,0
"134",2,5,18,0,0
"135",0,0,2,0,0
"136",1,0,0,0,0
"137",1,0,0,0,0
"138",6,16,0,0,0
"139",2,0,0,0,0
"140",0,1,0,0,0
"141",0,0,2,0,0
"142",0,2,0,0,2
"143",0,0,2,0,0
"144",2,7,6,0,2
"145",6,3,5,2,0
"146",1,0,0,1,0
"147",4,0,0,2,0
"148",0,0,2,0,0
"149",5,11,0,0,1
"150",3,13,0,0,0
"151",1,0,0,0,0
"152",1,3,20,0,0
"153",1,4,15,0,0
"154",1,16,3,2,0
"155",1,0,3,0,0
"156",0,0,0,0,0
"157",1,7,14,0,1
"158",1,0,1,0,0
"159",1,1,3,0,0
"160",2,4,4,14,0
"161",15,1,0,0,0
"162",5,4,0,0,0
"163",0,1,6,11,0
"164",1,0,25,0,0
"165",3,14,2,1,0
"166",2,0,0,0,0
"167",8,3,7,0,0
"168",0,0,0,0,0
"169",0,2,0,0,0
"170",2,2,1,0,0
"171",2,7,9,0,0
"172",13,2,7,0,0
"173",1,9,9,2,0
"174",2,0,0,0,0
"175",1,0,2,0,0
"176",0,0,3,0,0
"177",17,0,0,0,0
"178",3,4,7,0,3
"179",0,1,0,0,0
"180",1,5,15,0,0
"181",1,0,0,0,0
"182",0,2,0,0,0
"183",0,1,0,0,0
"184",3,10,6,0,0
"185",0,2,0,0,0
"186",3,9,8,3,0
"187",12,3,0,3,2
"188",1,10,5,1,2
"189",1,13,6,3,0
"190",0,2,0,0,0
"191",0,0,2,0,0
"192",2,3,8,3,0
"193",0,1,0,0,0
"194",0,1,0,0,0
"195",3,6,15,0,0
"196",2,0,0,0,0
"197",0,0,2,2,0
"198",1,3,13,0,2
"199",5,0,0,0,0
"200",1,1,1,0,0
"201",4,5,12,1,0
"202",2,0,19,0,0
"203",0,2,0,0,0
"204",0,0,0,0,2
"205",1,0,0,0,1
"206",1,0,0,0,0
"207",0,3,0,0,0
"208",2,2,2,0,0
"209",0,0,2,0,0
"210",0,2,1,0,0
"211",1,0,0,0,0
"212",0,11,13,0,1
"213",0,0,2,0,0
"214",0,1,0,0,0
"215",0,1,0,0,0
"216",7,12,2,0,0
"217",1,0,2,0,0
"218",2,3,2,0,0
"219",0,3,0,0,0
"220",0,1,0,0,0
"221",0,2,0,0,3
"222",3,0,1,0,0
"223",2,0,0,0,0
"224",7,8,2,0,2
"225",3,1,22,0,0
"226",1,12,8,0,0
"227",0,4,13,0,4
"228",2,0,0,0,0
"229",0,0,2,0,0
"230",1,3,19,0,0
"231",0,0,2,1,0
"232",1,6,13,2,0
"233",8,7,1,0,2
"234",1,0,3,0,0
"235",1,2,0,1,0
"236",11,0,0,1,0
"237",0,3,20,3,0
"238",0,1,0,0,0
"239",0,1,0,0,1
"240",4,4,8,1,0
"241",0,0,1,0,0
"242",2,3,7,6,0
"243",1,0,0,0,0
"244",0,4,12,1,0
"245",0,3,0,0,0
"246",0,2,16,4,0
"247",0,0,2,0,0
"248",0,0,1,0,0
"249",4,10,3,0,0
"250",1,3,21,0,0
"251",8,4,1,1,0
"252",0,3,3,0,0
"253",0,2,0,0,0
"254",2,0,0,0,0
"255",2,9,6,1,0
"256",21,0,0,2,1
"257",2,19,2,0,0
"258",5,7,8,0,2
"259",3,19,0,0,0
"260",2,2,2,0,0
"261",0,0,1,0,0
"262",3,2,13,3,0
"263",2,2,0,0,0
"264",0,0,0,0,0
"265",4,16,2,0,0
"266",2,0,0,3,0
"267",10,7,3,3,0
"268",4,11,3,0,0
"269",2,5,5,3,3
"270",5,5,7,2,0
"271",0,0,2,0,0
"272",7,9,5,0,0
"273",10,1,2,0,0
"274",4,11,9,0,0
"275",1,0,2,0,0
"276",1,0,0,0,0
"277",3,2,0,0,0
"278",2,8,14,0,0
"279",0,3,10,2,0
"280",3,5,13,0,0
"281",0,0,2,0,0
"282",4,7,2,0,0
"283",6,0,0,0,0
"284",2,0,0,0,0
"285",1,0,0,2,0
"286",0,4,0,0,3
"287",0,2,0,0,0
"288",8,9,0,1,0
"289",0,2,15,6,0
"290",12,1,5,0,2
"291",0,2,0,0,0
"292",12,7,3,0,0
"293",0,1,24,0,0
"294",0,2,0,0,0
"295",2,2,0,0,0
"296",0,0,0,0,3
"297",0,5,12,1,1
"298",0,2,0,0,0
"299",6,5,7,3,0
"300",0,1,0,0,0
"301",2,8,3,2,0
"302",0,6,11,1,1
"303",3,0,3,0,1
"304",1,0,14,6,0
"305",0,4,3,0,0
"306",6,6,1,3,0
"307",0,1,19,0,0
"308",6,1,1,0,0
"309",2,0,21,0,3
"310",9,3,2,0,0
"311",0,1,0,0,0
"312",0,0,3,0,0
"313",8,8,3,0,1
"314",2,0,0,0,0
"315",0,1,0,0,0
"316",1,0,0,0,0
"317",3,0,0,0,0
"318",1,0,19,2,0
"319",0,3,0,0,1
"320",1,11,7,0,0
"321",1,10,11,3,0
"322",7,7,7,0,0
"323",2,3,0,0,1
"324",0,0,0,0,0
"325",0,1,0,0,0
"326",1,17,1,1,0
"327",3,8,0,1,0
"328",13,4,2,0,0
"329",0,2,0,0,0
"330",7,0,0,0,0
"331",0,0,2,0,0
"332",0,0,3,0,0
"333",5,2,7,2,0
"334",1,0,17,2,0
"335",4,7,12,0,0
"336",0,0,2,0,0
"337",0,2,0,0,1
"338",0,4,5,0,0
"339",3,4,0,0,0
"340",0,3,10,8,3
"341",1,2,0,0,0
"342",2,0,3,0,0
"343",0,3,0,0,0
"344",0,2,0,0,0
"345",1,0,0,0,0
"346",0,0,1,0,0
"347",1,0,18,2,0
"348",3,2,18,0,0
"349",1,3,1,0,0
"350",4,16,2,0,0
"351",0,2,0,0,0
"352",4,9,4,0,0
"353",1,3,19,2,0
"354",0,0,1,0,0
"355",11,5,3,0,0
"356",3,0,0,0,0
"357",0,0,3,0,0
"358",2,5,9,2,0
"359",6,8,3,0,0
"360",2,0,0,0,0
"361",0,2,26,0,1
"362",3,3,13,0,0
"363",1,0,0,0,0
"364",0,3,0,0,0
"365",0,1,0,0,0
"366",1,0,0,0,1
"367",6,4,3,2,0
"368",0,0,1,0,0
"369",1,0,3,0,0
"370",0,0,2,0,0
"371",0,0,3,0,0
"372",1,0,5,0,0
"373",1,4,0,2,0
"374",10,9,0,2,0
"375",0,2,0,0,0
"376",1,7,7,2,0
"377",1,0,0,0,0
"378",0,0,2,0,0
"379",2,0,23,0,0
"380",0,2,0,0,0
"381",0,1,11,7,0
"382",2,13,2,2,0
"383",1,3,1,3,0
"384",9,1,4,0,0
"385",2,0,2,0,0
"386",10,9,0,0,0
"387",4,13,1,0,0
"388",0,6,9,2,0
"389",0,0,3,0,1
"390",4,13,0,0,1
"391",3,0,0,0,0
"392",1,0,2,0,0
"393",3,0,0,2,0
"394",0,1,0,0,0
"395",0,0,2,0,1
"396",5,13,0,0,0
"397",6,12,2,0,0
"398",6,11,3,0,2
"399",5,7,2,0,0
"400",0,2,0,0,0
"401",0,0,1,0,0
"402",1,0,3,0,0
"403",2,7,10,0,3
"404",1,0,2,0,0
"405",0,0,0,0,0
"406",0,0,0,0,0
"407",0,2,0,0,0
"408",0,1,0,0,0
"409",0,0,0,0,1
"410",0,3,0,0,0
"411",2,0,0,0,0
"412",1,0,0,0,0
"413",3,6,13,0,0
"414",0,0,2,0,0
"415",0,2,0,0,0
"416",3,3,15,0,0
"417",0,1,0,0,0
"418",0,2,0,0,0
"419",0,0,0,0,0
"420",3,6,6,3,0
"421",0,0,3,0,0
"422",2,0,0,0,0
"423",0,0,0,0,1
"424",0,2,3,0,0
