"","V1","V2","V3","V4","V5"
"1",12,21,3,3,0
"2",0,3,3,0,0
"3",30,6,0,3,0
"4",15,3,0,0,0
"5",33,3,0,0,3
"6",3,33,0,0,3
"7",36,0,3,0,0
"8",27,9,3,0,0
"9",30,3,6,0,0
"10",3,0,0,0,0
"11",3,0,0,0,0
"12",3,0,33,3,0
"13",18,0,3,0,0
"14",33,3,3,0,0
"15",21,15,0,0,3
"16",0,0,3,0,0
"17",33,6,0,0,0
"18",0,0,3,0,0
"19",33,3,3,0,0
"20",0,0,6,0,0
"21",21,15,3,0,0
"22",3,27,6,3,0
"23",3,3,0,0,0
"24",0,0,3,0,0
"25",3,3,0,0,0
"26",36,0,3,0,0
"27",9,27,0,0,3
"28",33,3,3,0,0
"29",39,0,0,0,0
"30",9,27,3,0,0
"31",3,36,0,0,0
"32",0,0,3,0,0
"33",3,33,3,0,0
"34",0,3,3,0,0
"35",18,12,9,0,0
"36",30,3,0,3,3
"37",30,3,6,0,0
"38",0,3,3,0,0
"39",3,6,24,6,0
"40",30,6,3,0,0
"41",27,3,6,3,0
"42",33,3,3,0,0
"43",6,30,3,0,0
"44",0,3,0,0,0
"45",9,6,3,0,0
"46",3,0,0,0,0
"47",3,33,3,0,0
"48",6,3,3,0,0
"49",0,3,0,0,0
"50",33,3,0,3,0
"51",0,0,3,0,0
"52",30,3,6,0,0
"53",0,0,3,0,0
"54",3,0,0,0,0
"55",0,0,3,0,0
"56",3,0,0,0,0
"57",0,0,3,0,0
"58",6,30,3,0,0
"59",21,3,0,0,3
"60",6,30,3,0,0
"61",3,3,0,0,0
"62",3,3,0,0,0
"63",30,6,0,0,3
"64",3,0,0,0,0
"65",33,0,6,0,0
"66",33,0,3,0,3
"67",3,30,6,0,0
"68",24,0,9,6,0
"69",0,0,3,0,0
"70",36,0,0,0,3
"71",0,36,3,0,0
"72",6,3,3,0,0
"73",3,30,6,0,0
"74",0,6,30,0,3
"75",12,21,6,0,0
"76",3,0,0,0,0
"77",3,33,3,0,0
"78",30,3,6,0,0
"79",30,9,0,0,0
"80",12,27,0,0,0
"81",3,0,0,0,0
"82",12,9,0,0,0
"83",6,0,30,3,0
"84",9,30,0,0,0
"85",3,3,0,0,0
"86",9,24,3,3,0
"87",9,27,3,0,0
"88",3,30,3,0,3
"89",3,33,3,0,0
"90",6,3,0,3,0
"91",3,0,3,0,0
"92",3,21,15,0,0
"93",0,3,3,0,0
"94",3,0,0,0,0
"95",3,3,3,3,0
"96",0,0,3,0,0
"97",3,27,3,3,3
"98",3,0,0,0,0
"99",30,3,3,3,0
"100",30,3,6,0,0
"101",3,0,0,0,0
"102",3,0,0,0,0
"103",12,21,6,0,0
"104",33,3,0,0,3
"105",0,0,3,0,0
"106",33,6,0,0,0
"107",3,12,18,3,3
"108",3,0,3,0,0
"109",9,30,0,0,0
"110",27,9,3,0,0
"111",3,0,0,0,0
"112",15,21,3,0,0
"113",33,3,3,0,0
"114",0,3,0,0,0
"115",6,0,0,0,0
"116",3,33,3,0,0
"117",9,30,0,0,0
"118",18,15,6,0,0
"119",30,3,6,0,0
"120",33,6,0,0,0
"121",6,30,3,0,0
"122",0,0,3,0,0
"123",27,12,0,0,0
"124",3,0,3,0,0
"125",36,3,0,0,0
"126",0,0,3,0,0
"127",0,0,3,0,0
"128",0,0,3,0,0
"129",3,27,0,0,9
"130",27,9,0,0,3
"131",18,18,3,0,0
"132",6,24,6,0,3
"133",3,0,0,0,0
"134",6,0,3,0,0
"135",3,0,33,0,3
"136",30,6,0,3,0
"137",39,0,0,0,0
"138",3,0,0,0,0
"139",21,18,0,0,0
"140",6,30,3,0,0
"141",9,27,3,0,0
"142",3,9,27,0,0
"143",0,0,3,0,0
"144",24,12,3,0,0
"145",27,6,6,0,0
"146",3,36,0,0,0
"147",0,3,3,0,0
"148",3,33,3,0,0
"149",12,27,0,0,0
"150",27,6,0,3,0
"151",3,18,15,3,0
"152",33,3,3,0,0
"153",30,9,0,0,0
"154",0,36,3,0,0
"155",21,18,0,0,0
"156",6,30,0,0,3
"157",6,0,0,0,3
"158",9,24,6,0,0
"159",18,18,3,0,0
"160",6,30,3,0,0
"161",33,3,3,0,0
"162",0,3,0,0,0
"163",0,0,3,0,0
"164",18,21,0,0,0
"165",3,21,9,3,3
"166",12,3,3,0,3
"167",33,3,3,0,0
"168",33,3,3,0,0
"169",0,3,0,0,0
"170",9,24,6,0,0
"171",3,6,27,3,0
"172",24,15,0,0,0
"173",3,36,0,0,0
"174",30,0,6,0,3
"175",0,3,0,0,0
"176",3,3,0,0,0
"177",3,12,21,0,3
"178",6,3,3,0,0
"179",3,24,6,3,3
"180",18,3,0,3,0
"181",12,3,0,0,0
"182",9,27,3,0,0
"183",3,3,0,0,0
"184",3,0,0,0,0
"185",9,24,3,3,0
"186",6,0,3,0,0
"187",3,3,0,0,0
"188",0,3,0,0,0
"189",15,15,9,0,0
