"","V1","V2","V3","V4","V5"
"1",2,0,0,0,0
"2",0,2,1,0,0
"3",6,2,0,0,0
"4",3,5,2,1,0
"5",3,4,4,0,0
"6",0,0,2,0,0
"7",0,0,3,0,0
"8",0,0,2,0,0
"9",5,0,1,0,0
"10",0,2,0,0,0
"11",0,2,0,0,0
"12",2,1,0,0,0
"13",0,0,2,0,0
"14",6,1,1,0,0
"15",4,0,2,0,2
"16",1,0,0,0,0
"17",8,1,0,0,0
"18",0,0,2,0,0
"19",0,2,0,0,0
"20",5,1,0,0,0
"21",3,1,1,0,0
"22",5,2,0,0,0
"23",2,1,1,0,0
"24",5,4,0,0,0
"25",3,6,0,2,0
"26",1,0,0,0,0
"27",1,0,0,0,0
"28",7,0,3,0,0
"29",0,0,2,0,0
"30",2,1,3,0,0
"31",1,6,0,0,2
"32",5,1,1,0,0
"33",1,4,0,2,0
"34",2,1,0,0,0
"35",8,2,0,0,0
"36",8,1,0,0,0
"37",0,2,1,0,0
"38",5,1,0,0,0
"39",3,6,0,2,0
"40",0,2,5,0,0
"41",6,3,1,0,0
"42",0,6,2,0,0
"43",6,0,1,0,0
"44",8,1,1,0,0
"45",4,0,2,0,0
"46",0,0,2,0,0
"47",4,5,4,0,0
"48",0,0,2,0,0
"49",4,0,1,0,0
"50",0,0,2,0,0
"51",4,2,0,1,0
"52",3,2,0,0,0
"53",2,1,0,0,0
"54",5,0,0,0,0
"55",5,0,0,0,0
"56",0,0,2,0,0
"57",0,0,2,0,0
"58",5,0,1,0,2
"59",6,2,1,0,0
"60",5,2,0,0,0
"61",9,1,0,0,0
"62",1,0,0,0,0
"63",3,0,1,0,0
"64",4,1,0,0,0
"65",1,0,0,0,0
"66",6,1,1,0,0
"67",9,1,1,0,0
"68",7,1,1,0,0
"69",0,0,2,0,0
"70",7,0,1,0,0
"71",0,0,2,0,0
"72",1,1,0,2,0
"73",0,0,2,0,0
"74",0,2,5,2,0
"75",4,2,2,0,0
"76",4,0,0,1,0
"77",2,0,3,0,2
"78",8,1,0,0,0
"79",0,2,0,0,0
"80",7,1,1,0,0
"81",2,4,0,0,0
"82",5,0,2,0,0
"83",4,0,0,0,0
"84",6,1,1,0,0
"85",0,2,1,0,0
"86",6,0,2,0,0
"87",0,0,2,0,0
"88",1,0,0,0,0
"89",6,0,0,2,0
"90",6,0,0,0,0
"91",0,0,2,0,0
"92",7,0,3,0,0
"93",3,1,1,0,0
"94",8,0,0,0,0
"95",0,4,0,3,0
"96",2,1,0,0,0
"97",7,3,0,0,0
"98",0,0,2,0,0
"99",6,2,1,0,0
"100",1,0,0,0,0
"101",5,0,1,0,0
"102",6,0,0,1,0
"103",0,5,1,0,0
"104",3,1,0,0,0
"105",7,1,0,2,0
"106",8,1,2,0,0
"107",0,2,0,0,0
"108",0,0,2,0,0
"109",0,0,2,0,0
"110",5,1,0,0,0
"111",4,3,1,0,0
"112",5,1,0,0,0
"113",0,2,0,0,0
"114",0,0,2,0,0
"115",3,1,1,0,0
"116",0,0,2,0,0
"117",9,1,0,0,0
"118",0,2,0,0,0
"119",10,2,0,0,0
"120",3,1,1,0,0
"121",9,0,1,0,0
"122",0,0,3,0,0
"123",4,6,0,0,0
"124",0,0,2,0,0
"125",0,7,0,3,0
"126",0,2,0,0,0
"127",5,1,0,0,0
"128",8,1,0,0,0
"129",2,0,0,0,0
"130",4,1,1,0,0
"131",0,8,1,0,0
"132",0,0,2,0,0
"133",2,1,0,0,0
"134",2,1,0,0,0
"135",0,7,0,0,2
"136",0,0,2,0,0
"137",1,0,0,0,0
"138",0,0,2,0,0
"139",0,6,0,2,0
"140",9,0,0,0,0
"141",2,5,0,0,0
"142",2,1,1,0,0
"143",8,0,0,0,1
"144",4,4,0,2,0
"145",0,0,3,0,0
"146",0,0,2,0,0
"147",6,0,0,2,0
"148",5,1,0,0,0
"149",2,1,1,0,0
"150",7,0,1,0,0
"151",4,0,0,0,0
"152",7,0,0,0,0
"153",8,0,0,0,0
"154",0,3,1,0,0
"155",0,5,1,0,0
"156",0,2,1,0,0
"157",6,2,1,0,0
"158",0,0,2,0,0
"159",8,0,0,2,0
"160",6,2,0,0,0
"161",5,1,0,0,0
"162",3,1,2,0,0
"163",1,0,0,0,0
"164",8,0,0,2,0
"165",7,0,1,0,0
"166",4,1,0,0,0
"167",8,1,1,0,0
"168",0,0,2,0,0
"169",6,3,1,1,0
"170",0,0,2,0,0
"171",2,1,1,0,0
"172",1,3,0,0,0
"173",7,0,1,0,0
"174",4,1,0,0,0
"175",0,0,2,0,0
"176",0,2,1,0,0
"177",7,1,2,0,0
"178",3,0,1,0,0
"179",2,1,1,0,0
"180",8,0,1,0,0
"181",0,3,0,0,0
"182",0,0,2,0,0
"183",1,7,1,0,0
"184",8,0,1,0,0
"185",5,1,0,0,0
"186",5,1,0,0,0
"187",7,0,2,0,0
"188",7,0,0,0,2
"189",9,1,0,0,0
"190",0,2,0,0,0
"191",0,7,4,0,0
"192",3,1,0,0,0
"193",0,0,2,0,0
"194",3,2,0,0,0
"195",0,0,2,0,0
"196",6,1,1,0,0
"197",3,0,0,0,0
"198",0,0,3,0,0
"199",4,1,3,0,0
"200",2,0,1,0,0
"201",1,5,1,0,0
"202",3,1,0,0,0
"203",6,1,0,0,0
"204",0,0,2,0,0
"205",7,1,0,0,0
"206",0,0,2,0,0
"207",1,0,0,0,0
"208",0,0,2,0,0
"209",2,0,0,0,0
"210",0,0,2,0,0
"211",2,1,0,0,0
"212",8,1,1,0,0
"213",3,1,0,0,2
"214",8,1,1,0,0
"215",0,8,3,1,0
"216",1,0,0,0,0
"217",0,0,2,0,0
"218",5,3,0,0,0
"219",1,3,1,0,0
"220",2,0,1,0,0
"221",3,3,2,0,0
"222",1,4,1,0,0
"223",5,1,1,0,0
"224",0,2,0,0,0
"225",2,1,0,0,0
"226",6,1,1,0,0
"227",0,6,0,0,0
"228",3,1,1,0,0
"229",8,1,0,0,0
"230",2,2,0,0,0
"231",2,2,2,0,0
"232",0,7,0,2,0
"233",2,0,1,0,0
"234",3,1,0,0,0
"235",0,6,1,0,0
"236",2,1,0,0,0
"237",0,0,3,0,0
"238",0,7,3,0,0
"239",6,0,1,0,0
"240",4,2,0,0,0
"241",0,0,2,0,0
"242",4,2,1,1,0
"243",4,1,4,2,0
"244",4,2,1,0,0
"245",0,0,3,0,0
"246",0,6,2,0,0
"247",2,1,0,0,0
"248",0,0,2,0,0
"249",3,1,0,0,0
"250",0,0,2,0,0
"251",6,0,1,0,0
"252",0,0,2,0,0
"253",4,2,0,0,0
"254",3,1,0,0,0
"255",0,3,0,0,0
"256",4,2,1,0,0
"257",8,1,1,0,0
"258",4,1,0,0,0
"259",2,0,0,0,0
