"","V1","V2","V3","V4","V5"
"1",3,6,12,15,3
"2",0,0,15,21,3
"3",3,9,27,0,0
"4",0,3,12,9,15
"5",3,3,18,15,0
"6",6,0,3,3,27
"7",3,0,9,0,27
"8",3,0,3,24,9
"9",3,3,3,0,30
"10",0,3,6,3,27
"11",0,6,0,3,30
"12",6,0,0,0,33
"13",6,0,0,0,33
"14",0,0,15,21,3
"15",6,3,6,24,0
"16",0,6,3,3,27
"17",3,0,12,24,0
"18",0,15,18,0,6
"19",0,3,3,3,30
"20",3,24,12,0,0
"21",3,0,3,6,27
"22",3,21,12,0,3
"23",9,6,0,6,18
"24",0,3,9,24,3
"25",3,9,27,0,0
"26",3,0,6,18,12
"27",0,3,9,24,3
"28",9,0,9,9,12
"29",0,3,3,0,33
"30",9,12,18,0,0
"31",0,3,6,0,30
"32",0,9,30,0,0
"33",3,6,21,9,0
"34",3,0,6,3,27
"35",3,6,24,6,0
"36",0,3,30,6,0
"37",0,0,12,24,3
"38",0,6,12,21,0
"39",12,12,15,0,0
"40",3,3,0,3,30
"41",0,0,30,9,0
"42",0,12,9,9,9
"43",3,3,0,15,18
"44",0,9,0,30,0
"45",3,3,0,3,30
"46",6,6,24,3,0
"47",0,0,9,30,0
"48",0,0,6,9,24
"49",0,6,0,6,27
"50",3,24,9,3,0
"51",6,0,12,18,3
"52",0,3,0,9,27
"53",3,0,3,9,24
"54",3,0,3,3,30
"55",3,24,12,0,0
"56",6,3,0,6,24
"57",0,3,0,24,12
"58",0,6,6,18,9
"59",0,3,0,9,27
"60",0,3,6,3,27
"61",3,6,12,18,0
"62",6,6,21,6,0
"63",0,0,9,27,3
"64",9,6,0,3,21
"65",6,0,3,0,30
"66",0,3,6,24,6
"67",0,3,15,9,12
"68",3,0,3,3,30
"69",6,3,21,9,0
"70",3,3,18,15,0
"71",0,3,6,6,24
"72",0,6,3,3,27
"73",9,0,3,0,27
"74",12,0,12,15,0
"75",3,0,6,0,30
"76",0,0,6,0,33
"77",3,3,21,6,6
"78",0,21,15,3,0
"79",3,0,3,0,33
"80",3,3,18,15,0
"81",0,3,6,3,27
"82",0,6,3,3,27
"83",0,3,6,30,0
"84",0,6,3,3,27
"85",3,9,0,6,21
"86",0,3,9,27,0
"87",6,9,21,0,3
"88",3,3,3,0,30
"89",0,18,12,3,6
"90",3,3,0,0,0
"91",6,0,3,3,27
"92",0,6,9,24,0
"93",0,3,0,6,30
"94",3,6,18,12,0
"95",0,3,27,9,0
"96",6,0,18,15,0
"97",6,3,3,3,24
"98",3,0,0,3,33
"99",0,0,3,3,33
"100",3,0,6,21,9
"101",0,0,3,33,3
"102",21,9,3,3,3
"103",0,3,3,9,24
"104",3,9,24,0,3
"105",0,6,0,9,24
"106",0,9,21,6,3
"107",3,0,3,0,33
"108",3,3,0,0,0
"109",3,9,3,24,0
"110",0,3,9,0,27
"111",3,9,0,15,12
"112",0,6,3,6,24
"113",6,0,6,3,24
"114",0,6,3,0,30
"115",3,3,33,0,0
"116",0,6,27,6,0
"117",9,12,3,3,12
"118",0,0,12,24,3
"119",3,0,3,3,30
"120",6,0,6,21,6
"121",0,21,12,3,3
"122",0,3,3,0,33
"123",3,9,18,9,0
"124",9,30,0,0,0
"125",3,3,30,3,0
"126",0,0,3,6,30
"127",3,9,21,6,0
"128",0,12,0,15,12
"129",6,0,0,9,24
"130",3,12,24,0,0
"131",3,9,27,0,0
"132",3,3,3,3,27
"133",3,0,3,27,6
"134",0,0,30,9,0
"135",0,6,6,18,9
"136",6,3,0,30,0
"137",0,6,0,6,27
"138",3,3,9,9,15
"139",3,15,18,3,0
"140",0,0,3,12,24
"141",0,6,0,33,0
"142",0,0,6,0,33
"143",3,0,9,3,24
"144",0,0,12,24,3
"145",0,0,3,12,24
"146",0,12,21,3,3
"147",0,0,18,18,3
"148",3,3,30,3,0
"149",3,3,27,6,0
"150",0,18,15,6,0
"151",0,6,3,30,0
"152",0,0,12,27,0
"153",0,3,9,18,9
"154",3,3,3,3,27
"155",3,3,15,15,3
"156",0,6,3,0,30
"157",3,3,0,3,30
"158",0,3,3,21,12
"159",0,3,3,18,15
"160",6,3,24,6,0
"161",3,9,15,9,3
"162",0,6,18,15,0
"163",3,3,0,0,33
"164",3,18,15,0,3
"165",0,3,0,6,30
"166",3,3,27,6,0
"167",0,6,27,6,0
"168",0,9,6,21,3
"169",3,0,15,21,0
"170",3,0,6,24,6
"171",0,6,9,21,3
"172",0,9,30,0,0
"173",0,0,36,0,3
"174",3,0,18,15,3
"175",3,0,3,0,33
"176",0,0,6,3,30
"177",3,30,6,0,0
"178",0,6,0,0,33
"179",0,3,3,3,30
"180",6,0,3,0,30
"181",0,0,3,6,30
"182",3,9,3,0,24
"183",3,27,9,0,0
"184",0,21,18,0,0
"185",0,0,3,15,21
"186",0,9,3,12,15
"187",0,0,3,6,30
"188",3,3,6,0,27
"189",3,0,6,30,0
"190",0,3,6,6,24
"191",0,3,6,18,12
"192",0,6,0,3,30
"193",0,6,0,3,30
"194",3,9,24,3,0
"195",9,30,0,0,0
"196",0,6,27,6,0
"197",24,6,0,3,6
"198",0,0,9,24,6
"199",9,6,18,6,0
"200",0,6,3,21,9
"201",3,6,0,9,21
"202",0,0,9,0,30
"203",0,0,6,30,3
"204",6,3,0,3,27
"205",3,15,21,0,0
"206",0,0,30,6,3
"207",0,3,36,0,0
"208",0,3,6,12,18
"209",6,0,3,3,27
"210",3,0,9,24,3
"211",0,3,0,33,3
"212",3,6,6,21,3
"213",0,21,12,3,3
"214",0,3,0,30,6
"215",3,0,3,3,30
"216",0,0,9,3,27
"217",0,3,3,33,0
"218",3,6,15,15,0
"219",3,0,3,6,27
"220",0,3,0,6,30
"221",0,6,12,12,9
"222",0,3,6,0,30
"223",6,3,3,21,6
"224",0,0,9,24,6
"225",6,18,9,6,0
"226",3,3,12,21,0
"227",0,6,18,15,0
"228",6,12,21,0,0
"229",0,3,6,30,0
"230",3,3,0,3,30
"231",3,3,0,3,30
"232",0,6,6,27,0
"233",3,3,3,3,27
"234",3,3,3,24,6
"235",0,0,6,9,24
"236",0,3,3,6,27
"237",3,6,0,18,12
"238",0,0,3,27,9
"239",0,3,0,3,33
"240",6,0,21,6,6
"241",3,6,27,3,0
"242",0,0,12,27,0
"243",3,3,15,15,3
"244",3,0,33,0,3
"245",6,21,12,0,0
"246",0,3,6,3,27
"247",3,21,9,3,3
"248",3,3,9,24,0
"249",3,0,18,15,3
"250",9,27,3,0,0
"251",0,3,9,15,12
"252",3,21,9,6,0
"253",0,9,9,15,6
"254",0,6,33,0,0
"255",0,0,3,24,12
"256",3,0,0,6,30
"257",0,9,0,3,27
"258",3,6,3,24,3
"259",3,0,0,0,0
"260",6,0,3,3,27
"261",0,3,6,27,3
"262",0,0,3,12,24
"263",0,3,15,0,21
"264",0,3,6,3,27
"265",3,0,3,6,27
"266",3,3,33,0,0
"267",3,3,24,9,0
"268",6,6,27,0,0
"269",0,0,3,6,30
"270",6,0,9,3,21
