"","V1","V2","V3","V4","V5","V6"
"1",0,8,40,0,0,0
"2",4,28,12,4,0,0
"3",12,32,0,0,4,0
"4",0,0,0,36,8,4
"5",0,36,0,4,4,4
"6",0,28,12,4,4,0
"7",4,4,32,8,0,0
"8",0,20,20,0,0,8
"9",4,8,24,4,4,4
"10",0,4,36,0,8,0
"11",4,0,32,4,4,4
"12",0,12,28,4,4,0
"13",0,48,0,0,0,0
"14",0,8,40,0,0,0
"15",12,28,0,4,0,4
"16",0,0,36,0,8,4
"17",0,4,32,4,4,4
"18",8,32,4,4,0,0
"19",0,0,40,0,4,4
"20",4,8,32,4,0,0
"21",0,0,8,16,20,4
"22",8,8,32,0,0,0
"23",0,4,20,20,4,0
"24",0,0,8,24,12,4
"25",0,32,4,0,12,0
"26",4,16,24,0,4,0
"27",8,28,0,8,0,4
"28",0,0,16,24,8,0
"29",4,0,32,4,8,0
"30",4,4,0,36,4,0
"31",0,4,16,20,8,0
"32",0,0,40,8,0,0
"33",0,0,44,0,0,4
"34",0,4,16,20,4,4
"35",4,8,0,24,12,0
"36",0,0,4,36,4,4
"37",4,8,32,0,0,4
"38",0,0,24,8,8,8
"39",16,12,12,0,8,0
"40",0,4,40,4,0,0
"41",4,0,0,36,4,4
"42",0,8,28,8,0,4
"43",8,4,32,4,0,0
"44",0,0,40,0,4,4
"45",12,28,0,4,4,0
"46",4,0,0,4,0,0
"47",4,0,0,0,4,0
"48",4,16,24,0,4,0
"49",40,0,4,4,0,0
"50",36,8,0,0,4,0
"51",8,0,32,4,4,0
"52",8,36,0,0,0,4
"53",4,28,4,8,4,0
"54",32,12,0,0,4,0
"55",0,32,12,4,0,0
"56",12,12,20,4,0,0
"57",0,4,36,4,4,0
"58",0,0,32,12,4,0
"59",0,0,0,0,4,0
"60",36,4,0,8,0,0
"61",0,4,36,0,8,0
"62",0,40,0,4,4,0
"63",0,4,24,16,0,4
"64",0,28,16,4,0,0
"65",8,32,4,4,0,0
"66",0,16,28,4,0,0
"67",0,8,32,0,8,0
"68",36,12,0,0,0,0
"69",28,16,0,4,0,0
"70",4,16,24,0,4,0
"71",4,12,8,16,4,4
"72",4,4,36,4,0,0
"73",36,4,4,0,4,0
"74",8,28,8,0,4,0
"75",0,40,4,0,4,0
"76",0,0,40,4,4,0
"77",0,8,32,4,4,0
"78",0,8,40,0,0,0
"79",0,0,0,16,24,8
"80",20,20,4,0,0,4
"81",0,0,40,4,4,0
"82",4,8,36,0,0,0
"83",4,8,28,4,0,4
"84",0,4,36,8,0,0
"85",0,40,8,0,0,0
"86",0,0,20,8,16,4
"87",12,8,24,0,4,0
"88",0,20,24,0,0,4
"89",0,4,16,24,0,4
"90",0,4,40,0,4,0
"91",4,16,28,0,0,0
"92",12,32,0,4,0,0
"93",0,4,32,4,4,4
"94",0,40,4,0,4,0
"95",28,16,4,0,0,0
"96",4,32,8,0,4,0
"97",0,0,8,36,0,4
"98",32,16,0,0,0,0
"99",32,12,0,4,0,0
"100",4,0,12,32,0,0
"101",4,4,28,8,4,0
"102",4,8,32,0,4,0
"103",4,36,4,4,0,0
"104",0,4,36,0,4,4
"105",0,4,32,4,8,0
"106",0,36,8,4,0,0
"107",4,8,24,8,4,0
"108",8,32,4,0,4,0
"109",0,4,36,8,0,0
"110",0,0,4,8,12,24
"111",4,0,36,0,0,8
"112",0,40,0,4,4,0
"113",16,20,8,4,0,0
"114",4,4,28,8,4,0
"115",0,40,0,4,4,0
"116",4,0,24,12,0,8
"117",0,8,28,8,4,0
"118",0,12,28,0,8,0
"119",0,0,24,16,4,4
"120",0,4,36,4,4,0
"121",8,36,0,0,4,0
"122",4,0,0,4,28,12
"123",0,0,40,4,4,0
"124",4,32,8,4,0,0
"125",4,0,0,36,4,4
"126",12,28,0,4,4,0
"127",0,0,40,4,4,0
"128",8,0,40,0,0,0
"129",4,36,0,8,0,0
"130",4,32,4,4,4,0
