"","V1","V2","V3","V4","V5","V6"
"1",0,0,1,0,0,1
"2",0,4,0,0,0,2
"3",0,0,0,0,0,5
"4",0,1,0,0,1,4
"5",0,0,0,0,0,3
"6",4,0,0,0,1,2
"7",0,0,0,3,0,0
"8",1,1,0,0,0,2
"9",1,1,0,0,1,1
"10",1,0,0,0,0,0
"11",0,0,0,0,0,0
"12",0,1,3,1,0,1
"13",0,2,1,0,3,0
"14",1,0,0,0,0,0
"15",0,0,0,1,0,1
"16",1,0,0,0,1,0
"17",1,0,1,0,0,1
"18",0,0,0,1,0,2
"19",0,0,0,0,1,0
"20",0,0,1,0,2,2
"21",1,0,0,0,0,0
"22",0,0,1,0,0,0
"23",0,0,2,3,1,5
"24",1,0,1,0,2,0
"25",0,0,0,0,0,0
"26",0,0,1,0,2,0
"27",0,2,0,0,1,0
"28",0,2,1,1,2,3
"29",1,0,1,0,1,2
"30",0,0,3,5,0,0
"31",0,0,0,2,2,2
"32",0,1,0,0,2,0
"33",0,2,0,0,0,0
"34",1,0,0,0,0,0
"35",0,0,0,1,2,0
"36",0,1,0,0,1,1
"37",0,0,0,0,0,1
"38",0,1,1,0,0,2
"39",0,0,0,0,1,2
"40",0,0,0,1,0,1
"41",1,1,0,0,0,1
"42",0,0,0,2,10,2
"43",0,0,0,2,0,0
"44",0,0,0,0,1,0
"45",0,0,0,1,2,0
"46",0,2,1,0,0,2
"47",0,1,0,0,2,0
"48",2,0,0,0,1,0
"49",0,0,1,1,0,1
"50",0,0,1,0,1,0
"51",0,2,0,0,3,3
"52",0,2,1,0,0,0
"53",0,1,0,2,0,0
"54",0,3,0,1,2,0
"55",0,1,1,0,0,0
"56",0,0,0,0,1,4
"57",1,0,0,1,0,0
"58",0,0,0,0,2,0
"59",0,0,0,0,3,0
"60",0,0,0,3,0,2
"61",0,0,0,0,1,0
"62",0,0,4,1,1,1
"63",0,1,0,1,0,2
"64",0,0,0,2,0,0
"65",0,0,1,1,2,0
"66",0,2,0,0,2,0
"67",0,3,0,0,1,1
"68",0,1,1,2,5,0
"69",0,2,2,4,0,0
"70",0,0,0,0,2,0
"71",0,2,0,0,1,1
"72",0,2,0,1,0,0
"73",0,5,0,0,1,3
"74",1,1,1,0,4,0
"75",1,0,0,1,0,0
"76",0,1,1,1,0,3
"77",0,1,1,0,1,0
"78",0,0,1,0,0,3
"79",1,0,0,0,0,0
"80",0,0,2,0,0,0
"81",0,0,2,0,1,0
"82",0,0,0,0,0,0
"83",0,0,0,1,1,0
"84",0,0,0,3,0,0
"85",0,0,1,0,1,0
"86",0,1,1,0,1,0
"87",0,0,2,0,2,3
"88",1,0,0,1,0,0
"89",0,0,2,0,0,0
"90",0,0,0,0,0,0
"91",0,0,2,0,0,0
"92",0,0,3,1,0,1
"93",1,0,0,0,1,0
"94",0,0,1,10,2,0
"95",0,0,1,0,0,1
"96",0,4,3,0,0,2
"97",0,0,0,0,0,3
"98",0,0,2,0,0,1
"99",0,0,0,0,0,3
"100",0,0,4,0,0,4
"101",0,2,0,0,3,0
"102",0,0,0,0,1,0
"103",0,1,1,0,0,0
"104",0,0,0,0,0,2
"105",1,4,2,0,0,2
"106",0,2,0,0,0,0
"107",0,3,0,0,0,2
"108",0,1,1,1,1,0
"109",0,0,1,0,1,0
"110",1,0,0,2,1,0
"111",0,4,2,1,0,0
"112",0,0,7,0,1,2
"113",0,0,0,1,3,2
"114",0,0,0,0,1,0
"115",2,0,0,0,1,0
"116",0,0,0,0,0,0
"117",0,0,0,1,8,2
"118",0,0,3,0,0,0
"119",0,0,1,0,0,1
"120",0,0,1,0,2,0
"121",0,3,1,1,2,0
"122",0,0,0,0,0,0
"123",1,0,0,0,1,0
"124",0,0,1,1,0,0
"125",0,0,0,1,0,2
"126",0,0,0,1,0,0
"127",0,0,0,0,0,0
"128",0,0,0,0,0,3
"129",0,1,0,0,1,1
"130",0,2,1,1,0,0
