"","V1","V2","V3","V4","V5"
"1",2,0,0,0,0
"2",4,6,2,0,0
"3",7,0,1,0,0
"4",0,3,0,0,0
"5",1,0,2,0,0
"6",3,0,0,0,0
"7",0,3,0,0,0
"8",0,4,0,0,0
"9",2,0,2,0,0
"10",5,2,0,0,0
"11",4,3,3,0,0
"12",0,3,0,0,0
"13",0,0,3,0,0
"14",1,0,2,0,0
"15",2,0,2,0,0
"16",4,3,1,0,0
"17",5,1,0,0,0
"18",6,3,3,0,0
"19",7,0,0,0,2
"20",0,0,3,0,0
"21",3,2,0,0,0
"22",0,2,0,0,0
"23",0,0,3,0,0
"24",2,0,0,0,0
"25",1,2,1,0,0
"26",2,10,1,1,0
"27",6,2,2,0,0
"28",2,0,2,0,0
"29",0,8,2,0,0
"30",0,0,3,0,0
"31",2,0,0,0,0
"32",0,2,0,0,0
"33",2,0,0,0,3
"34",0,0,3,0,0
"35",6,4,0,0,2
"36",8,2,0,0,0
"37",6,0,0,0,0
"38",0,0,3,0,0
"39",7,2,2,0,0
"40",1,0,2,0,0
"41",3,0,0,0,0
"42",1,0,2,0,0
"43",3,7,1,0,0
"44",3,0,4,0,0
"45",3,3,0,0,0
"46",0,2,0,0,0
"47",0,0,3,0,0
"48",3,0,0,0,0
"49",2,0,2,0,0
"50",4,0,2,2,0
"51",2,0,1,0,0
"52",0,3,0,0,0
"53",1,2,0,0,3
"54",1,0,2,0,0
"55",2,7,1,0,2
"56",8,0,0,0,3
"57",1,0,2,0,0
"58",0,2,0,0,0
"59",4,0,3,1,2
"60",2,5,1,0,0
"61",2,0,0,0,0
"62",1,0,2,0,0
"63",3,4,4,0,0
"64",7,0,2,0,0
"65",0,2,0,0,0
"66",5,0,3,0,0
"67",1,0,2,0,0
"68",7,4,0,0,0
"69",0,0,3,0,0
"70",1,0,2,0,0
"71",4,1,0,0,0
"72",4,0,2,0,0
"73",7,0,3,0,0
"74",6,1,1,0,0
"75",4,3,2,0,0
"76",0,2,0,0,0
"77",1,0,2,0,0
"78",0,2,0,0,0
"79",1,9,0,0,0
"80",5,0,0,0,0
"81",8,2,2,0,0
"82",2,0,0,0,0
"83",4,4,3,0,0
"84",7,3,1,0,0
"85",0,3,0,0,0
"86",9,1,0,0,0
"87",8,0,1,0,0
"88",5,2,0,2,2
"89",1,8,0,0,0
"90",0,0,3,0,0
"91",4,0,0,0,0
"92",9,0,0,0,0
"93",6,4,4,0,0
"94",4,3,2,0,0
"95",0,3,0,0,0
"96",0,2,0,0,0
"97",1,0,2,0,0
"98",1,0,2,0,0
"99",3,8,0,0,0
"100",0,2,0,0,0
"101",6,2,2,0,0
"102",0,0,3,0,0
"103",4,5,0,3,3
"104",10,1,2,0,0
"105",5,0,0,0,0
"106",3,7,0,0,2
"107",8,3,0,0,0
"108",5,3,2,0,0
"109",3,0,0,0,0
"110",0,2,0,0,0
"111",6,2,0,0,0
"112",3,6,0,0,0
"113",3,2,4,0,0
"114",5,5,0,0,0
"115",7,0,1,0,0
"116",0,0,3,0,0
"117",0,2,0,0,0
"118",0,0,3,0,0
"119",6,1,0,0,0
"120",0,3,0,0,0
"121",0,2,0,0,0
"122",8,0,3,0,0
"123",4,6,0,0,0
"124",1,0,2,0,0
"125",0,3,0,0,0
"126",4,4,0,0,0
"127",3,4,2,0,0
"128",0,2,0,0,0
"129",3,0,0,0,0
"130",4,1,0,0,0
"131",3,3,0,0,0
"132",5,0,0,0,0
"133",8,1,0,0,0
"134",5,3,3,0,0
"135",3,5,0,0,0
"136",1,2,1,0,0
"137",0,0,3,0,0
"138",7,3,0,0,0
