"","V1","V2","V3","V4","V5"
"1",5,14,7,0,0
"2",15,1,1,0,0
"3",14,3,5,0,0
"4",0,19,5,0,0
"5",1,1,4,13,0
"6",0,7,18,0,0
"7",3,15,0,0,0
"8",0,4,16,2,0
"9",2,10,13,0,0
"10",1,1,13,5,0
"11",0,9,11,2,0
"12",13,11,2,0,0
"13",0,0,11,8,0
"14",5,20,0,0,0
"15",2,19,0,0,0
"16",0,22,2,0,0
"17",6,19,0,0,0
"18",18,5,0,0,0
"19",14,11,1,0,0
"20",7,11,3,0,0
"21",0,7,19,0,0
"22",12,11,0,0,0
"23",0,12,9,0,0
"24",0,21,3,0,0
"25",1,24,0,0,0
"26",6,19,5,0,0
"27",0,11,13,2,0
"28",3,0,0,0,0
"29",1,19,3,0,0
"30",1,24,2,0,0
"31",0,0,0,0,0
"32",0,2,21,1,0
"33",0,3,7,9,1
"34",0,0,18,6,0
"35",2,5,17,0,0
"36",2,0,1,0,0
"37",10,11,5,0,0
"38",22,2,1,0,0
"39",7,0,0,0,0
"40",4,6,20,0,0
"41",3,3,9,8,0
"42",1,5,19,0,0
"43",5,5,1,0,0
"44",5,0,0,0,0
"45",3,13,17,0,0
"46",2,5,15,0,0
"47",2,3,15,5,0
"48",7,0,0,0,0
"49",6,15,0,0,0
"50",0,11,9,3,2
"51",1,0,0,0,0
"52",0,3,22,0,0
"53",2,5,18,0,0
"54",7,18,0,0,0
"55",1,0,0,0,0
"56",0,13,13,1,0
"57",2,9,13,3,0
"58",1,17,6,3,0
"59",2,3,22,0,0
"60",3,3,18,0,3
"61",0,10,14,2,0
"62",0,2,0,0,0
"63",2,12,6,4,0
"64",3,1,19,2,0
"65",1,14,3,2,0
"66",1,2,3,18,0
"67",17,2,0,0,0
"68",6,17,2,0,0
"69",0,8,14,0,0
"70",8,0,0,0,0
"71",0,2,19,2,0
"72",4,18,6,1,0
"73",0,16,6,0,0
"74",0,9,11,4,0
"75",17,5,2,0,0
"76",27,0,0,2,0
"77",6,12,0,0,0
"78",0,0,1,0,0
"79",3,17,3,0,0
"80",3,14,8,0,0
"81",7,15,2,0,0
"82",2,26,0,0,0
"83",19,1,1,0,0
"84",0,3,0,0,0
"85",3,6,20,0,0
"86",3,0,20,0,0
"87",3,20,3,0,0
"88",3,17,5,0,0
"89",0,5,7,10,3
"90",2,22,4,0,0
"91",0,3,23,2,0
"92",12,4,0,3,0
"93",22,3,0,0,0
"94",6,0,2,0,0
"95",3,15,7,0,0
"96",3,21,0,0,0
"97",4,21,0,0,0
"98",10,9,0,0,0
"99",1,18,0,0,0
"100",2,1,21,0,0
"101",3,16,3,0,0
"102",4,24,0,0,0
"103",3,14,4,2,0
"104",1,1,19,5,0
"105",0,8,18,0,0
"106",0,3,24,0,0
"107",3,13,5,1,0
"108",2,3,21,0,0
"109",2,17,4,0,0
"110",11,12,2,1,0
"111",0,0,21,5,0
"112",0,8,11,0,0
"113",0,1,0,0,0
"114",1,0,2,0,0
"115",2,4,17,3,0
"116",5,20,4,0,0
"117",0,20,5,0,0
"118",3,2,0,0,0
"119",4,0,0,0,0
"120",3,14,3,0,0
"121",1,0,0,0,0
"122",3,16,8,0,0
"123",10,7,6,0,0
"124",0,17,2,2,0
"125",7,0,3,0,0
"126",0,3,0,0,0
"127",0,2,4,21,0
"128",2,10,13,0,0
"129",4,20,3,0,0
"130",0,7,12,0,0
"131",5,0,16,0,0
"132",0,8,17,5,0
"133",1,2,19,0,0
"134",3,11,8,3,0
"135",1,7,9,3,0
"136",2,9,9,0,0
"137",0,3,0,0,0
"138",0,3,15,3,0
"139",15,9,3,0,0
"140",0,23,1,1,0
"141",0,2,0,0,0
"142",0,2,7,15,1
"143",5,0,2,0,0
"144",2,1,21,4,0
"145",2,2,0,0,0
"146",8,16,0,0,0
"147",8,17,0,0,0
"148",0,6,16,0,0
"149",5,2,16,0,0
"150",3,0,0,0,0
"151",5,10,5,0,0
"152",2,26,0,0,0
"153",0,0,13,5,2
"154",11,6,0,3,0
"155",2,1,6,9,0
"156",3,0,15,0,2
"157",2,18,1,0,0
"158",14,3,4,0,0
"159",5,14,2,0,0
"160",12,5,7,0,0
"161",1,12,5,0,0
"162",5,0,22,0,0
"163",14,11,0,0,0
"164",2,18,0,0,0
"165",20,4,0,0,0
"166",12,17,0,0,0
"167",6,21,2,0,0
"168",8,12,2,0,0
"169",1,19,0,3,0
"170",0,14,5,0,0
"171",4,1,19,0,0
"172",2,1,0,22,0
"173",0,5,18,2,1
"174",0,1,11,13,0
"175",21,1,6,0,0
"176",2,3,17,4,0
"177",0,15,11,0,0
"178",0,25,0,0,0
"179",3,4,20,0,0
"180",3,17,0,0,0
"181",0,15,1,0,0
"182",3,21,3,0,0
"183",17,14,0,0,0
"184",2,0,14,8,0
"185",0,6,21,2,1
"186",5,3,14,2,0
"187",0,2,21,3,2
"188",1,20,2,2,0
"189",1,20,3,0,0
"190",4,2,3,2,0
"191",0,1,0,0,0
"192",2,5,17,0,0
"193",2,5,18,0,0
"194",2,0,3,0,0
"195",14,6,0,3,0
"196",0,6,19,0,0
"197",0,24,0,0,0
"198",19,6,2,0,0
"199",0,3,13,5,0
"200",3,17,1,0,0
"201",9,12,3,3,0
"202",8,3,1,0,0
"203",2,16,9,0,0
"204",1,0,21,2,0
"205",0,3,0,0,0
"206",0,9,18,3,0
