"","V1","V2","V3","V4","V5","V6"
"1",3,8,0,4,0,0
"2",7,0,2,0,0,0
"3",9,0,4,2,0,0
"4",12,3,0,2,0,0
"5",3,1,0,0,0,0
"6",9,4,0,2,0,0
"7",1,14,1,0,0,0
"8",0,0,0,0,4,0
"9",10,3,0,0,2,0
"10",11,0,0,1,0,0
"11",3,0,0,3,0,0
"12",0,9,4,4,0,0
"13",2,7,2,0,3,0
"14",6,4,0,2,0,0
"15",10,0,2,1,0,0
"16",6,0,0,0,3,0
"17",0,9,3,0,3,0
"18",0,5,0,0,0,0
"19",0,8,6,0,0,0
"20",0,10,0,2,0,0
"21",2,0,0,3,0,0
"22",0,0,8,0,2,3
"23",9,4,3,0,0,0
"24",2,0,3,0,0,0
"25",0,2,7,0,3,0
"26",1,14,0,0,0,0
"27",13,3,0,0,0,0
"28",11,0,2,0,0,0
"29",0,0,0,0,4,0
"30",0,9,4,0,0,0
"31",13,3,0,2,0,0
"32",10,6,0,0,0,0
"33",8,2,0,0,2,0
"34",2,0,0,0,3,0
"35",9,5,0,0,2,0
"36",6,0,2,0,0,0
"37",0,15,0,0,1,0
"38",2,0,0,3,0,0
"39",2,0,0,3,0,0
"40",2,0,0,0,3,0
"41",1,9,0,0,0,0
"42",0,0,0,4,0,0
"43",6,4,0,0,0,0
"44",3,0,0,3,0,0
"45",11,2,0,0,2,0
"46",8,0,0,3,0,0
"47",2,8,0,0,0,0
"48",10,0,0,0,0,0
"49",0,0,0,4,0,0
"50",3,2,0,2,0,0
"51",3,0,0,0,3,0
"52",2,0,0,3,0,0
"53",6,0,0,0,1,0
"54",14,1,0,0,2,0
"55",8,3,1,0,0,0
"56",3,0,0,0,0,0
"57",2,9,0,0,0,0
"58",1,9,3,6,0,0
"59",5,0,0,0,0,0
"60",3,6,6,0,1,0
"61",0,0,0,4,0,0
"62",2,7,3,0,0,0
"63",9,7,0,0,0,0
"64",0,8,5,0,0,3
"65",5,3,0,0,1,0
"66",0,6,4,2,0,0
"67",10,3,0,0,0,0
"68",9,3,0,3,0,0
"69",10,2,0,0,0,0
"70",0,2,13,0,0,0
"71",5,0,0,1,0,0
"72",8,3,0,3,0,0
"73",11,3,0,0,2,0
"74",13,1,0,0,0,0
"75",7,3,0,0,3,0
"76",3,1,1,4,2,0
"77",2,0,0,3,0,0
"78",13,0,0,3,0,0
"79",10,1,0,0,2,0
"80",2,0,0,3,0,0
"81",0,0,4,0,0,0
"82",9,4,0,0,2,0
"83",3,15,0,0,0,0
"84",11,2,0,2,0,0
"85",13,2,0,0,0,0
"86",2,11,0,3,0,0
"87",2,0,0,0,0,0
"88",9,0,0,3,0,0
"89",6,3,0,0,0,0
"90",2,9,2,0,0,0
"91",13,0,0,3,0,0
"92",5,0,0,1,0,0
"93",6,6,0,0,2,0
"94",0,3,0,0,0,0
"95",9,0,0,0,0,0
"96",1,12,0,1,0,1
"97",8,0,2,0,0,0
"98",0,1,13,2,1,0
"99",0,0,0,0,4,0
"100",12,2,0,0,0,0
"101",4,0,0,0,2,0
"102",0,0,0,0,4,0
"103",6,6,0,0,2,0
"104",7,0,0,3,0,0
"105",13,0,0,0,3,0
"106",2,0,0,3,0,0
"107",14,3,2,0,0,0
"108",0,0,0,0,4,0
"109",0,8,2,3,0,0
"110",4,0,0,0,2,0
"111",8,0,2,3,0,0
"112",3,0,2,0,0,0
"113",8,3,0,0,0,0
"114",2,7,0,0,3,0
"115",6,2,0,3,0,0
"116",12,0,0,0,0,0
"117",11,2,0,2,0,0
"118",6,6,6,0,0,0
"119",9,0,0,0,3,0
"120",8,0,0,3,0,0
"121",10,0,2,2,1,0
"122",8,0,0,0,3,0
"123",1,8,3,0,0,0
"124",4,0,2,0,0,0
"125",7,3,0,2,0,0
"126",6,2,0,0,2,0
"127",6,10,0,0,0,0
"128",4,8,0,0,2,0
"129",10,6,0,0,0,0
"130",11,4,0,1,0,0
