"","V1","V2","V3","V4","V5","V6"
"1",0,40,0,8,0,0
"2",40,4,4,0,0,0
"3",48,0,0,0,0,0
"4",40,4,0,4,0,0
"5",36,8,4,0,0,0
"6",4,12,24,4,4,0
"7",40,4,4,0,0,0
"8",40,0,0,4,4,0
"9",32,8,4,0,4,0
"10",4,36,4,4,0,0
"11",40,0,4,4,0,0
"12",36,4,0,0,4,4
"13",36,4,4,0,0,4
"14",12,32,0,0,4,0
"15",44,0,0,4,0,0
"16",44,0,0,0,4,0
"17",0,40,0,8,0,0
"18",4,36,4,0,4,0
"19",4,40,0,4,0,0
"20",16,28,0,4,0,0
"21",0,32,12,4,0,0
"22",44,0,0,0,4,0
"23",44,0,4,0,0,0
"24",4,8,24,12,0,0
"25",4,36,8,0,0,0
"26",12,24,12,0,0,0
"27",40,4,0,0,4,0
"28",40,4,4,0,0,0
"29",36,4,4,0,4,0
"30",32,12,4,0,0,0
"31",40,4,0,4,0,0
"32",28,20,0,0,0,0
"33",44,0,0,0,4,0
"34",4,36,4,0,4,0
"35",12,36,0,0,0,0
"36",44,0,4,0,0,0
"37",0,0,0,0,4,0
"38",8,32,0,8,0,0
"39",44,0,0,4,0,0
"40",4,36,0,4,4,0
"41",28,4,4,12,0,0
"42",8,24,8,8,0,0
"43",16,28,4,0,0,0
"44",12,28,0,4,4,0
"45",4,0,0,4,0,0
"46",32,12,0,4,0,0
"47",0,40,0,4,4,0
"48",32,4,4,4,4,0
"49",4,40,0,4,0,0
"50",36,4,4,4,0,0
"51",20,28,0,0,0,0
"52",0,0,0,4,0,0
"53",12,0,0,0,4,0
"54",32,12,0,4,0,0
"55",40,4,4,0,0,0
"56",4,0,0,0,0,0
"57",16,28,4,0,0,0
"58",4,4,36,4,0,0
"59",40,4,0,4,0,0
"60",40,4,0,4,0,0
"61",20,24,0,4,0,0
"62",40,4,0,4,0,0
"63",36,4,4,0,4,0
"64",0,0,0,0,4,0
"65",44,0,4,0,0,0
"66",4,40,0,4,0,0
"67",12,28,4,0,4,0
"68",8,0,0,0,4,0
"69",40,8,0,0,0,0
"70",12,32,0,4,0,0
"71",44,0,0,4,0,0
"72",4,40,0,4,0,0
"73",40,0,4,0,4,0
"74",40,8,0,0,0,0
"75",36,4,0,8,0,0
"76",12,32,0,0,4,0
"77",8,32,4,4,0,0
"78",8,0,32,8,0,0
"79",4,40,0,0,4,0
"80",20,0,0,0,4,0
"81",8,28,4,8,0,0
"82",36,4,4,0,4,0
"83",24,20,4,0,0,0
"84",4,0,44,0,0,0
"85",36,12,0,0,0,0
"86",28,12,4,4,0,0
"87",12,12,20,4,0,0
"88",40,0,0,8,0,0
"89",36,4,4,4,0,0
"90",4,40,4,0,0,0
"91",8,40,0,0,0,0
"92",40,8,0,0,0,0
"93",8,36,0,0,4,0
"94",0,4,0,0,0,0
"95",32,16,0,0,0,0
"96",44,0,0,4,0,0
"97",48,0,0,0,0,0
"98",0,4,36,4,4,0
"99",32,12,0,0,4,0
"100",4,28,12,0,0,4
"101",8,0,0,0,4,0
"102",0,0,0,0,4,0
"103",12,32,0,0,4,0
"104",0,4,36,4,4,0
"105",36,8,0,0,4,0
"106",0,12,28,4,0,4
"107",36,8,0,4,0,0
"108",44,0,0,4,0,0
"109",4,36,8,0,0,0
"110",36,4,4,0,4,0
"111",4,0,0,0,4,0
"112",40,0,8,0,0,0
"113",36,4,8,0,0,0
"114",8,36,0,0,4,0
"115",40,4,0,4,0,0
"116",28,12,4,4,0,0
"117",0,36,4,8,0,0
"118",0,0,0,4,0,0
"119",36,12,0,0,0,0
"120",12,24,4,8,0,0
"121",48,0,0,0,0,0
"122",4,36,4,4,0,0
"123",8,8,32,0,0,0
"124",44,0,4,0,0,0
"125",20,24,0,4,0,0
"126",40,4,0,0,4,0
"127",44,0,0,0,0,4
"128",4,36,4,0,4,0
"129",20,28,0,0,0,0
"130",40,4,0,0,4,0
