"","V1","V2","V3","V4","V5","V6"
"1",32,12,4,0,0,0
"2",0,40,0,8,0,0
"3",48,0,0,0,0,0
"4",40,4,0,4,0,0
"5",4,32,0,8,0,4
"6",44,0,0,4,0,0
"7",40,4,4,0,0,0
"8",8,8,12,20,0,0
"9",24,16,4,0,4,0
"10",0,0,0,0,4,0
"11",32,0,4,8,4,0
"12",40,0,0,0,8,0
"13",44,4,0,0,0,0
"14",44,0,0,0,4,0
"15",44,0,0,4,0,0
"16",44,0,0,0,4,0
"17",36,8,0,4,0,0
"18",36,8,0,4,0,0
"19",44,0,4,0,0,0
"20",36,8,0,4,0,0
"21",44,0,0,0,4,0
"22",40,0,8,0,0,0
"23",44,0,4,0,0,0
"24",32,12,0,0,0,4
"25",44,0,0,0,4,0
"26",36,12,0,0,0,0
"27",40,8,0,0,0,0
"28",4,40,4,0,0,0
"29",4,36,0,4,4,0
"30",8,36,4,0,0,0
"31",4,36,0,8,0,0
"32",28,20,0,0,0,0
"33",0,4,0,0,0,0
"34",40,4,0,0,4,0
"35",36,12,0,0,0,0
"36",36,8,4,0,0,0
"37",44,0,0,0,4,0
"38",36,0,8,0,4,0
"39",12,32,0,4,0,0
"40",36,4,4,0,4,0
"41",4,32,0,12,0,0
"42",32,4,8,4,0,0
"43",44,0,4,0,0,0
"44",44,0,0,4,0,0
"45",8,0,0,4,0,0
"46",28,16,0,4,0,0
"47",4,24,20,0,0,0
"48",16,20,4,4,4,0
"49",40,4,0,0,4,0
"50",36,4,0,4,0,0
"51",40,4,0,4,0,0
"52",36,8,0,4,0,0
"53",12,0,0,0,4,0
"54",0,32,16,0,0,0
"55",4,28,12,0,4,0
"56",4,0,0,0,0,0
"57",4,36,8,0,0,0
"58",40,0,0,8,0,0
"59",44,0,0,4,0,0
"60",44,4,0,0,0,0
"61",40,4,0,4,0,0
"62",20,20,0,8,0,0
"63",36,4,4,0,4,0
"64",0,0,0,0,4,0
"65",44,0,0,4,0,0
"66",40,4,0,4,0,0
"67",12,20,8,4,4,0
"68",4,40,4,0,0,0
"69",36,8,4,0,0,0
"70",0,8,36,4,0,0
"71",16,28,0,4,0,0
"72",32,4,8,4,0,0
"73",32,12,4,0,0,0
"74",16,8,0,0,0,0
"75",40,0,4,4,0,0
"76",44,0,0,0,4,0
"77",32,12,0,4,0,0
"78",44,0,0,0,4,0
"79",40,4,0,0,4,0
"80",36,0,8,4,0,0
"81",36,8,4,0,0,0
"82",4,36,4,0,4,0
"83",44,0,0,4,0,0
"84",36,0,12,0,0,0
"85",44,4,0,0,0,0
"86",36,12,0,0,0,0
"87",32,8,0,0,4,4
"88",40,0,0,8,0,0
"89",44,0,0,4,0,0
"90",0,24,20,0,4,0
"91",40,8,0,0,0,0
"92",36,4,0,4,4,0
"93",40,4,0,0,4,0
"94",0,4,0,0,0,0
"95",48,0,0,0,0,0
"96",44,0,0,4,0,0
"97",48,0,0,0,0,0
"98",4,36,4,0,4,0
"99",40,4,0,0,4,0
"100",36,4,4,0,0,4
"101",36,8,0,0,4,0
"102",44,0,0,4,0,0
"103",4,0,4,0,0,0
"104",28,4,8,4,4,0
"105",32,12,0,0,4,0
"106",12,16,8,12,0,0
"107",16,24,4,4,0,0
"108",36,8,4,0,0,0
"109",8,0,28,8,4,0
"110",44,0,0,0,4,0
"111",48,0,0,0,0,0
"112",40,0,8,0,0,0
"113",40,4,4,0,0,0
"114",40,4,0,0,4,0
"115",40,4,0,4,0,0
"116",32,8,4,4,0,0
"117",36,8,0,4,0,0
"118",32,8,4,0,4,0
"119",0,0,0,0,4,0
"120",36,4,0,8,0,0
"121",48,0,0,0,0,0
"122",32,12,0,4,0,0
"123",44,0,4,0,0,0
"124",20,16,8,0,0,4
"125",36,8,0,4,0,0
"126",44,0,0,0,4,0
"127",44,0,0,0,0,4
"128",36,8,0,0,4,0
"129",20,28,0,0,0,0
"130",0,4,0,0,0,0
