"","V1","V2","V3","V4","V5"
"1",0,0,0,11,4
"2",1,7,0,0,0
"3",1,0,0,0,0
"4",1,7,2,0,0
"5",0,1,1,0,0
"6",0,3,10,0,0
"7",1,4,4,0,0
"8",0,0,9,0,0
"9",3,8,2,0,0
"10",0,5,8,0,0
"11",0,5,1,0,0
"12",1,8,0,0,0
"13",1,12,2,0,0
"14",0,0,3,22,0
"15",0,5,3,0,0
"16",0,1,11,6,0
"17",0,7,2,0,0
"18",0,3,9,0,0
"19",0,10,1,0,0
"20",0,1,11,0,0
"21",6,1,2,0,0
"22",0,0,3,11,2
"23",1,4,15,0,0
"24",1,3,3,9,0
"25",1,1,12,0,0
"26",3,0,10,2,0
"27",0,4,5,0,0
"28",0,0,8,2,0
"29",1,0,19,2,0
"30",0,3,3,0,0
"31",1,7,3,0,0
"32",3,3,2,1,0
"33",0,1,6,6,0
"34",0,4,7,2,0
"35",0,3,6,0,0
"36",0,10,9,0,0
"37",1,2,13,0,0
"38",1,8,3,0,0
"39",0,0,1,8,0
"40",2,9,0,0,0
"41",0,0,8,8,0
"42",2,7,1,0,0
"43",0,0,2,0,0
"44",0,1,11,1,0
"45",0,3,12,0,0
"46",1,3,6,0,0
"47",5,1,0,0,0
"48",2,2,6,0,0
"49",0,0,9,0,0
"50",0,10,4,0,0
"51",0,2,10,0,0
"52",1,0,0,16,1
"53",0,7,0,0,0
"54",0,0,2,14,0
"55",2,0,1,6,0
"56",0,1,2,11,0
"57",1,0,11,0,0
"58",0,0,13,5,0
"59",1,0,1,0,0
"60",0,3,14,0,0
"61",0,3,5,0,0
"62",1,3,4,0,0
"63",1,1,15,2,0
"64",0,2,2,9,0
"65",5,0,3,0,0
"66",0,1,1,14,0
"67",2,5,0,0,0
"68",0,2,10,0,0
"69",0,1,9,2,0
"70",0,2,2,0,0
"71",0,4,5,1,0
"72",0,0,6,13,0
"73",0,9,3,0,0
"74",1,14,0,0,0
"75",0,8,1,0,0
"76",1,4,1,0,0
"77",0,2,6,10,0
"78",1,5,0,0,0
"79",1,2,3,1,0
"80",0,0,12,5,0
"81",2,6,0,0,0
"82",1,0,8,3,0
"83",0,1,13,0,0
"84",0,3,2,0,0
"85",0,0,4,19,0
"86",0,5,0,0,0
"87",3,7,0,0,0
"88",0,8,2,0,0
"89",1,7,8,0,0
"90",2,2,13,0,0
"91",0,1,16,2,0
"92",0,9,1,0,0
"93",0,0,0,20,0
"94",2,5,0,0,0
"95",0,3,11,0,0
"96",2,4,8,0,0
"97",0,7,8,0,0
"98",0,0,0,22,0
"99",0,3,6,0,0
"100",0,3,0,0,0
"101",0,5,0,0,0
"102",0,0,0,0,0
"103",0,3,7,7,0
"104",3,4,0,0,0
"105",0,0,15,1,0
"106",1,6,1,0,0
"107",0,0,1,16,1
"108",0,0,0,0,0
"109",1,5,10,0,0
"110",0,2,10,0,0
"111",1,0,0,21,0
"112",0,0,4,7,0
"113",0,0,4,16,0
"114",0,7,0,0,0
"115",1,7,2,0,0
"116",0,1,1,11,3
"117",0,1,13,9,0
"118",0,2,10,0,0
"119",0,5,2,0,0
"120",1,11,1,0,0
"121",4,5,1,0,0
"122",0,6,5,0,0
"123",1,0,6,5,2
"124",0,0,3,3,0
"125",0,3,9,0,0
