"","V1","V2","V3","V4","V5"
"1",4,7,3,0,0
"2",7,0,0,0,0
"3",3,2,0,2,0
"4",7,2,0,0,0
"5",2,2,2,0,0
"6",4,0,2,0,0
"7",3,0,3,0,0
"8",2,7,0,0,0
"9",0,0,3,0,0
"10",3,2,0,0,0
"11",4,5,0,0,0
"12",3,6,0,0,0
"13",3,2,1,0,0
"14",6,1,0,0,0
"15",0,0,3,0,0
"16",5,2,3,1,0
"17",8,0,0,0,0
"18",2,5,2,0,0
"19",3,6,2,0,0
"20",1,4,0,0,0
"21",2,3,1,0,0
"22",1,8,2,0,0
"23",5,0,0,0,0
"24",2,2,1,0,0
"25",6,2,2,0,0
"26",3,0,2,0,0
"27",5,3,0,0,0
"28",4,0,1,0,0
"29",8,2,3,0,0
"30",4,4,2,0,0
"31",6,5,0,0,0
"32",2,0,0,0,0
"33",7,0,2,0,0
"34",4,6,0,0,0
"35",4,5,0,0,0
"36",8,2,0,0,0
"37",5,3,0,0,0
"38",2,1,0,0,0
"39",7,3,0,0,0
"40",8,2,0,0,0
"41",3,2,1,0,0
"42",7,1,3,0,0
"43",4,5,2,3,0
"44",6,3,1,0,0
"45",4,2,4,0,0
"46",0,0,3,0,0
"47",6,2,3,0,0
"48",6,0,1,0,0
"49",8,0,3,0,0
"50",7,2,2,0,0
"51",3,0,0,0,0
"52",6,1,0,0,0
"53",0,0,3,0,0
"54",3,6,0,0,0
"55",8,1,0,0,0
"56",1,0,4,0,0
"57",5,1,0,0,0
"58",2,2,0,0,0
"59",1,8,0,0,0
"60",2,0,2,0,0
"61",3,2,2,0,0
"62",4,2,1,0,0
"63",2,6,0,0,0
"64",4,4,0,0,0
"65",4,2,2,0,0
"66",0,0,3,0,0
"67",3,7,0,0,0
"68",3,8,0,0,0
"69",4,0,2,0,0
"70",0,3,0,0,0
"71",2,0,2,0,0
"72",4,1,2,0,0
"73",5,5,0,2,0
"74",0,8,1,2,0
"75",3,0,0,0,0
"76",8,1,0,0,0
"77",6,0,2,0,0
"78",7,0,0,0,0
"79",4,0,0,0,0
"80",1,6,3,0,0
"81",2,0,0,0,0
"82",7,0,1,0,0
"83",4,4,1,0,0
"84",5,5,2,0,0
"85",0,8,2,0,0
"86",5,0,0,0,0
"87",2,2,0,0,0
"88",2,7,0,0,0
"89",2,3,1,0,0
"90",5,4,3,0,0
"91",7,2,0,0,0
"92",4,0,0,0,0
"93",4,0,2,0,0
