"","V1","V2","V3","V4","V5"
"1",21,15,3,0,0
"2",30,9,0,0,0
"3",30,9,0,0,0
"4",6,0,0,0,0
"5",3,0,0,0,0
"6",24,3,3,0,0
"7",36,3,0,0,0
"8",3,3,0,0,0
"9",0,0,3,0,0
"10",3,0,0,0,0
"11",0,3,0,0,0
"12",15,3,3,0,0
"13",30,6,3,0,0
"14",33,6,0,0,0
"15",36,3,0,0,0
"16",12,6,0,0,0
"17",33,3,3,0,0
"18",36,3,0,0,0
"19",3,0,3,0,0
"20",0,0,3,0,0
"21",30,9,0,0,0
"22",9,0,3,0,0
"23",12,0,6,0,0
"24",30,6,3,0,0
"25",21,0,0,0,0
"26",30,9,0,0,0
"27",9,6,0,0,0
"28",9,18,9,3,0
"29",0,0,3,0,0
"30",24,9,6,0,0
"31",3,3,0,0,0
"32",0,0,3,0,0
"33",27,6,0,0,0
"34",9,0,6,0,0
"35",0,3,0,0,0
"36",18,3,3,0,0
"37",9,3,0,0,0
"38",12,21,3,3,0
"39",15,24,0,0,0
"40",6,6,0,0,0
"41",0,3,0,0,0
"42",15,21,0,3,0
"43",36,0,3,0,0
"44",21,18,0,0,0
"45",27,9,3,0,0
"46",3,3,0,0,0
"47",18,21,0,0,0
"48",30,6,3,0,0
"49",3,0,0,0,0
"50",3,3,0,0,0
"51",15,3,0,0,0
"52",30,6,3,0,0
"53",9,0,3,0,0
"54",30,9,0,0,0
"55",0,0,3,0,0
"56",30,3,3,3,0
"57",12,12,0,0,0
"58",18,12,0,0,0
"59",33,3,0,3,0
"60",0,0,3,0,0
"61",30,6,3,0,0
"62",27,6,0,0,0
"63",6,18,12,3,0
"64",21,18,0,0,0
"65",0,0,3,0,0
"66",6,3,3,0,0
"67",36,0,3,0,0
"68",33,0,6,0,0
"69",36,3,0,0,0
"70",30,9,0,0,0
"71",3,0,3,0,0
"72",36,0,3,0,0
"73",9,27,3,0,0
"74",3,3,0,0,0
"75",0,3,0,0,0
"76",3,0,3,0,0
"77",12,24,3,0,0
"78",33,6,0,0,0
"79",9,9,0,0,0
"80",9,0,0,0,0
"81",21,6,0,0,0
"82",6,9,0,0,0
"83",12,15,12,0,0
"84",21,3,6,0,0
"85",6,15,18,0,0
"86",15,3,3,0,0
"87",18,6,15,0,0
"88",0,0,3,0,0
"89",12,0,3,0,0
"90",3,3,0,0,0
"91",15,21,3,0,0
"92",27,9,3,0,0
"93",15,3,0,0,0
"94",27,9,3,0,0
"95",27,9,3,0,0
"96",27,6,3,3,0
"97",3,0,0,0,0
"98",18,6,0,0,0
"99",24,3,3,0,0
"100",9,6,6,0,0
"101",3,3,0,0,0
"102",30,6,3,0,0
"103",21,3,3,0,0
"104",6,0,3,0,0
"105",0,3,0,0,0
"106",3,3,0,0,0
"107",33,3,3,0,0
"108",30,6,3,0,0
"109",0,0,3,0,0
"110",15,9,3,0,0
"111",15,6,0,0,0
"112",12,21,6,0,0
"113",0,0,3,0,0
"114",9,18,12,0,0
