"","V1","V2","V3","V4","V5"
"1",2,19,7,0,0
"2",9,11,1,1,0
"3",16,2,0,0,0
"4",23,1,2,0,0
"5",11,2,3,0,0
"6",4,19,0,0,0
"7",4,20,0,0,0
"8",1,7,12,0,0
"9",2,1,25,0,0
"10",0,22,1,0,0
"11",4,7,12,0,0
"12",8,12,4,0,0
"13",15,0,2,0,0
"14",15,7,0,1,0
"15",1,0,0,0,0
"16",17,2,0,1,0
"17",3,8,14,0,0
"18",12,12,0,0,0
"19",17,2,1,2,0
"20",2,28,0,0,0
"21",3,22,1,0,0
"22",16,1,0,0,0
"23",1,15,4,2,0
"24",2,18,3,0,0
"25",2,25,2,0,0
"26",0,2,20,3,0
"27",12,6,8,0,0
"28",0,16,6,0,0
"29",7,13,6,0,0
"30",0,20,7,0,0
"31",1,0,19,3,0
"32",5,12,2,0,0
"33",0,6,17,5,0
"34",0,16,6,0,0
"35",11,2,1,0,0
"36",2,9,12,0,0
"37",2,19,0,1,0
"38",0,3,0,0,0
"39",6,17,0,0,0
"40",9,11,4,0,0
"41",1,19,4,0,0
"42",1,1,21,0,0
"43",3,0,21,0,0
"44",2,2,0,0,0
"45",17,3,3,0,0
"46",2,0,0,0,0
"47",3,14,6,0,0
"48",19,0,1,0,0
"49",3,14,3,0,0
"50",9,13,0,0,0
"51",1,19,1,0,0
"52",0,1,26,0,0
"53",2,2,21,0,0
"54",3,21,2,0,0
"55",5,18,2,0,0
"56",1,7,12,0,0
"57",18,4,0,0,0
"58",0,12,9,0,0
"59",0,19,4,0,0
"60",0,13,9,1,0
"61",2,2,22,0,0
"62",1,14,11,0,0
"63",2,15,0,5,0
"64",3,18,5,0,0
"65",11,3,1,0,0
"66",2,21,0,0,0
"67",0,9,10,2,0
"68",7,0,15,3,0
"69",0,6,0,0,0
"70",11,10,1,0,0
"71",15,7,0,0,0
"72",9,9,2,0,0
"73",2,8,13,0,0
"74",18,1,2,0,0
"75",8,12,0,0,0
"76",2,18,1,0,0
"77",19,5,0,0,0
"78",6,15,2,0,0
"79",1,17,2,0,0
"80",6,13,0,0,0
"81",0,5,14,5,0
"82",5,0,1,0,0
"83",3,19,0,0,0
"84",3,15,6,0,0
"85",5,0,3,0,0
"86",18,5,3,0,0
"87",0,17,5,1,0
"88",4,12,2,3,0
"89",23,0,0,0,0
"90",13,14,0,0,0
"91",17,1,0,1,0
"92",1,22,1,0,0
"93",20,0,2,0,0
"94",0,22,2,0,0
"95",18,2,2,0,0
"96",9,6,8,4,0
"97",4,3,0,0,0
"98",2,6,17,0,0
"99",2,23,0,0,0
"100",12,3,0,0,0
"101",3,19,0,1,0
"102",8,14,3,0,0
"103",4,15,5,0,0
"104",1,18,5,0,0
"105",16,2,0,0,0
"106",17,4,0,0,0
"107",1,25,2,0,0
"108",0,23,2,0,0
"109",0,4,13,3,0
"110",3,6,16,0,0
"111",21,0,1,0,0
"112",0,16,7,2,0
"113",5,18,4,0,0
"114",10,2,2,0,0
"115",11,9,1,3,0
"116",12,9,3,0,0
"117",6,14,2,0,0
"118",2,23,0,0,0
"119",5,0,0,0,0
"120",2,0,0,0,0
"121",1,9,19,0,0
"122",15,0,0,0,0
"123",5,17,2,0,0
"124",1,17,2,0,0
"125",10,17,0,0,0
"126",2,25,2,0,0
"127",14,5,5,0,0
"128",13,6,0,0,0
"129",10,9,4,0,0
"130",5,10,0,0,0
"131",12,6,3,0,0
"132",0,1,20,2,0
"133",1,25,2,0,0
"134",21,2,0,0,0
"135",0,26,1,0,0
"136",0,20,0,0,0
"137",0,25,1,0,0
"138",3,7,13,0,0
"139",6,11,1,2,0
"140",5,0,3,0,0
"141",4,3,2,0,0
"142",1,26,0,0,0
"143",1,1,20,0,0
"144",1,18,1,0,0
"145",20,4,2,0,0
"146",10,11,1,0,0
"147",1,16,3,0,0
"148",9,10,5,0,0
"149",4,14,0,0,0
"150",7,11,5,0,0
"151",14,2,0,0,0
"152",6,18,0,0,0
"153",12,10,0,0,0
"154",23,2,1,0,0
"155",12,11,0,0,0
"156",18,0,2,0,0
"157",11,11,4,0,0
"158",0,20,2,0,0
"159",5,13,5,0,0
"160",2,22,0,0,0
"161",0,4,16,0,0
"162",11,12,2,0,0
"163",3,20,0,0,0
"164",3,5,8,5,0
"165",4,3,2,0,0
"166",10,2,2,0,0
"167",0,19,4,0,0
"168",11,9,0,0,0
"169",3,19,1,0,0
"170",0,5,0,0,0
"171",0,2,0,0,0
"172",24,2,0,0,0
"173",2,4,13,0,0
"174",2,4,20,0,0
"175",1,16,9,0,0
"176",0,1,21,0,0
"177",2,21,7,0,0
"178",16,5,3,0,0
"179",9,8,3,0,0
"180",6,2,2,2,0
"181",2,21,0,0,0
"182",3,6,16,0,0
"183",22,1,0,0,0
"184",1,16,8,0,0
"185",1,1,1,0,0
"186",1,22,0,0,0
"187",0,23,1,0,0
"188",4,8,11,2,0
"189",0,3,7,15,0
"190",6,11,5,3,0
"191",0,9,16,0,0
"192",2,5,15,0,0
"193",6,19,0,0,0
"194",16,10,0,0,0
"195",3,22,0,0,0
"196",9,9,0,1,0
"197",18,2,0,0,0
"198",9,5,3,0,0
"199",2,24,1,0,0
"200",0,22,0,0,0
"201",0,4,17,3,0
"202",3,19,0,0,0
"203",3,24,2,0,0
"204",0,19,4,0,0
"205",6,20,0,0,0
"206",0,16,5,0,0
"207",12,7,0,0,0
"208",13,7,2,0,0
"209",16,8,2,0,0
"210",2,25,0,0,0
"211",0,5,14,1,0
"212",0,2,0,0,0
"213",7,4,0,0,0
"214",4,22,0,0,0
"215",0,2,24,3,0
"216",19,0,0,0,0
"217",1,18,1,1,0
"218",0,2,18,7,0
"219",5,19,0,1,0
"220",0,1,14,5,0
"221",0,2,7,13,0
"222",16,0,0,0,0
"223",1,2,23,0,0
"224",1,3,3,16,0
"225",4,17,0,0,0
"226",0,17,6,0,0
"227",1,22,2,0,0
"228",2,13,6,0,0
"229",1,18,0,1,0
"230",2,16,0,0,0
"231",1,18,4,0,0
"232",0,0,3,0,0
"233",12,13,0,2,0
"234",3,12,12,0,0
"235",3,8,0,0,0
"236",12,7,2,0,0
"237",17,2,0,0,0
"238",3,4,15,2,0
"239",17,3,0,0,0
"240",8,4,1,0,0
"241",7,14,0,0,0
"242",2,0,22,0,0
"243",12,0,0,0,0
"244",10,10,0,0,0
"245",0,21,3,0,0
"246",12,7,6,0,0
"247",2,29,0,0,0
"248",15,6,0,0,0
"249",0,24,3,0,0
"250",5,20,0,0,0
"251",10,0,0,0,0
"252",3,14,2,0,0
"253",1,26,0,0,0
"254",5,4,0,0,0
"255",1,17,9,0,0
"256",8,15,4,0,0
"257",9,4,2,2,0
"258",0,0,0,0,0
"259",2,0,1,0,0
"260",3,17,2,0,0
"261",6,3,0,0,0
"262",0,0,13,8,0
"263",0,1,21,0,0
"264",0,15,7,0,0
"265",1,25,0,0,0
"266",5,13,1,0,0
"267",5,0,0,0,0
"268",3,2,0,0,0
"269",1,3,22,0,0
"270",6,16,1,0,0
"271",1,9,11,0,0
"272",14,2,2,0,0
"273",3,11,6,0,0
"274",2,2,0,0,0
"275",5,16,0,0,0
"276",1,19,2,0,0
"277",6,16,7,0,0
"278",0,12,9,0,0
"279",8,10,3,0,0
"280",1,19,1,1,0
"281",6,20,3,0,0
"282",2,7,20,0,0
"283",14,8,3,0,0
"284",3,15,4,0,0
"285",9,5,1,0,0
"286",2,0,4,0,0
"287",5,19,2,0,0
"288",0,0,18,0,0
"289",1,20,1,0,0
"290",17,1,0,0,0
"291",7,11,2,0,0
"292",6,12,3,0,0
"293",0,13,10,0,0
"294",6,17,0,0,0
