"","V1","V2","V3","V4","V5"
"1",0,8,2,0,0
"2",6,1,3,0,0
"3",7,0,0,0,0
"4",1,2,0,0,0
"5",8,1,3,0,0
"6",4,0,3,1,0
"7",4,0,2,0,0
"8",4,0,3,0,0
"9",4,5,0,1,0
"10",1,2,0,0,0
"11",6,1,3,0,0
"12",1,4,4,3,0
"13",6,2,1,0,0
"14",0,0,3,0,0
"15",5,1,2,0,0
"16",10,0,2,0,0
"17",3,0,2,0,0
"18",8,0,0,0,0
"19",4,0,0,0,0
"20",4,6,0,0,0
"21",4,2,0,0,0
"22",5,3,0,0,0
"23",0,6,4,0,0
"24",2,0,2,0,0
"25",6,2,0,0,0
"26",7,0,2,0,0
"27",0,6,6,0,0
"28",7,3,2,0,0
"29",7,0,0,2,0
"30",6,2,1,0,0
"31",0,4,3,0,0
"32",0,8,2,0,0
"33",5,0,0,0,0
"34",0,8,0,0,0
"35",3,1,0,0,0
"36",6,1,2,0,0
"37",1,4,3,0,0
"38",1,4,0,2,0
"39",6,5,0,1,0
"40",1,7,0,0,0
"41",1,3,0,0,0
"42",5,2,0,0,0
"43",7,0,2,0,0
"44",0,0,7,2,0
"45",0,4,7,0,0
"46",0,9,0,0,0
"47",5,1,1,0,0
"48",5,3,2,0,0
"49",5,6,2,0,0
"50",4,0,0,0,0
"51",8,0,0,0,0
"52",4,0,1,0,0
"53",0,10,0,0,0
"54",10,0,0,0,0
"55",0,6,1,0,0
"56",9,0,0,0,0
"57",3,0,2,0,0
"58",0,5,1,0,0
"59",0,4,4,0,0
"60",5,2,0,0,0
"61",7,2,1,0,0
"62",4,2,0,0,0
"63",0,7,2,0,0
"64",3,3,0,0,0
"65",5,2,1,0,0
"66",3,2,0,0,0
"67",6,1,2,0,0
"68",3,4,0,0,0
"69",0,4,3,0,0
"70",6,0,0,0,0
"71",6,0,1,0,0
"72",6,2,2,0,0
"73",3,6,0,3,0
"74",2,3,3,0,0
"75",0,0,3,0,0
"76",0,0,3,0,0
"77",1,4,0,3,0
"78",6,0,2,0,0
"79",5,1,0,0,0
"80",5,3,0,0,0
"81",4,3,1,0,0
"82",7,0,0,0,0
"83",6,2,0,2,0
"84",5,0,1,0,0
"85",2,0,0,0,0
"86",0,6,1,0,0
"87",2,1,0,0,0
"88",1,7,4,0,0
"89",2,5,0,0,0
"90",5,1,2,0,0
"91",2,0,0,0,0
"92",6,2,1,0,0
"93",5,2,2,0,0
"94",2,0,0,0,0
"95",4,4,0,0,0
"96",0,4,2,0,0
"97",2,2,1,0,0
"98",5,2,2,0,0
"99",5,4,0,0,0
"100",8,2,0,0,0
"101",0,9,0,0,0
"102",2,8,1,0,0
"103",0,0,3,0,0
"104",2,2,0,0,0
"105",0,9,2,0,0
"106",4,4,3,0,0
"107",0,6,0,3,0
"108",5,2,2,0,0
"109",8,0,0,0,0
"110",7,1,0,0,0
"111",4,1,2,0,0
"112",8,0,0,0,0
"113",6,1,0,0,0
"114",4,0,0,0,0
"115",9,4,0,0,0
"116",3,2,1,0,0
"117",8,4,1,0,0
"118",2,4,2,0,0
"119",3,4,3,0,0
"120",7,2,0,0,0
"121",2,7,3,0,0
"122",7,3,0,0,0
"123",0,0,10,1,0
"124",2,4,0,0,0
"125",5,2,0,0,0
"126",2,4,3,2,0
"127",4,2,0,0,0
"128",10,1,0,0,0
"129",7,0,0,0,0
"130",5,1,0,0,0
"131",1,6,3,0,0
"132",4,0,0,0,0
"133",4,0,3,0,0
"134",5,0,2,0,0
"135",7,0,1,0,0
"136",3,4,4,0,0
"137",6,0,2,0,0
"138",9,0,0,0,0
"139",3,1,2,0,0
"140",2,2,0,0,0
"141",1,3,0,0,0
"142",3,0,2,0,0
"143",0,7,2,0,0
"144",8,0,0,0,0
"145",0,4,0,0,0
"146",6,2,1,0,0
"147",2,0,3,0,0
"148",0,6,2,0,0
"149",0,5,2,0,0
"150",0,0,3,0,0
"151",6,3,0,0,0
"152",0,8,2,0,0
"153",4,2,2,0,0
"154",0,3,2,0,0
"155",2,0,2,0,0
"156",4,0,3,0,0
"157",8,3,0,0,0
"158",7,0,0,1,0
"159",7,0,0,0,0
"160",3,3,0,0,0
"161",2,5,0,2,0
"162",8,0,0,0,0
"163",0,0,3,0,0
"164",7,0,1,0,0
"165",3,4,0,0,0
"166",5,2,0,0,0
"167",7,1,1,0,0
"168",1,6,0,0,0
"169",1,2,0,0,0
"170",4,2,3,1,0
"171",5,2,0,0,0
"172",7,2,0,0,0
"173",3,2,2,2,0
"174",3,3,1,0,0
"175",6,2,0,0,0
"176",1,8,1,0,0
"177",3,7,2,0,0
"178",0,2,7,0,0
"179",0,7,2,2,0
"180",0,6,0,0,0
"181",5,0,2,0,0
"182",4,0,2,0,0
"183",0,8,1,0,0
"184",7,0,0,3,0
"185",1,7,0,0,0
"186",0,5,3,0,0
"187",0,7,0,0,0
"188",4,1,1,0,0
"189",7,2,0,0,0
"190",0,2,6,0,0
"191",3,2,0,0,0
"192",8,2,0,0,0
"193",0,7,0,0,0
"194",0,0,3,0,0
"195",10,0,2,0,0
"196",2,2,0,0,0
"197",3,1,0,0,0
