"","V1","V2","V3","V4","V5"
"1",21,15,3,0,0
"2",30,9,0,0,0
"3",33,6,0,0,0
"4",3,27,9,0,0
"5",3,0,3,0,0
"6",27,3,9,0,0
"7",27,9,3,0,0
"8",0,0,3,0,0
"9",9,0,3,0,0
"10",33,6,0,0,0
"11",33,3,3,0,0
"12",9,0,6,0,0
"13",36,3,0,0,0
"14",24,9,0,0,0
"15",33,3,3,0,0
"16",36,3,0,0,0
"17",3,0,3,0,0
"18",3,3,3,0,0
"19",9,0,3,0,0
"20",12,6,3,0,0
"21",0,0,3,0,0
"22",33,3,3,0,0
"23",18,3,0,0,0
"24",15,24,0,0,0
"25",3,0,3,0,0
"26",6,6,0,0,0
"27",18,12,9,0,0
"28",12,0,3,0,0
"29",9,6,0,3,0
"30",9,0,3,0,0
"31",24,12,3,0,0
"32",21,3,3,0,0
"33",18,9,0,0,0
"34",9,6,3,0,0
"35",21,12,6,0,0
"36",9,18,9,3,0
"37",9,24,6,0,0
"38",3,0,3,0,0
"39",0,0,3,0,0
"40",30,6,3,0,0
"41",12,0,6,0,0
"42",18,0,3,0,0
"43",9,0,3,0,0
"44",21,3,3,0,0
"45",3,0,3,0,0
"46",30,6,3,0,0
"47",27,12,0,0,0
"48",36,3,0,0,0
"49",6,27,6,0,0
"50",9,6,3,0,0
"51",15,12,6,0,0
"52",6,0,0,0,0
"53",3,0,0,0,0
"54",21,0,3,0,0
"55",15,0,0,0,0
"56",0,0,3,0,0
"57",3,3,0,0,0
"58",33,3,3,0,0
"59",9,27,0,3,0
"60",0,0,3,0,0
"61",3,0,3,0,0
"62",3,0,3,0,0
"63",0,0,3,0,0
"64",18,9,3,0,0
"65",30,9,0,0,0
"66",3,0,3,0,0
"67",33,3,0,0,0
"68",3,0,6,0,0
"69",15,15,3,0,0
"70",36,0,3,0,0
"71",3,0,0,0,0
"72",15,3,0,0,0
"73",3,3,0,0,0
"74",12,0,0,0,0
"75",24,12,3,0,0
"76",3,0,3,0,0
"77",33,6,0,0,0
"78",9,3,3,0,0
"79",6,33,0,0,0
"80",6,24,9,0,0
"81",3,0,6,0,0
"82",3,0,3,0,0
"83",33,6,0,0,0
"84",24,9,6,0,0
"85",12,0,6,0,0
"86",27,12,0,0,0
"87",12,24,3,0,0
"88",0,0,3,0,0
"89",24,15,0,0,0
"90",6,3,0,0,0
"91",6,0,3,0,0
"92",3,3,0,0,0
"93",33,3,3,0,0
"94",30,9,0,0,0
"95",3,27,3,6,0
"96",15,3,0,0,0
"97",21,0,3,0,0
"98",15,3,0,0,0
"99",21,6,12,0,0
"100",27,9,3,0,0
"101",3,3,0,0,0
"102",27,9,3,0,0
"103",24,12,3,0,0
"104",27,3,0,0,0
"105",3,3,0,0,0
"106",15,24,0,0,0
"107",9,0,3,0,0
"108",6,0,3,0,0
"109",21,12,6,0,0
"110",21,3,0,0,0
"111",3,6,0,0,0
"112",15,24,0,0,0
"113",27,3,6,3,0
"114",3,3,0,0,0
